"Município";"População de 15 anos ou mais"
"110001 ALTA FLORESTA D'OESTE";18810
"110002 ARIQUEMES";49837
"110003 CABIXI";4785
"110004 CACOAL";47802
"110005 CEREJEIRAS";12978
"110006 COLORADO DO OESTE";22727
"110008 COSTA MARQUES";5663
"110009 ESPIGAO D'OESTE";13627
"110010 GUAJARA-MIRIM";18971
"110011 JARU";36797
"110012 JI-PARANA";58971
"110013 MACHADINHO D'OESTE";9466
"110014 NOVA BRASILANDIA D'OESTE";9374
"110015 OURO PRETO DO OESTE";48327
"110018 PIMENTA BUENO";28795
"110020 PORTO VELHO";170290
"110025 PRESIDENTE MEDICI";17681
"110028 ROLIM DE MOURA";35847
"110029 SANTA LUZIA D'OESTE";7276
"110030 VILHENA";24040
"110032 SAO MIGUEL DO GUAPORE";10796
"110033 NOVA MAMORE";4004
"110034 ALVORADA D'OESTE";12035
"120005 ASSIS BRASIL";1549
"120010 BRASILEIA";11541
"120020 CRUZEIRO DO SUL";33180
"120030 FEIJO";8921
"120033 MANCIO LIMA";5000
"120034 MANOEL URBANO";2591
"120038 PLACIDO DE CASTRO";8405
"120040 RIO BRANCO";117282
"120045 SENADOR GUIOMARD";9711
"120050 SENA MADUREIRA";12270
"120060 TARAUACA";13617
"120070 XAPURI";7062
"130002 ALVARAES";4317
"130006 AMATURA";2377
"130008 ANAMA";2977
"130010 ANORI";4310
"130014 APUI";3031
"130020 ATALAIA DO NORTE";3872
"130030 AUTAZES";8271
"130040 BARCELOS";5743
"130050 BARREIRINHA";8546
"130060 BENJAMIN CONSTANT";8558
"130063 BERURI";3493
"130068 BOA VISTA DO RAMOS";3672
"130070 BOCA DO ACRE";12643
"130080 BORBA";8659
"130083 CAAPIRANGA";3886
"130090 CANUTAMA";5448
"130100 CARAUARI";9065
"130110 CAREIRO";14893
"130115 CAREIRO DA VARZEA";10188
"130120 COARI";19813
"130130 CODAJAS";6483
"130140 EIRUNEPE";9831
"130150 ENVIRA";7233
"130160 FONTE BOA";8212
"130165 GUAJARA";6521
"130170 HUMAITA";19422
"130180 IPIXUNA";4524
"130185 IRANDUBA";9995
"130190 ITACOATIARA";31485
"130195 ITAMARATI";4357
"130200 ITAPIRANGA";2687
"130210 JAPURA";5135
"130220 JURUA";2426
"130230 JUTAI";7313
"130240 LABREA";16009
"130250 MANACAPURU";28180
"130255 MANAQUIRI";5550
"130260 MANAUS";612139
"130270 MANICORE";18967
"130280 MARAA";5263
"130290 MAUES";15571
"130300 NHAMUNDA";6550
"130310 NOVA OLINDA DO NORTE";6619
"130320 NOVO AIRAO";6801
"130330 NOVO ARIPUANA";5941
"130340 PARINTINS";30660
"130350 PAUINI";8990
"130353 PRESIDENTE FIGUEIREDO";3659
"130356 RIO PRETO DA EVA";3145
"130360 SANTA ISABEL DO RIO NEGRO";8664
"130370 SANTO ANTONIO DO ICA";8748
"130380 SAO GABRIEL DA CACHOEIRA";13227
"130390 SAO PAULO DE OLIVENCA";6906
"130395 SAO SEBASTIAO DO UATUMA";2161
"130400 SILVES";2864
"130406 TABATINGA";14578
"130410 TAPAUA";11755
"130420 TEFE";26279
"130423 TONANTINS";4943
"130426 UARINI";2498
"130430 URUCARA";5794
"130440 URUCURITUBA";8424
"140005 ALTO ALEGRE";4295
"140010 BOA VISTA";76326
"140015 BONFIM";5467
"140020 CARACARAI";3803
"140030 MUCAJAI";5983
"140040 NORMANDIA";5208
"140050 SAO JOAO DA BALIZA";4580
"140060 SAO LUIZ";4560
"150010 ABAETETUBA";53557
"150020 ACARA";18997
"150030 AFUA";9409
"150040 ALENQUER";26833
"150050 ALMEIRIM";16547
"150060 ALTAMIRA";38990
"150070 ANAJAS";6714
"150080 ANANINDEUA";51911
"150090 AUGUSTO CORREA";15322
"150100 AVEIRO";5604
"150110 BAGRE";6609
"150120 BAIAO";10481
"150130 BARCARENA";24914
"150140 BELEM";814646
"150150 BENEVIDES";39203
"150157 BOM JESUS DO TOCANTINS";8760
"150160 BONITO";4554
"150170 BRAGANCA";51885
