"Município";"População de 15 anos ou mais"
"150175 BREJO GRANDE DO ARAGUAIA";6361
"150180 BREVES";36148
"150190 BUJARU";7703
"150200 CACHOEIRA DO ARARI";7127
"150210 CAMETA";43663
"150220 CAPANEMA";30017
"150230 CAPITAO POCO";23818
"150240 CASTANHAL";60166
"150250 CHAVES";8908
"150260 COLARES";4419
"150270 CONCEICAO DO ARAGUAIA";31286
"150275 CONCORDIA DO PARA";8183
"150277 CURIONOPOLIS";21031
"150280 CURRALINHO";7361
"150290 CURUCA";14243
"150293 DOM ELISEU";13482
"150300 FARO";7056
"150307 GARRAFAO DO NORTE";10315
"150310 GURUPA";9458
"150320 IGARAPE-ACU";15020
"150330 IGARAPE-MIRI";21595
"150340 INHANGAPI";3501
"150350 IRITUIA";16231
"150360 ITAITUBA";59459
"150370 ITUPIRANGA";19459
"150380 JACUNDA";22578
"150390 JURUTI";11020
"150400 LIMOEIRO DO AJURU";8345
"150405 MAE DO RIO";15477
"150410 MAGALHAES BARATA";3800
"150420 MARABA";68545
"150430 MARACANA";13442
"150440 MARAPANIM";10888
"150445 MEDICILANDIA";16722
"150450 MELGACO";6712
"150460 MOCAJUBA";9593
"150470 MOJU";23049
"150480 MONTE ALEGRE";24783
"150490 MUANA";11690
"150500 NOVA TIMBOTEUA";5534
"150510 OBIDOS";22205
"150520 OEIRAS DO PARA";9105
"150530 ORIXIMINA";21348
"150540 OUREM";16086
"150543 OURILANDIA DO NORTE";13465
"150548 PACAJA";16018
"150550 PARAGOMINAS";37104
"150553 PARAUAPEBAS";29456
"150560 PEIXE-BOI";3324
"150570 PONTA DE PEDRAS";8919
"150580 PORTEL";14403
"150590 PORTO DE MOZ";7331
"150600 PRAINHA";12670
"150610 PRIMAVERA";8946
"150613 REDENCAO";32120
"150616 RIO MARIA";14910
"150618 RONDON DO PARA";23190
"150619 RUROPOLIS";10004
"150620 SALINOPOLIS";12086
"150630 SALVATERRA";6759
"150640 SANTA CRUZ DO ARARI";2752
"150650 SANTA IZABEL DO PARA";18939
"150658 SANTA MARIA DAS BARREIRAS";4041
"150660 SANTA MARIA DO PARA";10332
"150670 SANTANA DO ARAGUAIA";8716
"150680 SANTAREM";146995
"150690 SANTAREM NOVO";2253
"150700 SANTO ANTONIO DO TAUA";9236
"150710 SAO CAETANO DE ODIVELAS";12019
"150720 SAO DOMINGOS DO CAPIM";21941
"150730 SAO FELIX DO XINGU";12086
"150740 SAO FRANCISCO DO PARA";6482
"150745 SAO GERALDO DO ARAGUAIA";20274
"150747 SAO JOAO DE PIRABAS";8500
"150750 SAO JOAO DO ARAGUAIA";10365
"150760 SAO MIGUEL DO GUAMA";17922
"150770 SAO SEBASTIAO DA BOA VISTA";7672
"150780 SENADOR JOSE PORFIRIO";14301
"150790 SOURE";9913
"150795 TAILANDIA";9152
"150800 TOME-ACU";21553
"150808 TUCUMA";16947
"150810 TUCURUI";44267
"150815 URUARA";13895
"150820 VIGIA";20857
"150830 VISEU";31776
"150840 XINGUARA";27456
"160010 AMAPA";3960
"160020 CALCOENE";2563
"160023 FERREIRA GOMES";1168
"160027 LARANJAL DO JARI";11121
"160030 MACAPA";99834
"160040 MAZAGAO";4180
"160050 OIAPOQUE";3956
"160060 SANTANA";26499
"160070 TARTARUGALZINHO";2112
"170035 ALIANCA DO TOCANTINS";4111
"170040 ALMAS";4004
"170070 ALVORADA";6096
"170100 ANANAS";6182
"170110 APARECIDA DO RIO NEGRO";1786
"170190 ARAGUACEMA";3550
"170200 ARAGUACU";7806
"170210 ARAGUAINA";62250
"170220 ARAGUATINS";15013
"170230 ARAPOEMA";8122
"170240 ARRAIAS";7174
"170255 AUGUSTINOPOLIS";5427
"170270 AURORA DO TOCANTINS";2649
"170290 AXIXA DO TOCANTINS";5225
"170300 BABACULANDIA";5297
"170310 BARROLANDIA";3861
"170320 BERNARDO SAYAO";2528
"170370 BREJINHO DE NAZARE";3829
"170380 BURITI DO TOCANTINS";4022
"170390 CASEARA";1497
"170550 COLINAS DO TOCANTINS";12864
"170555 COMBINADO";2639
"170560 CONCEICAO DO TOCANTINS";2569
"170600 COUTO MAGALHAES";3810
"170610 CRISTALANDIA";6550
"170700 DIANOPOLIS";7851
"170710 DIVINOPOLIS DO TOCANTINS";3754
"170720 DOIS IRMAOS DO TOCANTINS";4460
"170730 DUERE";2744
"170755 FATIMA";2752
"170765 FIGUEIROPOLIS";4573
"170770 FILADELFIA";6323
"170820 FORMOSO DO ARAGUAIA";9701
"170830 GOIANORTE";2973
"170900 GOIATINS";9874
"170930 GUARAI";12795
"170950 GURUPI";35371
"171050 ITACAJA";8003
"171070 ITAGUATINS";5822
"171110 ITAPORA DO TOCANTINS";2095
"171240 LIZARDA";2123
"171250 MARIANOPOLIS DO TOCANTINS";1386
"171320 MIRACEMA DO TOCANTINS";12292
"171330 MIRANORTE";6729
"171360 MONTE DO CARMO";3518
"171420 NATIVIDADE";5757
"171430 NAZARE";4897
"171488 NOVA OLINDA";4467
"171500 NOVA ROSALANDIA";1753
"171510 NOVO ACORDO";2066
"171575 PALMEIROPOLIS";7059
"171610 PARAISO DO TOCANTINS";18135
"171620 PARANA";5918
"171650 PEDRO AFONSO";7836
"171660 PEIXE";7584
"171665 PEQUIZEIRO";1926
"171670 COLMEIA";5368
"171700 PINDORAMA DO TOCANTINS";2698
"171750 PIUM";5047
"171780 PONTE ALTA DO BOM JESUS";3590
"171790 PONTE ALTA DO TOCANTINS";3843
"171800 PORTO ALEGRE DO TOCANTINS";1156
"171820 PORTO NACIONAL";25258
"171830 PRAIA NORTE";3114
"171840 PRESIDENTE KENNEDY";3916
"171875 RIO SONO";3859
"171880 SAMPAIO";2239
"171890 SANTA ROSA DO TOCANTINS";2083
"171900 SANTA TEREZA DO TOCANTINS";1556
"172030 SAO SEBASTIAO DO TOCANTINS";2260
"172049 SAO VALERIO";1972
"172065 SILVANOPOLIS";3245
"172080 SITIO NOVO DO TOCANTINS";4139
"172090 TAGUATINGA";6561
"172100 PALMAS";12548
"172110 TOCANTINIA";3508
"172120 TOCANTINOPOLIS";17095
"172208 WANDERLANDIA";5266
"172210 XAMBIOA";6731
"210005 ACAILANDIA";46487
"210010 AFONSO CUNHA";2313
"210020 ALCANTARA";10652
"210030 ALDEIAS ALTAS";10570
"210040 ALTAMIRA DO MARANHAO";10811
"210050 ALTO PARNAIBA";5608
"210060 AMARANTE DO MARANHAO";11799
"210070 ANAJATUBA";10746
"210080 ANAPURUS";5572
"210090 ARAIOSES";23424
"210095 ARAME";16901
"210100 ARARI";13877
"210110 AXIXA";4884
"210120 BACABAL";56502
"210130 BACURI";11334
"210140 BALSAS";23250
"210150 BARAO DE GRAJAU";7913
"210160 BARRA DO CORDA";48366
"210170 BARREIRINHAS";14770
"210180 BENEDITO LEITE";5076
"210190 BEQUIMAO";11860
"210200 BOM JARDIM";21391
"210210 BREJO";14866
"210220 BURITI";12089
"210230 BURITI BRAVO";11460
"210240 CAJAPIO";6417
"210250 CAJARI";8075
"210260 CANDIDO MENDES";17038
"210270 CANTANHEDE";13231
"210280 CAROLINA";14296
"210290 CARUTAPERA";16242
"210300 CAXIAS";83023
"210310 CEDRAL";8193
"210320 CHAPADINHA";31135
"210330 CODO";63125
"210340 COELHO NETO";21540
"210350 COLINAS";19324
"210360 COROATA";39698
"210370 CURURUPU";22314
"210380 DOM PEDRO";11545
"210390 DUQUE BACELAR";4016
"210400 ESPERANTINOPOLIS";16333
"210405 ESTREITO";12593
"210410 FORTALEZA DOS NOGUEIRAS";6436
"210420 FORTUNA";8749
"210430 GODOFREDO VIANA";14337
"210440 GONCALVES DIAS";9413
"210450 GOVERNADOR ARCHER";5721
"210460 GOVERNADOR EUGENIO BARROS";12636
"210470 GRACA ARANHA";3328
"210480 GRAJAU";28426
"210490 GUIMARAES";6704
"210500 HUMBERTO DE CAMPOS";9987
"210510 ICATU";10936
"210520 IGARAPE GRANDE";8270
"210530 IMPERATRIZ";158768
"210540 ITAPECURU MIRIM";23349
"210550 JOAO LISBOA";27883
"210560 JOSELANDIA";8169
"210570 LAGO DA PEDRA";25742
"210580 LAGO DO JUNCO";10147
"210590 LAGO VERDE";6768
"210600 LIMA CAMPOS";7058
"210610 LORETO";5128
"210620 LUIS DOMINGUES";4705
"210630 MAGALHAES DE ALMEIDA";6264
"210640 MATA ROMA";5519
"210650 MATINHA";10004
"210660 MATOES";13663
"210670 MIRADOR";9399
"210675 MIRANDA DO NORTE";7784
"210680 MIRINZAL";9016
"210690 MONCAO";13047
"210700 MONTES ALTOS";10803
"210710 MORROS";9386
"210720 NINA RODRIGUES";3770
"210730 NOVA IORQUE";2825
"210740 OLHO D'AGUA DAS CUNHAS";9118
"210750 PACO DO LUMIAR";30193
"210760 PALMEIRANDIA";8331
"210770 PARAIBANO";8880
"210780 PARNARAMA";16601
"210790 PASSAGEM FRANCA";12598
"210800 PASTOS BONS";7955
"210810 PAULO RAMOS";13887
"210820 PEDREIRAS";29763
"210830 PENALVA";16099
"210840 PERI MIRIM";7525
"210850 PINDARE-MIRIM";17085
"210860 PINHEIRO";44742
"210870 PIO XII";14408
"210880 PIRAPEMAS";8765
"210890 POCAO DE PEDRAS";13353
"210900 PORTO FRANCO";17591
"210910 PRESIDENTE DUTRA";23923
"210920 PRESIDENTE JUSCELINO";3261
"210930 PRESIDENTE VARGAS";4181
"210940 PRIMEIRA CRUZ";9273
"210950 RIACHAO";15069
"210960 ROSARIO";21684
"210970 SAMBAIBA";2887
"210980 SANTA HELENA";14221
"210990 SANTA INES";37259
"211000 SANTA LUZIA";59711
"211003 SANTA LUZIA DO PARUA";23932
"211010 SANTA QUITERIA DO MARANHAO";10957
"211020 SANTA RITA";11210
"211030 SANTO ANTONIO DOS LOPES";9844
"211040 SAO BENEDITO DO RIO PRETO";7700
"211050 SAO BENTO";15587
"211060 SAO BERNARDO";12984
"211070 SAO DOMINGOS DO MARANHAO";18785
"211080 SAO FELIX DE BALSAS";3478
"211090 SAO FRANCISCO DO MARANHAO";7326
"211100 SAO JOAO BATISTA";11032
"211110 SAO JOAO DOS PATOS";15331
"211120 SAO JOSE DE RIBAMAR";39444
"211130 SAO LUIS";433573
"211140 SAO LUIS GONZAGA DO MARANHAO";14358
"211150 SAO MATEUS DO MARANHAO";17544
"211160 SAO RAIMUNDO DAS MANGABEIRAS";7926
"211170 SAO VICENTE FERRER";9692
"211180 SITIO NOVO";7190
"211190 SUCUPIRA DO NORTE";5824
"211200 TASSO FRAGOSO";3261
"211210 TIMBIRAS";12349
"211220 TIMON";61433
"211230 TUNTUM";19462
"211240 TURIACU";20174
"211250 TUTOIA";22410
"211260 URBANO SANTOS";11878
"211270 VARGEM GRANDE";17848
"211280 VIANA";22767
"211290 VITORIA DO MEARIM";26398
"211300 VITORINO FREIRE";17575
"211400 ZE DOCA";30854
"220010 AGRICOLANDIA";3472
"220020 AGUA BRANCA";9868
"220025 ALAGOINHA DO PIAUI";5014
"220030 ALTO LONGA";9116
"220040 ALTOS";22354
"220050 AMARANTE";9822
"220060 ANGICAL DO PIAUI";3943
"220070 ANISIO DE ABREU";5687
"220080 ANTONIO ALMEIDA";2875
"220090 AROAZES";5099
"220100 ARRAIAL";3238
"220110 AVELINO LOPES";6671
"220120 BARRAS";27578
"220130 BARREIRAS DO PIAUI";2174
"220140 BARRO DURO";4884
"220150 BATALHA";12402
"220160 BENEDITINOS";7069
"220170 BERTOLINIA";4931
"220180 BOCAINA";2628
"220190 BOM JESUS";9884
"220200 BURITI DOS LOPES";16833
"220210 CAMPINAS DO PIAUI";3393
"220220 CAMPO MAIOR";44414
"220230 CANTO DO BURITI";15743
"220240 CAPITAO DE CAMPOS";5668
"220250 CARACOL";6121
"220260 CASTELO DO PIAUI";16608
"220270 COCAL";15044
"220280 CONCEICAO DO CANINDE";4431
"220290 CORRENTE";13827
"220300 CRISTALANDIA DO PIAUI";3180
"220310 CRISTINO CASTRO";5908
"220320 CURIMATA";7043
"220330 DEMERVAL LOBAO";6978
"220335 DIRCEU ARCOVERDE";6360
"220340 DOM EXPEDITO LOPES";3180
"220342 DOMINGOS MOURAO";2308
"220345 DOM INOCENCIO";5221
"220350 ELESBAO VELOSO";10019
"220360 ELISEU MARTINS";4935
"220370 ESPERANTINA";19790
"220380 FLORES DO PIAUI";2796
"220390 FLORIANO";31315
"220400 FRANCINOPOLIS";3128
"220410 FRANCISCO AYRES";2852
"220420 FRANCISCO SANTOS";4196
"220430 FRONTEIRAS";9062
"220440 GILBUES";5433
"220450 GUADALUPE";5540
"220460 HUGO NAPOLEAO";2131
"220470 INHUMA";7848
"220480 IPIRANGA DO PIAUI";4468
"220490 ISAIAS COELHO";4277
"220500 ITAINOPOLIS";8527
"220510 ITAUEIRA";6209
"220520 JAICOS";16727
"220530 JERUMENHA";4586
"220540 JOAQUIM PIRES";7819
"220550 JOSE DE FREITAS";16883
"220560 LANDRI SALES";3413
"220570 LUIS CORREIA";15964
"220580 LUZILANDIA";19232
"220590 MANOEL EMIDIO";3688
"220600 MARCOS PARENTE";2594
"220610 MATIAS OLIMPIO";6600
"220620 MIGUEL ALVES";14947
"220630 MIGUEL LEAO";726
"220640 MONSENHOR GIL";6333
"220650 MONSENHOR HIPOLITO";3792
"220660 MONTE ALEGRE DO PIAUI";4994
"220670 NAZARE DO PIAUI";4396
"220680 NOSSA SENHORA DOS REMEDIOS";3303
"220690 NOVO ORIENTE DO PIAUI";4241
"220700 OEIRAS";29496
"220720 PADRE MARCOS";11447
"220730 PAES LANDIM";2780
"220740 PALMEIRA DO PIAUI";2337
"220750 PALMEIRAIS";6551
"220760 PARNAGUA";6477
"220770 PARNAIBA";77889
"220780 PAULISTANA";22543
"220790 PEDRO II";24837
"220800 PICOS";49326
"220810 PIMENTEIRAS";6081
"220820 PIO IX";9176
"220830 PIRACURUCA";18414
"220840 PIRIPIRI";37924
"220850 PORTO";7598
"220860 PRATA DO PIAUI";1586
"220870 REDENCAO DO GURGUEIA";3444
"220880 REGENERACAO";12016
"220890 RIBEIRO GONCALVES";6289
"220900 RIO GRANDE DO PIAUI";5604
"220910 SANTA CRUZ DO PIAUI";5640
"220920 SANTA FILOMENA";2880
"220930 SANTA LUZ";2455
"220940 SANTO ANTONIO DE LISBOA";3125
"220950 SANTO INACIO DO PIAUI";3252
"220960 SAO FELIX DO PIAUI";3323
"220970 SAO FRANCISCO DO PIAUI";3713
"220980 SAO GONCALO DO PIAUI";2996
"220985 SAO JOAO DA CANABRAVA";4209
"220990 SAO JOAO DA SERRA";4253
"221000 SAO JOAO DO PIAUI";21546
"221010 SAO JOSE DO PEIXE";3129
"221020 SAO JOSE DO PIAUI";3810
"221030 SAO JULIAO";5948
"221040 SAO MIGUEL DO TAPUIO";13942
"221050 SAO PEDRO DO PIAUI";6697
"221060 SAO RAIMUNDO NONATO";26091
"221070 SIMOES";12506
"221080 SIMPLICIO MENDES";8156
"221090 SOCORRO DO PIAUI";2850
"221100 TERESINA";370948
"221110 UNIAO";23170
"221120 URUCUI";9235
"221130 VALENCA DO PIAUI";12689
"221140 VARZEA GRANDE";4830
"230010 ABAIARA";4591
"230015 ACARAPE";6071
"230020 ACARAU";25346
"230030 ACOPIARA";29587
"230040 AIUABA";7591
"230050 ALCANTARAS";4995
"230060 ALTANEIRA";2972
"230070 ALTO SANTO";8226
"230075 AMONTADA";13540
"230080 ANTONINA DO NORTE";2962
"230090 APUIARES";5736
"230100 AQUIRAZ";27399
"230110 ARACATI";36861
"230120 ARACOIABA";13373
"230130 ARARIPE";9769
"230140 ARATUBA";5986
"230150 ARNEIROZ";4345
"230160 ASSARE";11703
"230170 AURORA";14720
"230180 BAIXIO";3320
"230185 BANABUIU";8508
"230190 BARBALHA";22905
"230195 BARREIRA";8679
"230200 BARRO";11720
"230205 BARROQUINHA";7149
"230210 BATURITE";16597
"230220 BEBERIBE";21677
"230230 BELA CRUZ";14307
"230240 BOA VIAGEM";28537
"230250 BREJO SANTO";19982
"230260 CAMOCIM";28817
"230270 CAMPOS SALES";14116
"230280 CANINDE";36714
"230290 CAPISTRANO";8764
"230300 CARIDADE";7437
"230310 CARIRE";10748
"230320 CARIRIACU";12001
"230330 CARIUS";10929
"230340 CARNAUBAL";7674
"230350 CASCAVEL";28599
"230360 CATARINA";6755
"230370 CAUCAIA";98604
"230380 CEDRO";14387
"230390 CHAVAL";6060
"230395 CHOROZINHO";9126
"230400 COREAU";10374
"230410 CRATEUS";42256
"230420 CRATO";56045
"230423 CROATA";8338
"230425 CRUZ";10892
"230426 DEPUTADO IRAPUAN PINHEIRO";5339
"230427 ERERE";3703
"230428 EUSEBIO";11775
"230430 FARIAS BRITO";10492
"230435 FORQUILHA";9189
"230440 FORTALEZA";1160274
"230450 FRECHEIRINHA";5613
"230460 GENERAL SAMPAIO";3125
"230465 GRACA";7846
"230470 GRANJA";23504
"230480 GRANJEIRO";2622
"230490 GROAIRAS";4841
"230495 GUAIUBA";10297
"230500 GUARACIABA DO NORTE";17255
"230510 GUARAMIRANGA";3157
"230520 HIDROLANDIA";10527
"230523 HORIZONTE";10771
"230526 IBARETAMA";6643
"230530 IBIAPINA";11214
"230533 IBICUITINGA";4927
"230535 ICAPUI";8114
"230540 ICO";36213
"230550 IGUATU";47853
"230560 INDEPENDENCIA";14896
"230565 IPAPORANGA";6660
"230570 IPAUMIRIM";6749
"230580 IPU";21182
"230590 IPUEIRAS";20127
"230600 IRACEMA";8258
"230610 IRAUCUBA";9767
"230620 ITAICABA";3567
"230630 ITAPAGE";19688
"230640 ITAPIPOCA";43539
"230650 ITAPIUNA";7469
"230655 ITAREMA";13401
"230660 ITATIRA";8040
"230670 JAGUARETAMA";10612
"230680 JAGUARIBARA";4732
"230690 JAGUARIBE";19925
"230700 JAGUARUANA";15738
"230710 JARDIM";13621
"230720 JATI";4031
"230730 JUAZEIRO DO NORTE";107242
"230740 JUCAS";12566
"230750 LAVRAS DA MANGABEIRA";18505
"230760 LIMOEIRO DO NORTE";26772
"230763 MADALENA";7685
"230765 MARACANAU";91249
"230770 MARANGUAPE";42702
"230780 MARCO";11344
"230790 MARTINOPOLE";3863
"230800 MASSAPE";13857
"230810 MAURITI";21394
"230820 MERUOCA";5881
"230830 MILAGRES";14391
"230835 MILHA";7601
"230837 MIRAIMA";5609
"230840 MISSAO VELHA";17352
"230850 MOMBACA";24118
"230860 MONSENHOR TABOSA";9003
"230870 MORADA NOVA";35192
"230880 MORAUJO";3630
"230890 MORRINHOS";8017
"230900 MUCAMBO";6816
"230910 MULUNGU";4719
"230920 NOVA OLINDA";6671
"230930 NOVA RUSSAS";22771
"230940 NOVO ORIENTE";15811
"230945 OCARA";11470
"230950 OROS";13745
"230960 PACAJUS";19447
"230970 PACATUBA";34670
"230980 PACOTI";5998
"230990 PACUJA";2980
"231000 PALHANO";4548
"231010 PALMACIA";6046
"231020 PARACURU";12327
"231025 PARAIPABA";11432
"231030 PARAMBU";17633
"231040 PARAMOTI";6272
"231050 PEDRA BRANCA";23069
"231060 PENAFORTE";3674
"231070 PENTECOSTE";19015
"231080 PEREIRO";8331
"231085 PINDORETAMA";7748
"231090 PIQUET CARNEIRO";8128
"231095 PIRES FERREIRA";5531
"231100 PORANGA";6450
"231110 PORTEIRAS";8763
"231120 POTENGI";4816
"231123 POTIRETAMA";3443
"231126 QUITERIANOPOLIS";10009
"231130 QUIXADA";44000
"231135 QUIXELO";9391
"231140 QUIXERAMOBIM";37214
"231150 QUIXERE";8569
"231160 REDENCAO";13643
"231170 RERIUTABA";10455
"231180 RUSSAS";28903
"231190 SABOEIRO";8932
"231195 SALITRE";7030
"231200 SANTANA DO ACARAU";12748
"231210 SANTANA DO CARIRI";8504
"231220 SANTA QUITERIA";28674
"231230 SAO BENEDITO";20682
"231240 SAO GONCALO DO AMARANTE";17169
"231250 SAO JOAO DO JAGUARIBE";5534
"231260 SAO LUIS DO CURU";6508
"231270 SENADOR POMPEU";16666
"231280 SENADOR SA";2870
"231290 SOBRAL";76659
"231300 SOLONOPOLE";10095
"231310 TABULEIRO DO NORTE";16035
"231320 TAMBORIL";15475
"231325 TARRAFAS";6111
"231330 TAUA";31245
"231335 TEJUCUOCA";6599
"231340 TIANGUA";25344
"231350 TRAIRI";19998
"231355 TURURU";5646
"231360 UBAJARA";13580
"231370 UMARI";4461
"231375 UMIRIM";8579
"231380 URUBURETAMA";7790
"231390 URUOCA";5894
"231395 VARJOTA";7976
"231400 VARZEA ALEGRE";19342
"231410 VICOSA DO CEARA";22670
"240010 ACARI";7038
"240020 ACU";26713
"240030 AFONSO BEZERRA";6683
"240040 AGUA NOVA";1298
"240050 ALEXANDRIA";9047
"240060 ALMINO AFONSO";3501
"240070 ALTO DO RODRIGUES";5192
"240080 ANGICOS";8847
"240090 ANTONIO MARTINS";4626
"240100 APODI";19444
"240110 AREIA BRANCA";13686
"240120 ARES";6465
"240130 AUGUSTO SEVERO";7399
"240140 BAIA FORMOSA";4205
"240145 BARAUNA";9014
"240150 BARCELONA";2219
"240160 BENTO FERNANDES";2528
"240170 BOM JESUS";4266
"240180 BREJINHO";4806
"240190 CAICARA DO RIO DO VENTO";1603
"240200 CAICO";33360
"240210 CAMPO REDONDO";5791
"240220 CANGUARETAMA";13027
"240230 CARAUBAS";12799
"240240 CARNAUBA DOS DANTAS";3608
"240250 CARNAUBAIS";6458
"240260 CEARA-MIRIM";30617
"240270 CERRO CORA";6173
"240280 CORONEL EZEQUIEL";3560
"240290 CORONEL JOAO PESSOA";2719
"240300 CRUZETA";5021
"240310 CURRAIS NOVOS";25799
"240320 DOUTOR SEVERIANO";3653
"240325 PARNAMIRIM";39120
"240330 ENCANTO";2815
"240340 EQUADOR";3291
"240350 ESPIRITO SANTO";5860
"240360 EXTREMOZ";8839
"240370 FELIPE GUERRA";3892
"240380 FLORANIA";7549
"240390 FRANCISCO DANTAS";2003
"240400 FRUTUOSO GOMES";2782
"240410 GALINHOS";734
"240420 GOIANINHA";10031
"240430 GOVERNADOR DIX-SEPT ROSADO";6550
"240440 GROSSOS";5966
"240450 GUAMARE";3313
"240460 IELMO MARINHO";5379
"240470 IPANGUACU";9490
"240480 IPUEIRA";1099
"240490 ITAU";3110
"240500 JACANA";4314
"240510 JANDAIRA";3111
"240520 JANDUIS";3578
"240530 JANUARIO CICCO";4028
"240540 JAPI";3387
"240550 JARDIM DE ANGICOS";1501
"240560 JARDIM DE PIRANHAS";6423
"240570 JARDIM DO SERIDO";8125
"240580 JOAO CAMARA";15154
"240590 JOAO DIAS";1612
"240600 JOSE DA PENHA";3341
"240610 JUCURUTU";9152
"240620 LAGOA D'ANTA";2813
"240630 LAGOA DE PEDRAS";2943
"240640 LAGOA DE VELHOS";1201
"240650 LAGOA NOVA";6196
"240660 LAGOA SALGADA";3561
"240670 LAJES";5444
"240680 LAJES PINTADAS";2681
"240690 LUCRECIA";1827
"240700 LUIS GOMES";6533
"240710 MACAIBA";26639
"240720 MACAU";17135
"240730 MARCELINO VIEIRA";5209
"240740 MARTINS";7788
"240750 MAXARANGUAPE";7620
"240760 MESSIAS TARGINO";2052
"240770 MONTANHAS";5536
"240780 MONTE ALEGRE";9609
"240790 MONTE DAS GAMELEIRAS";1562
"240800 MOSSORO";122508
"240810 NATAL";400922
"240820 NISIA FLORESTA";8567
"240830 NOVA CRUZ";17898
"240840 OLHO-D'AGUA DO BORGES";2948
"240850 OURO BRANCO";2965
"240860 PARANA";1940
"240870 PARAU";2470
"240880 PARAZINHO";2114
"240890 PARELHAS";10997
"240910 PASSA E FICA";3836
"240920 PASSAGEM";1519
"240930 PATU";7472
"240940 PAU DOS FERROS";13351
"240950 PEDRA GRANDE";1870
"240960 PEDRA PRETA";1515
"240970 PEDRO AVELINO";6869
