"Município";"População de 15 anos ou mais"
"150830 VISEU";34506
"150835 VITORIA DO XINGU";9211
"150840 XINGUARA";28223
"160005 SERRA DO NAVIO";2758
"160010 AMAPA";5122
"160015 PEDRA BRANCA DO AMAPARI";6337
"160020 CALCOENE";5583
"160021 CUTIAS";2789
"160023 FERREIRA GOMES";3644
"160025 ITAUBAL";2537
"160027 LARANJAL DO JARI";25534
"160030 MACAPA";272471
"160040 MAZAGAO";9888
"160050 OIAPOQUE";12572
"160053 PORTO GRANDE";10561
"160055 PRACUUBA";2110
"160060 SANTANA";67635
"160070 TARTARUGALZINHO";7393
"160080 VITORIA DO JARI";7583
"170025 ABREULANDIA";1638
"170030 AGUIARNOPOLIS";3427
"170035 ALIANCA DO TOCANTINS";4145
"170040 ALMAS";5022
"170070 ALVORADA";6127
"170100 ANANAS";6738
"170105 ANGICO";2198
"170110 APARECIDA DO RIO NEGRO";2925
"170130 ARAGOMINAS";4144
"170190 ARAGUACEMA";4296
"170200 ARAGUACU";6583
"170210 ARAGUAINA";109596
"170215 ARAGUANA";3379
"170220 ARAGUATINS";20875
"170230 ARAPOEMA";4707
"170240 ARRAIAS";7442
"170255 AUGUSTINOPOLIS";11023
"170270 AURORA DO TOCANTINS";2475
"170290 AXIXA DO TOCANTINS";6263
"170300 BABACULANDIA";7581
"170305 BANDEIRANTES DO TOCANTINS";2140
"170307 BARRA DO OURO";2663
"170310 BARROLANDIA";3840
"170320 BERNARDO SAYAO";3174
"170330 BOM JESUS DO TOCANTINS";2558
"170360 BRASILANDIA DO TOCANTINS";1455
"170370 BREJINHO DE NAZARE";3704
"170380 BURITI DO TOCANTINS";6743
"170382 CACHOEIRINHA";1401
"170384 CAMPOS LINDOS";4926
"170386 CARIRI DO TOCANTINS";2460
"170388 CARMOLANDIA";1608
"170389 CARRASCO BONITO";2338
"170390 CASEARA";3111
"170410 CENTENARIO";1792
"170460 CHAPADA DE AREIA";1002
"170510 CHAPADA DA NATIVIDADE";2266
"170550 COLINAS DO TOCANTINS";22091
"170555 COMBINADO";3320
"170560 CONCEICAO DO TOCANTINS";2776
"170600 COUTO MAGALHAES";3469
"170610 CRISTALANDIA";5278
"170625 CRIXAS DO TOCANTINS";1100
"170650 DARCINOPOLIS";3578
"170700 DIANOPOLIS";13085
"170710 DIVINOPOLIS DO TOCANTINS";4541
"170720 DOIS IRMAOS DO TOCANTINS";5207
"170730 DUERE";3309
"170740 ESPERANTINA";6128
"170755 FATIMA";2709
"170765 FIGUEIROPOLIS";3962
"170770 FILADELFIA";5847
"170820 FORMOSO DO ARAGUAIA";13085
"170825 FORTALEZA DO TABOCAO";1725
"170830 GOIANORTE";3482
"170900 GOIATINS";7736
"170930 GUARAI";17077
"170950 GURUPI";57385
"170980 IPUEIRAS";1133
"171050 ITACAJA";4794
"171070 ITAGUATINS";4056
"171090 ITAPIRATINS";2487
"171110 ITAPORA DO TOCANTINS";1754
"171150 JAU DO TOCANTINS";2558
"171180 JUARINA";1575
"171190 LAGOA DA CONFUSAO";6755
"171195 LAGOA DO TOCANTINS";2183
"171200 LAJEADO";1917
"171215 LAVANDEIRA";1111
"171240 LIZARDA";2458
"171245 LUZINOPOLIS";1787
"171250 MARIANOPOLIS DO TOCANTINS";3034
"171270 MATEIROS";1382
"171280 MAURILANDIA DO TOCANTINS";2083
"171320 MIRACEMA DO TOCANTINS";14553
"171330 MIRANORTE";9259
"171360 MONTE DO CARMO";4656
"171370 MONTE SANTO DO TOCANTINS";1520
"171380 PALMEIRAS DO TOCANTINS";3966
"171395 MURICILANDIA";2100
"171420 NATIVIDADE";6390
"171430 NAZARE";3123
"171488 NOVA OLINDA";7357
"171500 NOVA ROSALANDIA";2701
"171510 NOVO ACORDO";2560
"171515 NOVO ALEGRE";1689
"171525 NOVO JARDIM";1554
"171550 OLIVEIRA DE FATIMA";717
"171570 PALMEIRANTE";3329
"171575 PALMEIROPOLIS";5409
"171610 PARAISO DO TOCANTINS";32807
"171620 PARANA";7028
"171630 PAU D'ARCO";3222
"171650 PEDRO AFONSO";8350
"171660 PEIXE";7442
"171665 PEQUIZEIRO";3558
"171670 COLMEIA";6368
"171700 PINDORAMA DO TOCANTINS";3128
"171720 PIRAQUE";2101
"171750 PIUM";4720
"171780 PONTE ALTA DO BOM JESUS";3191
"171790 PONTE ALTA DO TOCANTINS";4967
"171800 PORTO ALEGRE DO TOCANTINS";1873
"171820 PORTO NACIONAL";35392
"171830 PRAIA NORTE";4834
"171840 PRESIDENTE KENNEDY";2606
"171845 PUGMIL";1598
"171850 RECURSOLANDIA";2384
"171855 RIACHINHO";2851
"171865 RIO DA CONCEICAO";1129
"171870 RIO DOS BOIS";1845
"171875 RIO SONO";4324
"171880 SAMPAIO";2405
"171884 SANDOLANDIA";2427
"171886 SANTA FE DO ARAGUAIA";4440
"171888 SANTA MARIA DO TOCANTINS";2031
"171889 SANTA RITA DO TOCANTINS";1468
"171890 SANTA ROSA DO TOCANTINS";3021
"171900 SANTA TEREZA DO TOCANTINS";1724
"172000 SANTA TEREZINHA DO TOCANTINS";1723
"172010 SAO BENTO DO TOCANTINS";2967
"172015 SAO FELIX DO TOCANTINS";894
"172020 SAO MIGUEL DO TOCANTINS";6934
"172025 SAO SALVADOR DO TOCANTINS";2035
"172030 SAO SEBASTIAO DO TOCANTINS";2851
"172049 SAO VALERIO";3105
"172065 SILVANOPOLIS";3623
"172080 SITIO NOVO DO TOCANTINS";6352
"172085 SUCUPIRA";1213
"172090 TAGUATINGA";10666
"172093 TAIPAS DO TOCANTINS";1299
"172097 TALISMA";1873
"172100 PALMAS";166213
"172110 TOCANTINIA";4159
"172120 TOCANTINOPOLIS";15761
"172125 TUPIRAMA";1120
"172130 TUPIRATINS";1455
"172208 WANDERLANDIA";7769
"172210 XAMBIOA";8204
"210005 ACAILANDIA";71597
"210010 AFONSO CUNHA";3680
"210015 AGUA DOCE DO MARANHAO";7879
"210020 ALCANTARA";15330
"210030 ALDEIAS ALTAS";15397
"210040 ALTAMIRA DO MARANHAO";7471
"210043 ALTO ALEGRE DO MARANHAO";16464
"210047 ALTO ALEGRE DO PINDARE";19824
"210050 ALTO PARNAIBA";7119
"210055 AMAPA DO MARANHAO";3967
"210060 AMARANTE DO MARANHAO";23618
"210070 ANAJATUBA";17764
"210080 ANAPURUS";9165
"210083 APICUM-ACU";9939
"210087 ARAGUANA";9052
"210090 ARAIOSES";28695
"210095 ARAME";19189
"210100 ARARI";19998
"210110 AXIXA";7759
"210120 BACABAL";70254
"210125 BACABEIRA";10112
"210130 BACURI";11276
"210135 BACURITUBA";3719
"210140 BALSAS";56607
"210150 BARAO DE GRAJAU";13073
"210160 BARRA DO CORDA";56300
"210170 BARREIRINHAS";33792
"210173 BELAGUA";3656
"210177 BELA VISTA DO MARANHAO";8002
"210180 BENEDITO LEITE";3958
"210190 BEQUIMAO";14543
"210193 BERNARDO DO MEARIM";4245
"210197 BOA VISTA DO GURUPI";4759
"210200 BOM JARDIM";25205
"210203 BOM JESUS DAS SELVAS";18185
"210207 BOM LUGAR";9968
"210210 BREJO";22132
"210215 BREJO DE AREIA";3514
"210220 BURITI";16864
"210230 BURITI BRAVO";15368
"210232 BURITICUPU";40612
"210235 BURITIRANA";9701
"210237 CACHOEIRA GRANDE";5147
"210240 CAJAPIO";7150
"210250 CAJARI";11836
"210255 CAMPESTRE DO MARANHAO";9087
"210260 CANDIDO MENDES";12312
"210270 CANTANHEDE";13500
"210275 CAPINZAL DO NORTE";7519
"210280 CAROLINA";16513
"210290 CARUTAPERA";14373
"210300 CAXIAS";108589
"210310 CEDRAL";7259
"210312 CENTRAL DO MARANHAO";5106
"210315 CENTRO DO GUILHERME";8133
"210317 CENTRO NOVO DO MARANHAO";10847
"210320 CHAPADINHA";48806
"210325 CIDELANDIA";9140
"210330 CODO";80154
"210340 COELHO NETO";31282
"210350 COLINAS";26298
"210355 CONCEICAO DO LAGO-ACU";8773
"210360 COROATA";41738
"210370 CURURUPU";22626
"210375 DAVINOPOLIS";8413
"210380 DOM PEDRO";15873
"210390 DUQUE BACELAR";6782
"210400 ESPERANTINOPOLIS";12758
"210405 ESTREITO";24075
"210407 FEIRA NOVA DO MARANHAO";5266
"210408 FERNANDO FALCAO";5746
"210409 FORMOSA DA SERRA NEGRA";11790
"210410 FORTALEZA DOS NOGUEIRAS";7925
"210420 FORTUNA";10083
"210430 GODOFREDO VIANA";7088
"210440 GONCALVES DIAS";12008
"210450 GOVERNADOR ARCHER";7085
"210455 GOVERNADOR EDISON LOBAO";10710
"210460 GOVERNADOR EUGENIO BARROS";10651
"210462 GOVERNADOR LUIZ ROCHA";4942
"210465 GOVERNADOR NEWTON BELLO";7658
"210467 GOVERNADOR NUNES FREIRE";15943
"210470 GRACA ARANHA";4389
"210480 GRAJAU";40336
"210490 GUIMARAES";8632
"210500 HUMBERTO DE CAMPOS";15711
"210510 ICATU";16109
"210515 IGARAPE DO MEIO";8181
"210520 IGARAPE GRANDE";7897
"210530 IMPERATRIZ";180021
"210535 ITAIPAVA DO GRAJAU";8961
"210540 ITAPECURU MIRIM";41713
"210542 ITINGA DO MARANHAO";16725
"210545 JATOBA";5548
"210547 JENIPAPO DOS VIEIRAS";9631
"210550 JOAO LISBOA";14087
"210560 JOSELANDIA";10479
"210565 JUNCO DO MARANHAO";2631
"210570 LAGO DA PEDRA";31320
"210580 LAGO DO JUNCO";7214
"210590 LAGO VERDE";9866
"210592 LAGOA DO MATO";7632
"210594 LAGO DOS RODRIGUES";5411
"210596 LAGOA GRANDE DO MARANHAO";6624
"210598 LAJEADO NOVO";4768
"210600 LIMA CAMPOS";8156
"210610 LORETO";7882
"210620 LUIS DOMINGUES";4398
"210630 MAGALHAES DE ALMEIDA";12053
"210632 MARACACUME";12270
"210635 MARAJA DO SENA";4872
"210637 MARANHAOZINHO";9755
"210640 MATA ROMA";9822
"210650 MATINHA";15122
"210660 MATOES";20073
"210663 MATOES DO NORTE";9042
"210667 MILAGRES DO MARANHAO";5071
"210670 MIRADOR";13476
"210675 MIRANDA DO NORTE";17297
"210680 MIRINZAL";9705
"210690 MONCAO";20056
"210700 MONTES ALTOS";6333
"210710 MORROS";11099
"210720 NINA RODRIGUES";7563
"210725 NOVA COLINAS";3161
"210730 NOVA IORQUE";3228
"210735 NOVA OLINDA DO MARANHAO";12911
"210740 OLHO D'AGUA DAS CUNHAS";13208
"210745 OLINDA NOVA DO MARANHAO";8894
"210750 PACO DO LUMIAR";76968
"210760 PALMEIRANDIA";12978
"210770 PARAIBANO";14252
"210780 PARNARAMA";22930
"210790 PASSAGEM FRANCA";11856
"210800 PASTOS BONS";12338
"210805 PAULINO NEVES";8925
"210810 PAULO RAMOS";13248
"210820 PEDREIRAS";28376
"210825 PEDRO DO ROSARIO";14027
"210830 PENALVA";22093
"210840 PERI MIRIM";9984
"210845 PERITORO";14103
"210850 PINDARE-MIRIM";21019
"210860 PINHEIRO";55132
"210870 PIO XII";14709
"210880 PIRAPEMAS";11174
"210890 POCAO DE PEDRAS";14089
"210900 PORTO FRANCO";15038
"210905 PORTO RICO DO MARANHAO";4277
"210910 PRESIDENTE DUTRA";31940
"210920 PRESIDENTE JUSCELINO";7102
"210923 PRESIDENTE MEDICI";4276
"210927 PRESIDENTE SARNEY";10976
"210930 PRESIDENTE VARGAS";6720
"210940 PRIMEIRA CRUZ";8574
"210945 RAPOSA";18005
"210950 RIACHAO";13657
"210955 RIBAMAR FIQUENE";4940
"210960 ROSARIO";27402
"210970 SAMBAIBA";3664
"210975 SANTA FILOMENA DO MARANHAO";4608
"210980 SANTA HELENA";26220
"210990 SANTA INES";53848
"211000 SANTA LUZIA";47221
"211003 SANTA LUZIA DO PARUA";15374
"211010 SANTA QUITERIA DO MARANHAO";18658
"211020 SANTA RITA";22351
"211023 SANTANA DO MARANHAO";7664
"211027 SANTO AMARO DO MARANHAO";8512
"211030 SANTO ANTONIO DOS LOPES";10036
"211040 SAO BENEDITO DO RIO PRETO";10951
"211050 SAO BENTO";29443
"211060 SAO BERNARDO";17606
"211065 SAO DOMINGOS DO AZEITAO";4625
"211070 SAO DOMINGOS DO MARANHAO";22798
"211080 SAO FELIX DE BALSAS";3317
"211085 SAO FRANCISCO DO BREJAO";6796
"211090 SAO FRANCISCO DO MARANHAO";8493
"211100 SAO JOAO BATISTA";13851
"211102 SAO JOAO DO CARU";7524
"211105 SAO JOAO DO PARAISO";7369
"211107 SAO JOAO DO SOTER";11006
"211110 SAO JOAO DOS PATOS";17998
"211120 SAO JOSE DE RIBAMAR";118062
"211125 SAO JOSE DOS BASILIOS";5114
"211130 SAO LUIS";772037
"211140 SAO LUIS GONZAGA DO MARANHAO";13605
"211150 SAO MATEUS DO MARANHAO";26462
"211153 SAO PEDRO DA AGUA BRANCA";7919
"211157 SAO PEDRO DOS CRENTES";3029
"211160 SAO RAIMUNDO DAS MANGABEIRAS";11938
"211163 SAO RAIMUNDO DO DOCA BEZERRA";4015
"211167 SAO ROBERTO";3974
"211170 SAO VICENTE FERRER";14380
"211172 SATUBINHA";7509
"211174 SENADOR ALEXANDRE COSTA";6767
"211176 SENADOR LA ROCQUE";11864
"211178 SERRANO DO MARANHAO";6973
"211180 SITIO NOVO";11491
"211190 SUCUPIRA DO NORTE";7180
"211195 SUCUPIRA DO RIACHAO";3210
"211200 TASSO FRAGOSO";5005
"211210 TIMBIRAS";18534
"211220 TIMON";110016
"211223 TRIZIDELA DO VALE";13399
"211227 TUFILANDIA";3456
"211230 TUNTUM";26812
"211240 TURIACU";21290
"211245 TURILANDIA";14356
"211250 TUTOIA";34047
"211260 URBANO SANTOS";15252
"211270 VARGEM GRANDE";32041
"211280 VIANA";33313
"211285 VILA NOVA DOS MARTIRIOS";7377
"211290 VITORIA DO MEARIM";20874
"211300 VITORINO FREIRE";21691
"211400 ZE DOCA";33723
"220005 ACAUA";4868
"220010 AGRICOLANDIA";3774
"220020 AGUA BRANCA";11862
"220025 ALAGOINHA DO PIAUI";5627
"220027 ALEGRETE DO PIAUI";3774
"220030 ALTO LONGA";10234
"220040 ALTOS";28348
"220045 ALVORADA DO GURGUEIA";3385
"220050 AMARANTE";12477
"220060 ANGICAL DO PIAUI";4978
"220070 ANISIO DE ABREU";6509
"220080 ANTONIO ALMEIDA";2221
"220090 AROAZES";4285
"220095 AROEIRAS DO ITAIM";1914
"220100 ARRAIAL";3310
"220105 ASSUNCAO DO PIAUI";4909
"220110 AVELINO LOPES";7842
"220115 BAIXA GRANDE DO RIBEIRO";6810
"220117 BARRA D'ALCANTARA";2826
"220120 BARRAS";31431
"220130 BARREIRAS DO PIAUI";2218
"220140 BARRO DURO";4768
"220150 BATALHA";18400
"220155 BELA VISTA DO PIAUI";2697
"220157 BELEM DO PIAUI";2440
"220160 BENEDITINOS";7316
"220170 BERTOLINIA";3829
"220173 BETANIA DO PIAUI";4092
"220177 BOA HORA";4330
"220180 BOCAINA";3412
"220190 BOM JESUS";15842
"220191 BOM PRINCIPIO DO PIAUI";3755
"220192 BONFIM DO PIAUI";3937
"220194 BOQUEIRAO DO PIAUI";4456
"220196 BRASILEIRA";5893
"220198 BREJO DO PIAUI";2719
"220200 BURITI DOS LOPES";13482
"220202 BURITI DOS MONTES";5670
"220205 CABECEIRAS DO PIAUI";7328
"220207 CAJAZEIRAS DO PIAUI";2400
"220208 CAJUEIRO DA PRAIA";4978
"220209 CALDEIRAO GRANDE DO PIAUI";3996
"220210 CAMPINAS DO PIAUI";3908
"220211 CAMPO ALEGRE DO FIDALGO";3290
"220213 CAMPO GRANDE DO PIAUI";4136
"220217 CAMPO LARGO DO PIAUI";4482
"220220 CAMPO MAIOR";34810
"220225 CANAVIEIRA";2746
"220230 CANTO DO BURITI";14531
"220240 CAPITAO DE CAMPOS";7868
"220245 CAPITAO GERVASIO OLIVEIRA";2761
"220250 CARACOL";7140
"220253 CARAUBAS DO PIAUI";3821
"220255 CARIDADE DO PIAUI";3397
"220260 CASTELO DO PIAUI";13124
"220265 CAXINGO";3425
"220270 COCAL";17868
"220271 COCAL DE TELHA";3286
"220272 COCAL DOS ALVES";3947
"220273 COIVARAS";2781
"220275 COLONIA DO GURGUEIA";4223
"220277 COLONIA DO PIAUI";5369
"220280 CONCEICAO DO CANINDE";3230
"220285 CORONEL JOSE DIAS";3369
"220290 CORRENTE";17562
"220300 CRISTALANDIA DO PIAUI";5311
"220310 CRISTINO CASTRO";6919
"220320 CURIMATA";7463
"220323 CURRAIS";3184
"220325 CURRALINHOS";2907
"220327 CURRAL NOVO DO PIAUI";3206
"220330 DEMERVAL LOBAO";9723
"220335 DIRCEU ARCOVERDE";4946
"220340 DOM EXPEDITO LOPES";5003
"220342 DOMINGOS MOURAO";2929
"220345 DOM INOCENCIO";6804
"220350 ELESBAO VELOSO";11107
"220360 ELISEU MARTINS";3454
"220370 ESPERANTINA";27387
"220375 FARTURA DO PIAUI";3470
"220380 FLORES DO PIAUI";3121
"220385 FLORESTA DO PIAUI";1849
"220390 FLORIANO";43619
"220400 FRANCINOPOLIS";3825
"220410 FRANCISCO AYRES";3311
"220415 FRANCISCO MACEDO";2139
"220420 FRANCISCO SANTOS";6392
"220430 FRONTEIRAS";8133
"220435 GEMINIANO";3998
"220440 GILBUES";7038
"220450 GUADALUPE";7467
"220455 GUARIBAS";2904
"220460 HUGO NAPOLEAO";2786
"220465 ILHA GRANDE";6261
"220470 INHUMA";10940
"220480 IPIRANGA DO PIAUI";6846
"220490 ISAIAS COELHO";5834
"220500 ITAINOPOLIS";8562
"220510 ITAUEIRA";7952
"220515 JACOBINA DO PIAUI";4244
"220520 JAICOS";12856
"220525 JARDIM DO MULATO";3137
"220527 JATOBA DO PIAUI";3522
"220530 JERUMENHA";3196
"220535 JOAO COSTA";2204
"220540 JOAQUIM PIRES";9610
