"Município";"População de 15 anos ou mais"
"110001 ALTA FLORESTA D'OESTE";17782
"110002 ARIQUEMES";64982
"110003 CABIXI";4679
"110004 CACOAL";58575
"110005 CEREJEIRAS";12756
"110006 COLORADO DO OESTE";14047
"110007 CORUMBIARA";6374
"110008 COSTA MARQUES";8998
"110009 ESPIGAO D'OESTE";20890
"110010 GUAJARA-MIRIM";27363
"110011 JARU";37873
"110012 JI-PARANA";86228
"110013 MACHADINHO D'OESTE";21654
"110014 NOVA BRASILANDIA D'OESTE";14406
"110015 OURO PRETO DO OESTE";28084
"110018 PIMENTA BUENO";24884
"110020 PORTO VELHO";310318
"110025 PRESIDENTE MEDICI";16738
"110026 RIO CRESPO";2361
"110028 ROLIM DE MOURA";37714
"110029 SANTA LUZIA D'OESTE";6691
"110030 VILHENA";55761
"110032 SAO MIGUEL DO GUAPORE";15404
"110033 NOVA MAMORE";14992
"110034 ALVORADA D'OESTE";12242
"110037 ALTO ALEGRE DOS PARECIS";9019
"110040 ALTO PARAISO";12032
"110045 BURITIS";22549
"110050 NOVO HORIZONTE DO OESTE";7573
"110060 CACAULANDIA";4079
"110070 CAMPO NOVO DE RONDONIA";8650
"110080 CANDEIAS DO JAMARI";13545
"110090 CASTANHEIRAS";2654
"110092 CHUPINGUAIA";5606
"110094 CUJUBIM";10606
"110100 GOVERNADOR JORGE TEIXEIRA";7522
"110110 ITAPUA DO OESTE";5803
"110120 MINISTRO ANDREAZZA";7409
"110130 MIRANTE DA SERRA";8541
"110140 MONTE NEGRO";9762
"110143 NOVA UNIAO";5386
"110145 PARECIS";3373
"110146 PIMENTEIRAS DO OESTE";1568
"110147 PRIMAVERA DE RONDONIA";2555
"110148 SAO FELIPE D'OESTE";4509
"110149 SAO FRANCISCO DO GUAPORE";11129
"110150 SERINGUEIRAS";8088
"110155 TEIXEIROPOLIS";3608
"110160 THEOBROMA";7394
"110170 URUPA";9450
"110175 VALE DO ANARI";6600
"110180 VALE DO PARAISO";6010
"120001 ACRELANDIA";8206
"120005 ASSIS BRASIL";3873
"120010 BRASILEIA";14488
"120013 BUJARI";5539
"120017 CAPIXABA";5597
"120020 CRUZEIRO DO SUL";49824
"120025 EPITACIOLANDIA";10256
"120030 FEIJO";18955
"120032 JORDAO";3312
"120033 MANCIO LIMA";9286
"120034 MANOEL URBANO";4745
"120035 MARECHAL THAUMATURGO";7483
"120038 PLACIDO DE CASTRO";11167
"120039 PORTO WALTER";4629
"120040 RIO BRANCO";235781
"120042 RODRIGUES ALVES";8160
"120043 SANTA ROSA DO PURUS";2473
"120045 SENADOR GUIOMARD";13471
"120050 SENA MADUREIRA";24626
"120060 TARAUACA";20556
"120070 XAPURI";10674
"120080 PORTO ACRE";9681
"130002 ALVARAES";7765
"130006 AMATURA";5685
"130008 ANAMA";6279
"130010 ANORI";10077
"130014 APUI";12394
"130020 ATALAIA DO NORTE";9122
"130030 AUTAZES";19270
"130040 BARCELOS";13354
"130050 BARREIRINHA";15270
"130060 BENJAMIN CONSTANT";19548
"130063 BERURI";8556
"130068 BOA VISTA DO RAMOS";8688
"130070 BOCA DO ACRE";19433
"130080 BORBA";20951
"130083 CAAPIRANGA";6702
"130090 CANUTAMA";8562
"130100 CARAUARI";15111
"130110 CAREIRO";20728
"130115 CAREIRO DA VARZEA";15979
"130120 COARI";47575
"130130 CODAJAS";14520
"130140 EIRUNEPE";18101
"130150 ENVIRA";9558
"130160 FONTE BOA";13539
"130165 GUAJARA";7990
"130170 HUMAITA";28345
"130180 IPIXUNA";12261
"130185 IRANDUBA";25781
"130190 ITACOATIARA";55692
"130195 ITAMARATI";4601
"130200 ITAPIRANGA";5133
"130210 JAPURA";4275
"130220 JURUA";6225
"130230 JUTAI";9756
"130240 LABREA";23080
"130250 MANACAPURU";53517
"130255 MANAQUIRI";13907
"130260 MANAUS";1289881
"130270 MANICORE";29196
"130280 MARAA";9963
"130290 MAUES";31044
"130300 NHAMUNDA";11486
"130310 NOVA OLINDA DO NORTE";18491
"130320 NOVO AIRAO";9294
"130330 NOVO ARIPUANA";13545
"130340 PARINTINS";63409
"130350 PAUINI";10516
"130353 PRESIDENTE FIGUEIREDO";17541
"130356 RIO PRETO DA EVA";16900
"130360 SANTA ISABEL DO RIO NEGRO";9904
"130370 SANTO ANTONIO DO ICA";14024
"130380 SAO GABRIEL DA CACHOEIRA";23229
"130390 SAO PAULO DE OLIVENCA";18604
"130395 SAO SEBASTIAO DO UATUMA";6403
"130400 SILVES";5017
"130406 TABATINGA";31787
"130410 TAPAUA";11440
"130420 TEFE";37313
"130423 TONANTINS";9879
"130426 UARINI";6669
"130430 URUCARA";10219
"130440 URUCURITUBA";10924
"140002 AMAJARI";5271
"140005 ALTO ALEGRE";9438
"140010 BOA VISTA";197453
"140015 BONFIM";6253
"140017 CANTA";8542
"140020 CARACARAI";11531
"140023 CAROEBE";5251
"140028 IRACEMA";5638
"140030 MUCAJAI";9642
"140040 NORMANDIA";4612
"140045 PACARAIMA";5952
"140047 RORAINOPOLIS";15701
"140050 SAO JOAO DA BALIZA";4375
"140060 SAO LUIZ";4750
"140070 UIRAMUTA";4066
"150010 ABAETETUBA";97027
"150013 ABEL FIGUEIREDO";4648
"150020 ACARA";33985
"150030 AFUA";20403
"150034 AGUA AZUL DO NORTE";17894
"150040 ALENQUER";32773
"150050 ALMEIRIM";21552
"150060 ALTAMIRA";68325
"150070 ANAJAS";14047
"150080 ANANINDEUA";348671
"150085 ANAPU";13076
"150090 AUGUSTO CORREA";25168
"150095 AURORA DO PARA";17391
"150100 AVEIRO";9519
"150110 BAGRE";12383
"150120 BAIAO";23758
"150125 BANNACH";2340
"150130 BARCARENA";67707
"150140 BELEM";1067132
"150145 BELTERRA";10541
"150150 BENEVIDES";36168
"150157 BOM JESUS DO TOCANTINS";10489
"150160 BONITO";9220
"150170 BRAGANCA";76250
"150172 BRASIL NOVO";10915
"150175 BREJO GRANDE DO ARAGUAIA";4938
"150178 BREU BRANCO";33355
"150180 BREVES";54729
"150190 BUJARU";16205
"150195 CACHOEIRA DO PIRIA";15733
"150200 CACHOEIRA DO ARARI";13608
"150210 CAMETA";77921
"150215 CANAA DOS CARAJAS";17970
"150220 CAPANEMA";45509
"150230 CAPITAO POCO";34671
"150240 CASTANHAL";123792
"150250 CHAVES";12597
"150260 COLARES";7676
"150270 CONCEICAO DO ARAGUAIA";31752
"150275 CONCORDIA DO PARA";18150
"150276 CUMARU DO NORTE";6881
"150277 CURIONOPOLIS";12578
"150280 CURRALINHO";16015
"150285 CURUA";7426
"150290 CURUCA";23262
"150293 DOM ELISEU";34183
"150295 ELDORADO DOS CARAJAS";20218
"150300 FARO";5045
"150304 FLORESTA DO ARAGUAIA";12035
"150307 GARRAFAO DO NORTE";15840
"150309 GOIANESIA DO PARA";20419
"150310 GURUPA";17202
"150320 IGARAPE-ACU";25004
"150330 IGARAPE-MIRI";38209
"150340 INHANGAPI";6877
"150345 IPIXUNA DO PARA";33377
"150350 IRITUIA";20579
"150360 ITAITUBA";65350
"150370 ITUPIRANGA";32593
"150375 JACAREACANGA";7863
"150380 JACUNDA";35425
"150390 JURUTI";27850
"150400 LIMOEIRO DO AJURU";15418
"150405 MAE DO RIO";18848
"150410 MAGALHAES BARATA";5414
"150420 MARABA";159203
"150430 MARACANA";18714
"150440 MARAPANIM";18178
"150442 MARITUBA";76671
"150445 MEDICILANDIA";18431
"150450 MELGACO";13803
"150460 MOCAJUBA";16836
"150470 MOJU";44021
"150480 MONTE ALEGRE";36783
"150490 MUANA";21629
"150495 NOVA ESPERANCA DO PIRIA";12319
"150497 NOVA IPIXUNA";9723
"150500 NOVA TIMBOTEUA";9874
"150503 NOVO PROGRESSO";17284
"150506 NOVO REPARTIMENTO";39684
"150510 OBIDOS";31661
"150520 OEIRAS DO PARA";16530
"150530 ORIXIMINA";39510
"150540 OUREM";10949
"150543 OURILANDIA DO NORTE";18482
"150548 PACAJA";25677
"150549 PALESTINA DO PARA";5055
"150550 PARAGOMINAS";64798
"150553 PARAUAPEBAS";106105
"150555 PAU D'ARCO";4185
"150560 PEIXE-BOI";5529
"150563 PICARRA";8416
"150565 PLACAS";15266
"150570 PONTA DE PEDRAS";16994
"150580 PORTEL";28805
"150590 PORTO DE MOZ";19409
"150600 PRAINHA";17425
"150610 PRIMAVERA";7108
"150611 QUATIPURU";8316
"150613 REDENCAO";51579
"150616 RIO MARIA";12763
"150618 RONDON DO PARA";33075
"150619 RUROPOLIS";25641
"150620 SALINOPOLIS";25522
"150630 SALVATERRA";13684
"150635 SANTA BARBARA DO PARA";11767
"150640 SANTA CRUZ DO ARARI";5721
"150650 SANTA IZABEL DO PARA";40106
"150655 SANTA LUZIA DO PARA";12787
"150658 SANTA MARIA DAS BARREIRAS";11770
"150660 SANTA MARIA DO PARA";16482
"150670 SANTANA DO ARAGUAIA";37342
"150680 SANTAREM";200649
"150690 SANTAREM NOVO";4028
"150700 SANTO ANTONIO DO TAUA";18352
"150710 SAO CAETANO DE ODIVELAS";11636
"150715 SAO DOMINGOS DO ARAGUAIA";15364
"150720 SAO DOMINGOS DO CAPIM";18042
"150730 SAO FELIX DO XINGU";63459
"150740 SAO FRANCISCO DO PARA";10680
"150745 SAO GERALDO DO ARAGUAIA";17350
"150746 SAO JOAO DA PONTA";3558
"150747 SAO JOAO DE PIRABAS";13871
"150750 SAO JOAO DO ARAGUAIA";8610
"150760 SAO MIGUEL DO GUAMA";34266
"150770 SAO SEBASTIAO DA BOA VISTA";14527
"150775 SAPUCAIA";3468
"150780 SENADOR JOSE PORFIRIO";8139
"150790 SOURE";15954
"150795 TAILANDIA";51474
"150796 TERRA ALTA";6971
"150797 TERRA SANTA";11041
"150800 TOME-ACU";36572
"150803 TRACUATEUA";17873
"150805 TRAIRAO";11149
"150808 TUCUMA";23618
"150810 TUCURUI";65891
"150812 ULIANOPOLIS";28374
"150815 URUARA";29579
"150820 VIGIA";33769
