"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"251392 SAO BENTINHO";338,87;234,19;330,85;244,45;...;...;284,97
"251394 SAO DOMINGOS DO CARIRI";344,69;326,94;426,07;325,56;...;...;335,44
"251396 SAO DOMINGOS";284,16;236,36;177,22;238,84;600,00;...;253,28
"251398 SAO FRANCISCO";287,16;210,36;284,08;235,22;...;...;257,69
"251400 SAO JOAO DO CARIRI";436,37;286,78;480,92;327,46;601,59;...;370,52
"251410 SAO JOAO DO TIGRE";196,02;177,20;236,73;216,83;510,00;...;206,60
"251420 SAO JOSE DA LAGOA TAPADA";251,37;216,82;460,97;190,74;38,80;...;216,25
"251430 SAO JOSE DE CAIANA";267,30;265,18;...;218,29;...;...;237,04
"251440 SAO JOSE DE ESPINHARAS";264,22;260,02;211,22;211,61;510,00;...;233,72
"251445 SAO JOSE DOS RAMOS";218,63;206,10;219,48;203,64;18,57;...;208,99
"251450 SAO JOSE DE PIRANHAS";342,39;274,04;354,00;300,44;...;...;318,76
"251455 SAO JOSE DE PRINCESA";221,23;208,92;183,95;222,81;...;...;221,09
"251460 SAO JOSE DO BONFIM";289,57;230,16;160,35;215,35;...;...;238,80
"251465 SAO JOSE DO BREJO DO CRUZ";257,34;354,43;172,44;201,38;...;...;221,90
"251470 SAO JOSE DO SABUGI";328,64;288,22;318,17;267,20;...;...;300,72
"251480 SAO JOSE DOS CORDEIROS";238,82;177,74;142,54;225,72;...;...;230,31
"251490 SAO MAMEDE";449,41;248,66;307,41;281,24;206,67;...;367,29
"251500 SAO MIGUEL DE TAIPU";212,11;195,06;246,01;185,90;...;...;195,93
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";283,88;241,66;303,86;243,71;...;...;259,18
"251520 SAO SEBASTIAO DO UMBUZEIRO";270,59;259,96;314,40;256,75;140,00;...;261,83
"251530 SAPE";299,36;241,52;233,92;231,40;...;...;255,96
"251540 SAO VICENTE DO SERIDO";233,62;166,06;156,19;208,53;...;...;212,63
"251550 SERRA BRANCA";367,26;247,59;281,58;302,96;96,79;...;326,90
"251560 SERRA DA RAIZ";334,86;277,29;166,11;245,69;...;...;277,35
"251570 SERRA GRANDE";245,75;265,79;16,88;229,15;...;...;233,07
"251580 SERRA REDONDA";303,35;293,71;199,70;239,54;...;...;265,71
"251590 SERRARIA";202,67;217,98;179,13;227,57;...;...;218,91
"251593 SERTAOZINHO";238,35;104,73;415,50;258,16;76,19;...;245,69
"251597 SOBRADO";237,80;211,00;121,71;191,75;...;...;207,86
"251600 SOLANEA";367,69;177,22;216,56;282,95;...;...;308,93
"251610 SOLEDADE";372,85;301,37;427,63;286,90;...;...;325,74
"251615 SOSSEGO";225,78;284,13;235,65;208,94;...;...;218,02
"251620 SOUSA";576,21;308,73;284,46;334,02;40,57;...;435,22
"251630 SUME";392,74;289,73;295,51;298,97;261,13;...;336,03
"251640 TACIMA";183,96;160,66;328,34;196,77;...;...;190,69
"251650 TAPEROA";291,82;257,87;273,76;246,04;169,25;...;264,55
"251660 TAVARES";246,02;228,95;200,26;270,03;506,67;...;256,72
"251670 TEIXEIRA";276,48;204,21;198,78;265,82;150,50;...;265,43
"251675 TENORIO";277,80;418,57;255,00;257,23;...;...;268,85
"251680 TRIUNFO";312,89;204,70;358,88;285,56;...;...;290,15
"251690 UIRAUNA";449,49;281,52;236,19;279,28;169,00;...;352,95
"251700 UMBUZEIRO";254,33;305,87;122,95;208,12;66,67;...;231,02
"251710 VARZEA";409,95;324,73;406,67;309,53;...;...;375,21
"251720 VIEIROPOLIS";245,53;216,28;192,97;211,82;...;...;225,95
"251740 ZABELE";290,63;267,54;285,72;256,37;...;...;270,46
"260005 ABREU E LIMA";410,07;398,59;312,97;353,92;436,76;...;376,60
"260010 AFOGADOS DA INGAZEIRA";443,27;248,26;240,93;327,93;1752,93;...;378,68
"260020 AFRANIO";255,52;198,51;195,47;206,70;168,38;...;228,60
"260030 AGRESTINA";289,53;231,90;185,26;275,08;26,80;...;279,24
"260040 AGUA PRETA";222,10;152,67;185,45;180,69;...;...;189,69
"260050 AGUAS BELAS";270,11;241,88;138,07;209,76;273,58;...;234,76
"260060 ALAGOINHA";302,80;222,49;248,19;251,95;419,58;...;271,87
"260070 ALIANCA";318,97;255,75;372,45;224,47;101,91;...;257,08
"260080 ALTINHO";276,10;269,79;280,00;233,53;...;...;252,59
"260090 AMARAJI";307,62;463,26;243,04;257,02;...;...;282,41
"260100 ANGELIM";292,04;234,22;337,39;222,85;255,00;...;246,68
"260105 ARACOIABA";268,19;205,24;266,70;219,43;...;...;230,93
"260110 ARARIPINA";429,48;232,72;287,09;276,90;325,60;...;314,53
"260120 ARCOVERDE";576,09;255,17;449,18;381,24;234,38;...;446,09
"260130 BARRA DE GUABIRABA";302,47;195,87;696,47;213,12;...;...;251,54
"260140 BARREIROS";286,46;264,72;250,07;213,16;300,28;...;238,12
"260150 BELEM DE MARIA";233,18;247,86;391,87;216,90;...;...;224,72
"260160 BELEM DE SAO FRANCISCO";635,17;273,01;377,00;268,37;173,81;...;347,18
"260170 BELO JARDIM";417,44;339,56;449,85;330,29;265,84;...;366,02
"260180 BETANIA";263,13;144,78;80,54;213,63;249,67;...;219,54
"260190 BEZERROS";375,11;297,73;257,85;308,76;510,00;...;343,39
"260200 BODOCO";296,32;263,12;222,19;212,28;49,38;...;232,17
"260210 BOM CONSELHO";413,70;193,46;281,45;252,77;86,95;...;299,93
"260220 BOM JARDIM";270,42;219,43;550,51;217,26;...;...;240,38
"260230 BONITO";305,53;291,03;244,31;206,34;463,40;...;250,49
"260240 BREJAO";243,98;219,07;190,24;215,30;...;...;226,01
"260250 BREJINHO";275,53;258,51;252,24;253,89;...;...;261,90
"260260 BREJO DA MADRE DE DEUS";305,42;258,34;275,65;277,75;1946,55;...;289,19
"260270 BUENOS AIRES";282,84;246,85;316,89;223,25;16,67;...;244,81
"260280 BUIQUE";228,15;155,97;100,52;157,71;155,59;...;172,04
"260290 CABO DE SANTO AGOSTINHO";580,42;438,25;374,57;369,07;523,78;255,00;441,95
"260300 CABROBO";455,78;293,77;325,27;252,65;148,44;...;290,45
"260310 CACHOEIRINHA";337,94;199,61;558,01;269,64;223,38;...;297,29
"260320 CAETES";165,65;226,66;156,09;180,52;...;...;175,46
"260330 CALCADO";222,11;309,12;71,37;205,66;...;...;213,95
"260340 CALUMBI";276,90;259,30;161,69;271,20;389,00;...;271,82
"260345 CAMARAGIBE";581,11;392,43;419,33;371,60;287,89;...;446,00
"260350 CAMOCIM DE SAO FELIX";312,99;234,04;161,94;257,68;400,00;...;283,94
"260360 CAMUTANGA";297,26;233,30;...;261,76;152,50;...;273,19
"260370 CANHOTINHO";251,01;220,25;115,26;217,32;...;...;228,10
"260380 CAPOEIRAS";236,20;194,76;301,12;193,69;...;...;214,37
"260390 CARNAIBA";231,06;209,04;358,09;223,50;85,00;...;227,07
"260392 CARNAUBEIRA DA PENHA";256,16;165,47;212,27;140,50;164,83;...;167,93
"260400 CARPINA";478,13;300,38;320,36;349,61;606,29;-;388,37
"260410 CARUARU";615,63;428,52;512,09;468,19;620,31;...;540,90
"260415 CASINHAS";218,78;217,94;372,93;181,05;...;...;199,58
"260420 CATENDE";334,97;229,34;347,72;253,48;407,87;...;282,32
"260430 CEDRO";362,27;162,33;339,11;232,78;...;...;267,55
"260440 CHA DE ALEGRIA";248,32;215,44;381,94;221,02;...;...;228,58
"260450 CHA GRANDE";405,31;234,32;255,09;286,55;289,00;...;338,10
"260460 CONDADO";354,03;271,03;440,14;260,03;...;...;287,55
"260470 CORRENTES";289,15;207,00;216,83;221,66;...;...;243,11
"260480 CORTES";254,06;275,01;205,96;205,56;...;...;223,48
"260490 CUMARU";256,06;282,13;236,07;233,64;235,00;...;245,83
"260500 CUPIRA";385,46;290,14;282,15;276,10;208,33;...;327,09
"260510 CUSTODIA";358,05;368,39;714,13;324,85;323,90;...;342,86
"260515 DORMENTES";285,91;193,16;251,11;225,75;255,00;...;255,97
"260520 ESCADA";368,31;325,91;196,72;291,23;...;...;314,35
"260530 EXU";352,71;210,81;167,72;196,56;127,50;...;233,20
"260540 FEIRA NOVA";285,49;242,72;414,58;286,54;...;...;285,16
"260545 FERNANDO DE NORONHA";1288,78;949,36;869,17;855,14;392,31;...;1024,28
"260550 FERREIROS";400,64;254,93;150,47;246,90;850,00;...;307,35
"260560 FLORES";239,04;168,78;344,12;217,41;...;...;224,26
"260570 FLORESTA";506,06;433,44;206,39;249,59;197,44;...;307,25
"260580 FREI MIGUELINHO";280,59;300,19;470,89;273,21;...;...;278,56
"260590 GAMELEIRA";235,16;285,77;384,14;204,19;199,29;...;219,60
"260600 GARANHUNS";617,98;371,95;429,49;377,66;622,29;...;480,22
"260610 GLORIA DO GOITA";350,75;264,82;201,95;239,23;...;...;274,81
"260620 GOIANA";485,25;286,68;462,50;294,11;...;340,00;350,73
"260630 GRANITO";365,00;219,92;230,67;207,26;122,00;...;231,61
"260640 GRAVATA";448,78;367,53;267,11;338,83;520,09;...;392,96
"260650 IATI";231,37;150,62;152,33;182,76;258,86;...;197,33
"260660 IBIMIRIM";224,78;254,06;339,95;207,08;211,16;...;215,05
"260670 IBIRAJUBA";249,62;212,94;161,59;229,70;379,77;...;237,14
"260680 IGARASSU";464,74;326,82;302,29;337,44;350,60;...;370,54
"260690 IGUARACY";363,06;300,69;248,00;253,12;...;...;291,73
"260700 INAJA";329,68;120,78;128,11;148,03;157,91;...;179,99
"260710 INGAZEIRA";303,08;205,77;156,13;278,93;...;...;286,41
"260720 IPOJUCA";439,38;359,92;287,76;303,51;1204,35;...;346,14
"260730 IPUBI";279,92;242,54;255,42;211,98;285,00;...;230,51
"260740 ITACURUBA";307,41;240,05;256,18;279,44;204,78;...;268,68
"260750 ITAIBA";243,38;241,53;188,06;201,82;...;...;214,42
"260760 ILHA DE ITAMARACA";431,08;278,41;356,14;378,96;302,96;...;386,44
"260765 ITAMBE";310,25;220,50;162,52;232,43;160,00;...;253,69
"260770 ITAPETIM";360,39;280,12;288,54;296,98;250,68;...;326,28
"260775 ITAPISSUMA";303,87;259,95;204,17;303,83;...;...;297,51
"260780 ITAQUITINGA";286,33;271,25;236,56;230,33;259,17;...;245,70
"260790 JABOATAO DOS GUARARAPES";797,56;453,30;652,88;424,83;514,03;...;566,17
"260795 JAQUEIRA";254,92;272,23;422,52;218,09;600,60;...;237,70
"260800 JATAUBA";270,10;228,28;216,44;220,74;312,79;...;238,22
"260805 JATOBA";427,52;386,69;353,67;359,23;166,44;...;331,75
"260810 JOAO ALFREDO";301,25;243,89;133,33;240,26;353,33;...;265,82
"260820 JOAQUIM NABUCO";308,19;297,36;288,51;223,98;...;...;253,43
"260825 JUCATI";257,15;220,96;267,47;203,74;680,00;...;226,64
"260830 JUPI";289,55;309,54;175,00;236,11;30,75;...;258,83
"260840 JUREMA";213,35;182,01;179,84;198,10;...;...;203,68
"260845 LAGOA DO CARRO";292,82;264,50;260,23;252,70;84,00;...;268,31
"260850 LAGOA DE ITAENGA";278,13;260,38;264,76;231,12;...;...;246,69
"260860 LAGOA DO OURO";235,75;153,36;327,55;209,81;...;...;220,39
"260870 LAGOA DOS GATOS";289,69;268,94;237,38;217,67;575,00;...;247,31
"260875 LAGOA GRANDE";347,05;345,74;252,41;268,21;...;...;292,90
"260880 LAJEDO";361,27;362,87;472,33;297,68;-;...;328,72
"260890 LIMOEIRO";443,46;416,62;468,12;332,89;582,51;...;383,29
"260900 MACAPARANA";311,68;244,85;239,88;249,48;...;...;275,13
"260910 MACHADOS";256,05;229,25;34,05;195,70;...;...;220,75
"260915 MANARI";191,96;225,42;267,94;141,59;...;...;154,19
"260920 MARAIAL";249,89;132,13;367,97;221,33;...;...;228,97
"260930 MIRANDIBA";386,80;125,74;221,40;151,27;207,78;...;185,93
"260940 MORENO";392,56;343,56;270,96;301,52;256,98;...;331,35
"260950 NAZARE DA MATA";464,33;245,46;307,29;305,12;267,68;...;339,89
"260960 OLINDA";830,37;490,27;523,62;504,69;588,59;685,50;621,73
"260970 OROBO";251,66;131,18;229,51;228,89;...;...;232,58
"260980 OROCO";285,93;223,19;214,71;204,81;259,06;...;219,76
"260990 OURICURI";357,90;260,59;311,64;251,45;154,87;...;284,85
"261000 PALMARES";345,52;241,77;182,87;267,37;273,47;...;292,93
"261010 PALMEIRINA";274,66;196,03;341,57;223,14;...;...;241,51
"261020 PANELAS";253,76;171,58;169,26;220,89;292,00;...;230,71
"261030 PARANATAMA";216,72;237,68;221,16;203,66;250,00;...;209,82
"261040 PARNAMIRIM";336,14;313,80;525,80;199,77;...;...;250,69
"261050 PASSIRA";280,44;292,85;124,27;232,59;...;...;253,60
"261060 PAUDALHO";510,23;338,91;502,84;269,47;153,00;...;346,79
"261070 PAULISTA";577,25;453,70;536,97;464,50;506,80;85,17;507,98
"261080 PEDRA";300,12;201,32;308,48;212,94;...;...;239,27
"261090 PESQUEIRA";440,81;276,91;291,22;287,16;197,06;...;321,35
"261100 PETROLANDIA";391,88;264,55;225,84;324,57;262,98;...;333,69
"261110 PETROLINA";788,97;404,87;3865,66;439,70;426,49;...;584,31
"261120 POCAO";255,73;169,50;299,21;206,95;364,99;...;226,73
"261130 POMBOS";349,18;267,74;230,38;256,34;...;...;293,30
"261140 PRIMAVERA";319,93;315,33;204,25;248,87;197,68;...;276,76
"261150 QUIPAPA";250,40;209,63;178,75;193,38;-;...;213,00
"261153 QUIXABA";223,25;131,61;169,38;213,68;...;...;214,69
"261160 RECIFE";1765,08;522,83;860,59;670,39;806,94;...;1109,01
"261170 RIACHO DAS ALMAS";319,48;237,09;238,56;291,83;...;...;304,05
"261180 RIBEIRAO";402,54;257,56;243,65;268,88;175,00;...;313,17
"261190 RIO FORMOSO";312,01;296,29;282,45;235,69;280,00;...;260,84
"261200 SAIRE";319,46;319,13;249,29;257,11;...;...;291,79
"261210 SALGADINHO";220,18;168,72;345,73;178,15;...;...;194,79
"261220 SALGUEIRO";685,21;345,90;636,84;361,51;179,67;...;437,08
"261230 SALOA";288,25;213,87;334,32;230,60;475,83;...;253,14
"261240 SANHARO";290,04;178,73;308,41;246,66;94,13;...;260,24
"261245 SANTA CRUZ";247,87;163,23;227,44;178,26;...;...;205,60
"261247 SANTA CRUZ DA BAIXA VERDE";275,05;222,01;306,34;247,23;...;...;254,28
"261250 SANTA CRUZ DO CAPIBARIBE";530,13;441,68;440,71;464,67;365,40;...;492,61
"261255 SANTA FILOMENA";212,79;167,94;208,68;156,45;12,18;...;173,89
"261260 SANTA MARIA DA BOA VISTA";348,90;211,80;222,06;254,19;322,04;...;264,56
"261270 SANTA MARIA DO CAMBUCA";305,57;274,89;141,49;255,02;...;...;277,85
"261280 SANTA TEREZINHA";257,72;185,27;198,35;201,00;...;...;223,97
"261290 SAO BENEDITO DO SUL";173,49;179,56;138,14;161,76;500,00;...;165,84
"261300 SAO BENTO DO UNA";350,60;194,59;214,74;292,37;...;...;313,78
"261310 SAO CAITANO";321,44;292,56;302,16;274,56;290,94;...;294,93
"261320 SAO JOAO";321,85;198,49;172,61;229,72;353,33;...;259,98
"261330 SAO JOAQUIM DO MONTE";278,56;232,15;86,88;197,17;...;...;238,28
"261340 SAO JOSE DA COROA GRANDE";427,41;275,68;370,25;242,83;...;...;294,51
"261350 SAO JOSE DO BELMONTE";333,83;238,91;353,59;249,01;436,81;...;271,08
"261360 SAO JOSE DO EGITO";403,89;316,37;231,04;280,79;300,00;...;332,77
"261370 SAO LOURENCO DA MATA";434,99;326,59;319,25;315,33;419,24;...;355,18
"261380 SAO VICENTE FERRER";309,49;199,18;151,01;221,11;...;...;254,55
"261390 SERRA TALHADA";537,50;351,39;355,38;320,07;406,57;...;401,48
"261400 SERRITA";327,42;189,11;193,90;199,33;324,75;...;231,57
"261410 SERTANIA";372,46;733,14;292,49;273,63;...;...;327,11
"261420 SIRINHAEM";353,84;244,76;183,69;241,58;400,00;...;266,97
"261430 MOREILANDIA";250,99;178,11;298,87;175,86;...;...;200,26
"261440 SOLIDAO";251,47;181,28;359,10;218,00;226,13;...;236,21
"261450 SURUBIM";421,57;319,94;195,00;305,94;673,33;...;362,17
"261460 TABIRA";295,09;241,68;211,03;245,56;...;...;268,88
"261470 TACAIMBO";233,97;208,18;171,78;206,79;...;...;218,74
"261480 TACARATU";259,27;195,18;178,27;195,12;187,75;...;203,46
"261485 TAMANDARE";367,84;229,28;229,02;260,83;370,09;...;283,96
"261500 TAQUARITINGA DO NORTE";474,55;356,64;202,52;373,10;...;...;418,64
"261510 TEREZINHA";262,34;163,65;325,45;198,63;370,00;...;223,79
"261520 TERRA NOVA";274,63;182,78;194,48;224,63;...;...;235,50
"261530 TIMBAUBA";381,78;284,73;359,45;263,01;206,74;...;310,69
"261540 TORITAMA";485,40;374,88;446,77;419,21;...;...;448,52
"261550 TRACUNHAEM";293,35;266,00;848,31;248,93;...;...;262,62
"261560 TRINDADE";429,71;254,57;333,70;302,24;...;...;333,14
"261570 TRIUNFO";434,75;453,88;349,45;345,59;232,78;...;385,55
"261580 TUPANATINGA";155,06;173,79;105,45;178,52;117,20;...;168,82
"261590 TUPARETAMA";387,89;322,87;356,04;340,80;...;...;357,83
"261600 VENTUROSA";321,13;201,94;397,59;240,39;429,26;...;272,40
"261610 VERDEJANTE";342,99;220,90;196,62;236,28;-;...;257,07
"261618 VERTENTE DO LERIO";230,18;316,35;165,44;206,19;...;...;218,89
"261620 VERTENTES";380,11;347,34;312,13;303,70;...;...;335,84
"261630 VICENCIA";265,11;176,29;301,77;217,61;...;...;234,24
"261640 VITORIA DE SANTO ANTAO";465,26;314,88;289,82;345,91;728,76;178,00;389,18
"261650 XEXEU";273,07;174,78;346,18;222,38;...;...;237,27
"270010 AGUA BRANCA";238,80;223,98;189,46;205,42;66,74;...;210,89
"270020 ANADIA";301,34;220,61;261,15;202,21;...;...;236,86
"270030 ARAPIRACA";536,06;288,12;343,48;345,94;422,92;...;411,55
"270040 ATALAIA";290,67;191,99;169,71;210,98;289,00;...;230,76
"270050 BARRA DE SANTO ANTONIO";312,74;166,29;218,53;211,62;253,33;...;235,97
"270060 BARRA DE SAO MIGUEL";564,75;355,54;319,29;357,67;...;...;419,63
"270070 BATALHA";332,31;240,73;227,43;238,94;226,60;...;263,70
"270080 BELEM";472,36;260,48;253,48;238,29;146,00;...;306,66
"270090 BELO MONTE";223,14;168,29;330,12;155,72;263,05;...;184,58
"270100 BOCA DA MATA";302,49;187,53;224,70;230,95;...;...;253,04
"270110 BRANQUINHA";203,68;226,75;291,73;215,68;...;...;214,53
"270120 CACIMBINHAS";354,81;246,91;97,10;228,16;...;...;257,03
"270130 CAJUEIRO";305,52;186,62;201,39;192,81;...;...;218,17
"270135 CAMPESTRE";237,22;250,61;275,42;242,26;436,67;...;241,48
"270140 CAMPO ALEGRE";237,18;220,93;147,55;190,39;155,50;...;202,89
"270150 CAMPO GRANDE";201,76;172,59;219,27;167,55;...;...;177,37
"270160 CANAPI";205,07;185,19;168,92;170,78;...;...;182,07
"270170 CAPELA";304,46;247,74;196,37;221,37;...;...;246,99
"270180 CARNEIROS";268,87;192,96;238,23;169,58;510,00;...;196,83
"270190 CHA PRETA";278,18;227,04;435,58;184,32;325,00;...;218,26
"270200 COITE DO NOIA";207,58;217,97;136,16;196,31;35,67;...;201,97
"270210 COLONIA LEOPOLDINA";275,30;170,90;209,44;220,95;...;...;236,92
"270220 COQUEIRO SECO";315,09;294,92;304,40;286,22;142,00;...;293,98
"270230 CORURIPE";344,20;252,75;235,16;288,99;1772,52;...;306,10
"270235 CRAIBAS";201,88;123,67;181,11;196,82;375,00;...;193,89
"270240 DELMIRO GOUVEIA";367,41;263,22;308,59;311,36;593,84;...;323,91
"270250 DOIS RIACHOS";246,11;122,87;315,91;173,11;...;...;188,89
"270255 ESTRELA DE ALAGOAS";203,98;214,78;164,07;190,35;...;...;194,71
"270260 FEIRA GRANDE";215,74;209,91;255,53;172,89;216,25;...;190,47
"270270 FELIZ DESERTO";299,48;177,40;141,85;228,52;151,81;...;240,72
"270280 FLEXEIRAS";269,45;179,70;123,51;192,99;...;...;210,32
"270290 GIRAU DO PONCIANO";200,66;146,25;70,15;168,49;...;...;174,57
"270300 IBATEGUARA";237,76;171,67;275,97;162,87;138,50;...;190,82
"270310 IGACI";255,56;271,42;188,46;228,94;1187,50;...;238,75
"270320 IGREJA NOVA";337,62;164,62;169,17;224,90;...;...;249,21
"270330 INHAPI";300,60;150,57;60,31;139,17;132,61;...;177,26
"270340 JACARE DOS HOMENS";288,60;182,69;115,20;213,68;510,00;...;229,80
"270350 JACUIPE";237,38;176,23;244,73;212,04;...;...;217,52
"270360 JAPARATINGA";371,35;211,61;173,33;226,42;...;...;259,18
"270370 JARAMATAIA";232,35;200,20;126,60;210,39;...;...;216,88
"270375 JEQUIA DA PRAIA";231,07;142,27;124,18;186,29;...;...;195,83
"270380 JOAQUIM GOMES";220,23;217,50;241,22;168,59;154,98;...;184,40
"270390 JUNDIA";331,13;217,37;271,67;267,42;68,00;...;281,79
"270400 JUNQUEIRO";333,28;198,80;235,35;285,79;266,00;...;298,53
"270410 LAGOA DA CANOA";232,38;157,02;245,27;222,75;166,50;...;223,18
"270420 LIMOEIRO DE ANADIA";305,85;236,20;26,58;185,53;...;...;225,86
"270430 MACEIO";1143,82;513,56;657,59;567,01;950,05;...;773,26
"270440 MAJOR ISIDORO";316,45;225,93;371,49;243,46;1073,92;...;267,72
"270450 MARAGOGI";341,88;286,44;215,36;220,05;...;...;251,04
"270460 MARAVILHA";242,07;228,94;104,74;223,13;...;...;228,15
"270470 MARECHAL DEODORO";616,29;266,33;272,48;350,64;...;...;415,94
"270480 MARIBONDO";330,95;228,72;309,52;277,76;...;...;292,46
"270490 MAR VERMELHO";248,25;191,74;360,55;219,95;...;...;228,61
"270500 MATA GRANDE";229,73;184,48;235,85;168,80;130,09;...;185,12
"270510 MATRIZ DE CAMARAGIBE";235,42;231,63;266,61;209,08;82,23;...;216,10
"270520 MESSIAS";269,24;210,77;241,84;243,69;188,79;...;248,03
"270530 MINADOR DO NEGRAO";245,62;283,59;226,31;213,02;...;...;227,33
"270540 MONTEIROPOLIS";197,39;151,33;150,77;173,95;99,00;...;176,01
"270550 MURICI";273,44;206,27;294,20;212,22;...;...;230,14
"270560 NOVO LINO";291,37;170,15;404,55;211,84;352,22;...;234,60
"270570 OLHO D'AGUA DAS FLORES";375,87;215,82;158,99;236,40;...;...;270,05
"270580 OLHO D'AGUA DO CASADO";186,78;239,42;75,67;212,10;291,43;...;206,71
"270590 OLHO D'AGUA GRANDE";163,00;203,45;...;142,08;...;...;150,58
"270600 OLIVENCA";219,06;181,85;188,27;185,76;...;...;193,31
"270610 OURO BRANCO";245,64;181,01;187,03;217,68;109,00;...;225,24
"270620 PALESTINA";312,13;148,30;146,64;160,27;...;...;178,97
"270630 PALMEIRA DOS INDIOS";541,19;261,13;352,52;319,71;200,00;...;385,01
"270640 PAO DE ACUCAR";330,06;278,91;209,60;190,22;...;...;220,90
"270642 PARICONHA";280,88;205,38;167,81;224,65;153,56;...;210,07
"270644 PARIPUEIRA";423,99;396,52;258,46;264,48;147,30;...;322,47
"270650 PASSO DE CAMARAGIBE";207,96;160,26;161,40;189,28;...;...;190,71
"270660 PAULO JACINTO";285,27;207,97;170,93;224,71;...;...;245,82
"270670 PENEDO";402,11;233,37;386,05;308,87;184,60;...;328,36
"270680 PIACABUCU";252,92;144,19;183,68;224,31;...;...;220,91
"270690 PILAR";375,30;248,63;283,86;247,26;...;...;282,27
"270700 PINDOBA";422,66;268,02;269,33;231,62;-;...;291,68
"270710 PIRANHAS";390,43;249,18;105,58;215,14;583,24;...;254,98
"270720 POCO DAS TRINCHEIRAS";179,33;197,55;113,29;150,00;281,96;...;160,42
"270730 PORTO CALVO";265,36;298,65;379,35;240,91;...;...;251,38
"270740 PORTO DE PEDRAS";393,85;178,81;183,28;188,58;...;...;232,55
"270750 PORTO REAL DO COLEGIO";219,38;285,28;151,08;184,95;119,86;...;189,13
"270760 QUEBRANGULO";284,17;204,88;164,75;192,79;...;...;221,24
"270770 RIO LARGO";426,43;311,02;284,54;332,43;353,47;...;358,04
"270780 ROTEIRO";197,68;159,76;282,89;198,83;...;142,38;198,27
"270790 SANTA LUZIA DO NORTE";349,04;297,74;322,18;266,54;296,98;...;290,94
"270800 SANTANA DO IPANEMA";408,76;192,75;226,41;234,36;485,27;...;288,98
"270810 SANTANA DO MUNDAU";200,00;150,94;172,97;181,57;168,19;...;185,70
"270820 SAO BRAS";280,79;184,81;95,79;184,84;121,55;...;213,32
"270830 SAO JOSE DA LAJE";324,48;259,70;281,64;257,03;...;...;280,89
"270840 SAO JOSE DA TAPERA";204,58;118,85;128,13;192,57;...;...;187,57
"270850 SAO LUIS DO QUITUNDE";303,50;266,80;224,15;218,48;...;...;242,58
"270860 SAO MIGUEL DOS CAMPOS";411,26;302,39;636,19;312,27;252,45;...;345,09
"270870 SAO MIGUEL DOS MILAGRES";274,62;174,91;211,37;237,87;-;...;235,11
"270880 SAO SEBASTIAO";247,25;274,33;95,41;208,58;141,29;...;223,22
"270890 SATUBA";464,91;299,55;368,49;332,38;131,60;...;368,62
"270895 SENADOR RUI PALMEIRA";200,80;220,41;130,13;140,51;...;...;156,77
"270900 TANQUE D'ARCA";257,44;199,90;205,32;195,78;...;...;214,11
"270910 TAQUARANA";247,37;225,62;259,06;193,39;207,82;...;213,58
"270915 TEOTONIO VILELA";285,45;217,56;353,27;219,68;154,43;...;240,71
"270920 TRAIPU";206,42;221,68;164,40;164,36;34,24;...;176,70
"270930 UNIAO DOS PALMARES";341,41;288,41;390,45;272,82;200,06;...;298,45
"270940 VICOSA";323,05;283,25;279,20;199,79;...;...;240,44
"280010 AMPARO DE SAO FRANCISCO";339,45;255,23;302,57;258,28;...;...;274,02
"280020 AQUIDABA";319,12;200,94;249,49;254,71;...;...;269,57
"280030 ARACAJU";1399,84;753,99;1138,07;851,03;991,01;163,43;1022,07
"280040 ARAUA";324,33;159,63;193,16;238,92;...;...;242,23
"280050 AREIA BRANCA";335,88;263,73;295,31;279,53;517,85;...;292,52
"280060 BARRA DOS COQUEIROS";516,17;381,87;759,24;365,53;112,96;...;397,30
"280067 BOQUIM";311,75;273,21;374,68;290,70;...;26,00;294,25
"280070 BREJO GRANDE";197,95;197,07;176,73;193,66;...;...;194,86
"280100 CAMPO DO BRITO";458,32;268,24;208,43;367,80;...;...;389,86
"280110 CANHOBA";312,52;153,59;...;237,79;...;...;247,57
"280120 CANINDE DE SAO FRANCISCO";320,91;254,00;207,35;234,88;1866,67;...;259,97
"280130 CAPELA";405,97;231,96;283,02;294,10;172,02;...;309,91
"280140 CARIRA";325,59;258,33;264,51;273,54;...;...;290,02
"280150 CARMOPOLIS";392,70;336,06;297,61;380,35;...;...;377,89
"280160 CEDRO DE SAO JOAO";373,18;230,16;359,13;335,91;...;...;346,70
"280170 CRISTINAPOLIS";279,28;225,10;309,56;214,71;137,00;...;228,22
"280190 CUMBE";329,23;244,58;216,82;265,92;...;...;282,36
"280200 DIVINA PASTORA";262,01;280,96;255,61;278,88;413,28;...;275,96
"280210 ESTANCIA";468,67;332,50;405,56;367,32;280,31;...;385,38
"280220 FEIRA NOVA";240,07;361,38;145,01;228,34;...;...;232,12
"280230 FREI PAULO";486,32;286,70;329,65;338,97;...;...;379,95
"280240 GARARU";263,61;231,20;228,00;210,53;140,00;...;225,64
"280250 GENERAL MAYNARD";289,51;469,21;212,20;313,27;...;...;342,66
"280260 GRACHO CARDOSO";274,31;423,22;219,50;225,63;...;...;247,13
"280270 ILHA DAS FLORES";229,39;156,93;144,55;172,04;...;...;185,63
