"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"130008 ANAMA";403,41;144,49;137,81;214,08;87,40;...;226,67
"130010 ANORI";348,07;279,29;175,44;205,61;112,04;...;226,78
"130014 APUI";437,56;335,17;368,56;334,00;126,47;...;372,69
"130020 ATALAIA DO NORTE";295,03;400,52;197,53;198,99;72,81;...;157,45
"130030 AUTAZES";280,07;212,96;262,78;232,34;162,10;...;224,76
"130040 BARCELOS";420,60;205,43;42,05;259,74;48,63;...;224,16
"130050 BARREIRINHA";234,25;175,89;293,93;134,31;147,53;...;145,29
"130060 BENJAMIN CONSTANT";358,66;219,08;147,91;231,57;112,59;...;207,98
"130063 BERURI";279,40;204,11;563,90;182,64;50,89;...;189,46
"130068 BOA VISTA DO RAMOS";223,67;181,65;328,86;161,19;339,85;...;167,81
"130070 BOCA DO ACRE";364,28;263,58;258,03;267,83;83,15;...;284,50
"130080 BORBA";329,73;207,65;181,67;221,70;57,72;...;215,90
"130083 CAAPIRANGA";344,48;238,66;447,27;200,86;...;...;222,74
"130090 CANUTAMA";246,68;248,35;85,00;185,20;117,67;...;199,28
"130100 CARAUARI";214,40;215,09;217,29;215,63;18,81;...;212,91
"130110 CAREIRO";247,88;128,14;279,46;183,22;166,34;...;192,03
"130115 CAREIRO DA VARZEA";260,23;185,42;193,93;196,14;142,30;...;205,17
"130120 COARI";488,26;250,18;389,29;282,79;449,44;...;314,89
"130130 CODAJAS";433,15;127,82;143,24;203,14;...;...;230,67
"130140 EIRUNEPE";318,25;146,37;213,41;233,39;56,07;...;240,95
"130150 ENVIRA";259,45;309,58;242,46;187,92;42,21;...;203,70
"130160 FONTE BOA";324,06;192,19;277,72;189,99;9,06;...;198,26
"130165 GUAJARA";263,77;260,61;322,15;170,26;1685,97;...;190,57
"130170 HUMAITA";785,29;321,40;350,16;272,72;111,77;...;370,31
"130180 IPIXUNA";169,38;110,30;570,16;152,82;105,79;...;153,89
"130185 IRANDUBA";443,25;481,13;598,44;286,86;358,40;...;324,55
"130190 ITACOATIARA";502,33;313,09;353,93;332,55;256,68;...;364,12
"130195 ITAMARATI";444,56;99,54;33,25;143,11;30,83;...;172,10
"130200 ITAPIRANGA";334,78;217,25;310,46;318,32;803,33;...;319,98
"130210 JAPURA";303,94;486,69;65,08;263,11;95,58;...;247,01
"130220 JURUA";272,57;117,09;121,77;224,95;124,08;...;225,17
"130230 JUTAI";238,05;171,25;181,31;249,15;51,31;...;213,87
"130240 LABREA";272,41;297,26;479,63;219,60;94,60;...;223,69
"130250 MANACAPURU";438,35;330,66;346,51;315,22;119,20;...;335,30
"130255 MANAQUIRI";328,99;235,33;221,93;241,08;110,74;...;248,52
"130260 MANAUS";1140,96;554,53;755,39;593,86;452,17;192,67;738,42
"130270 MANICORE";391,36;275,09;135,60;276,75;91,44;...;292,25
"130280 MARAA";143,97;142,13;27,17;129,56;42,32;...;126,80
"130290 MAUES";439,02;212,57;117,91;232,04;81,20;...;238,10
"130300 NHAMUNDA";289,37;339,99;297,80;174,31;184,33;...;183,82
"130310 NOVA OLINDA DO NORTE";287,33;225,58;104,39;218,46;149,09;...;224,00
"130320 NOVO AIRAO";355,26;195,22;75,91;243,64;57,24;...;242,85
"130330 NOVO ARIPUANA";342,74;245,45;438,17;201,94;82,79;...;219,57
"130340 PARINTINS";526,90;328,16;575,63;272,48;262,67;...;307,10
"130350 PAUINI";455,04;134,75;104,29;178,50;52,72;...;213,82
"130353 PRESIDENTE FIGUEIREDO";513,92;318,72;249,40;360,00;38,45;...;385,09
"130356 RIO PRETO DA EVA";337,23;249,73;493,37;304,21;195,07;...;306,91
"130360 SANTA ISABEL DO RIO NEGRO";472,14;202,56;7,42;227,58;74,53;...;129,88
"130370 SANTO ANTONIO DO ICA";207,87;78,51;174,01;135,89;64,15;...;118,90
"130380 SAO GABRIEL DA CACHOEIRA";2556,14;239,09;339,10;520,85;135,08;...;332,02
"130390 SAO PAULO DE OLIVENCA";288,22;178,11;110,19;190,50;91,81;...;148,00
"130395 SAO SEBASTIAO DO UATUMA";295,38;193,85;275,20;259,17;...;...;261,07
"130400 SILVES";357,35;97,99;275,98;203,99;1878,84;...;233,86
"130406 TABATINGA";657,77;546,79;280,54;355,68;88,89;...;319,73
"130410 TAPAUA";221,00;182,49;293,23;196,37;77,88;...;190,00
"130420 TEFE";629,11;372,72;965,75;340,19;220,96;...;386,88
"130423 TONANTINS";239,65;108,21;206,65;199,52;138,36;...;188,63
"130426 UARINI";269,45;170,61;240,84;219,85;175,60;...;221,46
"130430 URUCARA";325,85;231,86;788,11;221,40;51,17;...;236,08
"130440 URUCURITUBA";265,94;113,96;803,96;214,93;187,13;...;219,10
"140002 AMAJARI";298,27;228,74;233,52;193,78;54,12;...;119,41
"140005 ALTO ALEGRE";388,36;250,28;323,98;295,28;54,26;...;193,32
"140010 BOA VISTA";1169,21;605,44;891,69;621,37;391,07;...;752,13
"140015 BONFIM";624,23;929,60;289,47;383,61;136,66;...;319,92
"140017 CANTA";550,49;267,32;312,32;268,24;186,82;...;293,59
"140020 CARACARAI";463,41;403,48;817,84;280,24;49,97;...;314,32
"140023 CAROEBE";385,69;412,53;251,34;317,15;220,91;...;331,13
"140028 IRACEMA";288,23;296,01;356,61;305,11;26,61;...;253,52
"140030 MUCAJAI";749,45;712,01;714,33;353,31;53,53;...;426,14
"140040 NORMANDIA";684,96;407,33;1268,26;305,17;101,92;...;198,40
"140045 PACARAIMA";785,78;512,92;959,47;576,24;141,99;...;357,11
"140047 RORAINOPOLIS";393,44;269,95;380,59;249,09;56,57;...;280,21
"140050 SAO JOAO DA BALIZA";481,36;305,78;273,03;336,70;85,53;...;353,82
"140060 SAO LUIZ";364,07;263,66;279,68;314,83;533,33;...;321,13
"140070 UIRAMUTA";1099,42;434,93;271,88;264,53;89,06;...;117,47
"150010 ABAETETUBA";355,69;252,95;427,08;268,53;129,61;...;287,19
"150013 ABEL FIGUEIREDO";504,54;264,26;199,71;351,62;314,04;...;380,89
"150020 ACARA";286,74;185,28;259,13;186,57;243,55;...;197,94
"150030 AFUA";204,95;192,35;334,95;150,12;298,57;...;162,49
"150034 AGUA AZUL DO NORTE";284,44;281,32;226,17;215,33;-;...;239,92
"150040 ALENQUER";250,08;163,26;127,50;200,60;...;...;206,54
"150050 ALMEIRIM";640,50;511,85;562,95;430,02;52,57;...;459,27
"150060 ALTAMIRA";671,17;451,50;402,82;433,57;106,29;...;478,90
"150070 ANAJAS";268,47;104,53;84,73;173,18;...;...;186,20
"150080 ANANINDEUA";688,14;563,21;429,81;493,55;522,52;...;544,31
"150085 ANAPU";307,71;175,58;206,65;267,60;26,54;...;261,75
"150090 AUGUSTO CORREA";174,27;183,42;30,66;145,34;...;...;149,79
"150095 AURORA DO PARA";213,88;161,93;228,69;158,48;...;...;169,63
"150100 AVEIRO";200,80;180,72;83,39;149,84;71,06;...;147,65
"150110 BAGRE";174,46;226,88;152,58;147,72;...;...;159,16
"150120 BAIAO";278,61;192,14;126,36;215,11;292,72;...;221,14
"150125 BANNACH";650,61;382,93;295,18;304,35;20,41;...;406,25
"150130 BARCARENA";585,37;405,13;649,42;369,50;344,46;...;416,77
"150140 BELEM";1273,79;613,12;892,86;643,96;767,43;472,90;812,43
"150145 BELTERRA";289,63;406,64;248,26;222,08;113,13;...;235,34
"150150 BENEVIDES";438,74;372,43;352,42;358,03;221,12;...;375,51
"150157 BOM JESUS DO TOCANTINS";394,22;361,12;374,96;298,46;320,81;...;325,60
"150160 BONITO";213,98;205,10;241,23;217,34;...;...;216,14
"150170 BRAGANCA";479,66;263,60;500,26;282,68;164,17;...;309,16
"150172 BRASIL NOVO";684,17;260,55;260,89;302,75;98,08;...;399,35
"150175 BREJO GRANDE DO ARAGUAIA";355,38;233,22;398,63;288,77;122,04;...;297,30
"150178 BREU BRANCO";355,61;237,55;217,54;220,42;278,16;...;245,84
"150180 BREVES";253,78;204,00;172,08;192,93;127,50;...;206,39
"150190 BUJARU";218,60;161,03;229,73;158,28;1020,00;...;167,93
"150195 CACHOEIRA DO PIRIA";185,33;162,62;161,28;121,69;29,49;...;129,49
"150200 CACHOEIRA DO ARARI";248,32;283,62;67,15;184,82;...;...;200,85
"150210 CAMETA";266,06;182,40;339,55;214,75;747,82;...;225,05
"150215 CANAA DOS CARAJAS";660,24;393,12;578,56;430,75;319,95;...;490,67
"150220 CAPANEMA";399,13;413,53;611,26;328,51;375,25;...;350,88
"150230 CAPITAO POCO";282,89;209,85;258,99;243,52;51,09;...;248,28
"150240 CASTANHAL";573,37;382,59;837,42;404,99;538,82;...;449,32
"150250 CHAVES";272,59;313,06;76,75;178,25;...;...;198,37
"150260 COLARES";279,06;205,86;295,08;208,39;470,66;...;223,40
"150270 CONCEICAO DO ARAGUAIA";512,27;330,57;371,86;348,66;352,63;...;387,41
"150275 CONCORDIA DO PARA";303,81;223,58;440,38;251,18;178,33;...;257,44
"150276 CUMARU DO NORTE";575,09;531,90;216,52;393,19;20,30;...;387,07
"150277 CURIONOPOLIS";504,13;252,92;223,11;266,69;...;...;314,70
"150280 CURRALINHO";230,56;150,12;946,12;180,93;...;...;188,14
"150285 CURUA";212,98;172,68;170,12;166,96;...;...;175,96
"150290 CURUCA";244,67;197,19;195,59;213,20;170,00;...;217,92
"150293 DOM ELISEU";480,61;422,79;264,45;289,53;506,31;...;342,60
"150295 ELDORADO DOS CARAJAS";365,68;257,35;293,79;250,90;150,18;...;274,97
"150300 FARO";171,34;335,22;77,20;172,90;131,84;...;176,16
"150304 FLORESTA DO ARAGUAIA";383,22;291,45;261,32;229,33;618,31;...;275,20
"150307 GARRAFAO DO NORTE";335,07;167,04;281,12;215,28;213,81;...;229,91
"150309 GOIANESIA DO PARA";384,53;315,01;156,69;256,18;201,57;...;292,63
"150310 GURUPA";189,72;206,99;249,96;186,19;...;...;188,95
"150320 IGARAPE-ACU";350,88;224,97;305,91;266,88;97,39;...;281,76
"150330 IGARAPE-MIRI";229,92;181,92;330,74;181,92;...;...;193,62
"150340 INHANGAPI";301,13;215,03;119,56;241,08;170,00;...;243,96
"150345 IPIXUNA DO PARA";213,57;149,85;209,47;170,72;62,01;...;174,93
"150350 IRITUIA";259,18;229,81;611,42;213,06;...;...;222,92
"150360 ITAITUBA";607,34;403,05;424,28;361,88;174,63;...;422,49
"150370 ITUPIRANGA";294,30;245,06;197,50;197,59;31,04;...;221,24
"150375 JACAREACANGA";630,22;360,77;700,36;386,72;92,93;...;287,44
"150380 JACUNDA";394,15;282,71;478,12;378,13;5320,85;...;379,34
"150390 JURUTI";336,02;433,68;378,14;211,74;76,71;...;236,69
"150400 LIMOEIRO DO AJURU";187,73;187,68;88,85;166,58;...;...;171,61
"150405 MAE DO RIO";473,11;351,43;273,89;332,36;50,00;...;363,91
"150410 MAGALHAES BARATA";214,57;169,21;200,12;202,54;...;...;204,57
