"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"110001 ALTA FLORESTA D'OESTE";154,99;118,44;...;89,48;-;41,88;130,51
"110002 ARIQUEMES";269,63;113,14;958,95;178,78;156,75;199,12;213,95
"110003 CABIXI";119,06;72,70;...;77,10;49,61;155,51;103,77
"110004 CACOAL";317,58;130,16;865,08;195,83;59,85;284,19;258,77
"110005 CEREJEIRAS";235,94;105,49;83,38;125,75;97,31;93,63;182,07
"110006 COLORADO DO OESTE";213,13;80,75;366,67;103,30;...;155,06;142,66
"110008 COSTA MARQUES";329,69;82,97;...;127,29;115,88;87,84;193,67
"110009 ESPIGAO D'OESTE";250,45;72,27;298,16;160,01;-;66,25;202,34
"110010 GUAJARA-MIRIM";419,60;321,44;1160,47;251,10;35,14;185,52;302,19
"110011 JARU";201,54;138,89;159,95;167,75;203,93;129,44;176,84
"110012 JI-PARANA";307,28;150,90;257,30;205,06;4,15;319,23;247,10
"110013 MACHADINHO D'OESTE";197,31;236,18;335,73;169,38;...;110,45;184,17
"110014 NOVA BRASILANDIA D'OESTE";113,27;74,54;66,34;89,68;95,55;65,33;98,73
"110015 OURO PRETO DO OESTE";175,58;97,70;284,61;156,26;191,23;154,84;163,18
"110018 PIMENTA BUENO";259,91;118,12;133,51;159,76;354,42;100,99;207,33
"110020 PORTO VELHO";555,00;309,42;527,89;293,25;141,76;293,26;362,26
"110025 PRESIDENTE MEDICI";151,70;88,69;...;148,76;...;116,03;147,69
"110028 ROLIM DE MOURA";210,64;100,57;137,26;126,30;90,28;321,32;165,21
"110029 SANTA LUZIA D'OESTE";90,90;76,71;98,59;92,89;...;69,60;91,36
"110030 VILHENA";436,70;178,55;712,23;256,65;102,48;167,38;352,11
"110032 SAO MIGUEL DO GUAPORE";107,97;92,36;...;90,51;36,46;23,42;96,72
"110033 NOVA MAMORE";149,38;225,24;263,88;154,35;46,41;107,45;153,95
"110034 ALVORADA D'OESTE";113,88;91,79;...;109,15;...;109,56;110,91
"120005 ASSIS BRASIL";190,47;336,00;...;158,24;128,75;...;161,85
"120010 BRASILEIA";283,89;140,46;...;141,52;18,24;...;160,48
"120020 CRUZEIRO DO SUL";175,07;114,53;83,07;119,94;37,42;...;131,97
"120030 FEIJO";138,01;102,37;112,89;111,95;63,04;...;117,76
"120033 MANCIO LIMA";85,09;107,01;209,63;83,29;100,48;...;84,69
"120034 MANOEL URBANO";130,86;108,17;50,91;93,84;55,55;...;95,00
"120038 PLACIDO DE CASTRO";166,01;210,59;326,87;118,79;291,09;...;123,64
"120040 RIO BRANCO";463,35;174,03;247,60;270,94;667,82;...;325,06
"120045 SENADOR GUIOMARD";217,50;130,01;274,05;168,79;...;...;175,14
"120050 SENA MADUREIRA";257,05;99,31;...;113,96;5,19;...;131,32
"120060 TARAUACA";110,41;56,56;103,72;108,36;32,38;...;102,25
"120070 XAPURI";206,87;157,40;...;129,28;...;...;143,45
"130002 ALVARAES";83,45;11,17;59,26;153,60;94,88;26,90;150,47
"130006 AMATURA";...;150,55;...;100,95;27,21;118,34;81,02
"130008 ANAMA";189,75;...;...;148,55;65,33;289,38;151,46
"130010 ANORI";267,51;257,83;...;119,05;107,53;149,35;128,57
"130014 APUI";190,68;232,65;...;185,14;147,31;146,06;189,78
"130020 ATALAIA DO NORTE";327,60;76,25;16,81;114,94;59,83;171,55;135,41
"130030 AUTAZES";514,63;53,89;135,76;127,55;28,16;169,17;154,51
"130040 BARCELOS";294,07;181,98;145,11;147,30;125,09;131,41;153,35
"130050 BARREIRINHA";177,34;...;...;104,64;132,03;82,71;108,78
"130060 BENJAMIN CONSTANT";336,95;432,35;...;197,07;15,68;313,16;205,44
"130063 BERURI";127,95;81,95;...;81,49;88,03;...;84,83
"130068 BOA VISTA DO RAMOS";118,52;...;27,84;99,85;...;85,25;99,79
"130070 BOCA DO ACRE";204,48;142,25;58,96;110,63;41,07;118,79;124,32
"130080 BORBA";228,44;50,18;...;124,12;59,03;56,88;127,77
"130083 CAAPIRANGA";128,20;96,03;...;122,39;...;...;122,77
"130090 CANUTAMA";125,12;85,08;...;95,05;17,38;140,10;102,23
"130100 CARAUARI";237,35;131,64;...;87,78;15,06;428,09;117,25
"130110 CAREIRO";205,37;167,86;119,85;198,99;496,16;77,60;198,41
"130115 CAREIRO DA VARZEA";153,90;103,03;294,22;120,21;30,85;268,61;130,05
"130120 COARI";278,68;137,14;490,15;99,22;112,98;96,77;111,10
"130130 CODAJAS";87,56;333,35;...;143,36;...;46,64;158,57
"130140 EIRUNEPE";116,19;56,39;58,78;78,48;0,33;61,05;80,16
"130150 ENVIRA";76,94;66,63;95,78;75,81;53,32;119,89;75,24
"130160 FONTE BOA";112,19;125,50;...;116,58;109,00;272,93;116,65
"130165 GUAJARA";111,09;83,14;51,55;94,52;197,91;143,30;100,75
"130170 HUMAITA";243,43;169,97;79,98;103,74;49,44;129,84;129,16
"130180 IPIXUNA";71,82;40,57;27,46;44,88;2,15;36,43;53,98
"130185 IRANDUBA";195,99;89,82;303,53;152,49;30,61;68,70;157,50
"130190 ITACOATIARA";264,51;302,82;157,63;148,43;194,46;261,12;169,07
"130195 ITAMARATI";87,07;100,24;...;130,64;152,94;196,31;127,07
"130200 ITAPIRANGA";122,60;138,58;...;133,13;...;...;133,18
"130210 JAPURA";162,11;160,83;64,25;123,02;98,48;226,56;122,68
"130220 JURUA";119,95;89,24;36,21;82,52;...;118,80;86,97
"130230 JUTAI";270,16;40,85;76,15;115,19;33,54;198,07;111,59
"130240 LABREA";238,20;43,66;32,18;116,31;25,22;36,50;116,77
"130250 MANACAPURU";209,03;82,45;47,60;138,21;91,64;510,52;146,86
"130255 MANAQUIRI";252,59;30,69;158,21;131,47;146,44;128,84;144,48
"130260 MANAUS";608,29;366,70;1202,39;348,90;251,83;536,69;413,31
"130270 MANICORE";198,12;109,33;111,82;116,67;75,90;23,41;120,59
"130280 MARAA";64,07;120,21;...;97,77;76,82;46,72;97,48
"130290 MAUES";390,10;215,68;142,57;176,09;34,81;45,95;197,81
"130300 NHAMUNDA";119,38;117,58;...;108,06;109,04;48,02;109,25
"130310 NOVA OLINDA DO NORTE";324,89;176,15;...;125,06;98,81;123,78;135,00
"130320 NOVO AIRAO";309,08;140,09;...;104,64;64,73;152,29;112,22
"130330 NOVO ARIPUANA";521,33;193,61;...;135,77;117,24;97,89;149,12
"130340 PARINTINS";290,33;169,63;3083,33;137,82;120,67;137,37;160,76
"130350 PAUINI";161,24;88,30;240,50;139,30;132,27;112,88;138,90
"130353 PRESIDENTE FIGUEIREDO";360,61;81,48;...;302,42;...;175,14;310,47
"130356 RIO PRETO DA EVA";285,09;235,19;907,55;168,47;93,52;663,41;172,42
"130360 SANTA ISABEL DO RIO NEGRO";66,41;...;42,32;96,59;50,12;78,57;75,91
"130370 SANTO ANTONIO DO ICA";360,36;34,83;148,84;107,63;47,56;3742,38;105,69
"130380 SAO GABRIEL DA CACHOEIRA";525,02;1644,19;...;355,62;103,20;79,10;185,10
"130390 SAO PAULO DE OLIVENCA";145,20;...;...;75,96;29,34;51,39;60,68
"130395 SAO SEBASTIAO DO UATUMA";268,22;...;...;227,83;...;59,40;230,94
"130400 SILVES";255,45;57,18;325,90;148,41;...;111,47;163,55
"130406 TABATINGA";206,84;148,11;100,65;174,10;59,69;142,59;149,26
"130410 TAPAUA";76,98;60,44;34,96;56,26;57,68;115,17;63,47
"130420 TEFE";149,46;123,66;60,71;166,40;113,30;394,94;160,48
"130423 TONANTINS";301,48;34,23;55,17;87,06;31,90;67,39;83,40
"130426 UARINI";369,16;...;1399,82;176,54;349,25;56,99;184,51
"130430 URUCARA";753,05;77,59;111,28;157,78;56,44;135,17;159,02
"130440 URUCURITUBA";58,39;117,11;143,17;64,87;...;33,66;65,11
"140005 ALTO ALEGRE";258,96;126,65;...;138,10;50,89;89,15;153,21
"140010 BOA VISTA";614,89;315,91;751,43;385,70;156,70;308,13;426,25
"140015 BONFIM";339,20;129,18;121,10;194,85;120,92;85,64;168,55
"140020 CARACARAI";714,11;132,21;...;183,59;578,86;66,36;268,33
"140030 MUCAJAI";307,05;226,33;193,11;180,55;76,41;39,71;188,76
"140040 NORMANDIA";231,93;164,96;-;93,50;21,50;46,97;59,50
"140050 SAO JOAO DA BALIZA";183,37;114,75;...;178,48;26,40;...;176,39
"140060 SAO LUIZ";181,08;90,03;54,18;197,73;209,88;178,10;189,08
"150010 ABAETETUBA";160,93;103,85;848,37;121,21;172,41;68,28;130,59
"150020 ACARA";372,07;191,56;2057,02;152,12;...;118,35;177,03
"150030 AFUA";169,44;77,55;...;98,06;...;120,57;105,84
"150040 ALENQUER";144,32;108,47;30,41;97,72;40,78;81,27;107,32
"150050 ALMEIRIM";605,96;134,70;...;184,59;...;434,62;233,18
"150060 ALTAMIRA";278,96;176,78;932,31;188,41;42,76;163,86;212,82
"150070 ANAJAS";143,27;102,69;...;113,96;...;107,59;116,26
"150080 ANANINDEUA";352,54;256,00;1679,51;208,32;140,27;68,83;239,89
"150090 AUGUSTO CORREA";81,03;35,13;...;73,14;-;...;73,48
"150100 AVEIRO";99,63;68,51;53,04;83,18;34,29;59,16;79,19
"150110 BAGRE";91,22;88,91;62,55;85,72;...;77,22;86,46
"150120 BAIAO";102,61;51,99;...;84,02;67,01;42,03;84,37
"150130 BARCARENA";285,09;260,77;1228,24;204,43;...;340,82;219,48
"150140 BELEM";607,73;288,26;842,67;328,43;384,03;227,61;400,13
"150150 BENEVIDES";207,55;132,67;238,40;116,11;58,63;128,75;130,40
"150157 BOM JESUS DO TOCANTINS";238,26;166,38;106,07;157,06;55,89;72,97;169,48
"150160 BONITO";101,17;79,43;31,46;96,84;...;51,65;96,80
"150170 BRAGANCA";143,19;101,54;192,25;102,28;28,56;63,43;107,49
"150175 BREJO GRANDE DO ARAGUAIA";97,56;64,84;...;77,11;65,11;62,37;79,48
"150180 BREVES";165,75;116,62;25,44;108,12;59,32;93,57;116,42
"150190 BUJARU";234,59;121,90;62,53;113,08;...;85,37;117,52
"150200 CACHOEIRA DO ARARI";117,94;69,08;125,93;113,80;173,79;84,88;107,56
"150210 CAMETA";92,35;88,81;...;92,50;...;78,66;92,34
"150220 CAPANEMA";248,19;211,42;1432,44;163,30;106,70;147,21;186,63
"150230 CAPITAO POCO";122,38;69,02;...;89,86;32,95;379,56;98,63
"150240 CASTANHAL";259,53;136,73;1143,96;189,23;206,22;322,77;211,59
"150250 CHAVES";159,13;75,57;...;90,53;63,22;125,16;93,73
"150260 COLARES";108,21;...;...;97,69;...;82,26;99,12
"150270 CONCEICAO DO ARAGUAIA";208,98;103,89;100,40;146,16;177,65;93,21;157,08
"150275 CONCORDIA DO PARA";213,05;126,58;14,73;159,87;...;29,67;165,73
"150277 CURIONOPOLIS";234,29;181,19;48,61;186,81;247,54;172,73;196,99
"150280 CURRALINHO";206,76;125,97;231,33;114,88;125,00;111,60;126,00
"150290 CURUCA";74,61;56,85;...;75,30;...;62,14;74,90
"150293 DOM ELISEU";316,77;106,62;1093,67;144,81;141,42;120,72;182,61
"150300 FARO";122,62;99,14;...;79,82;45,51;67,01;84,62
"150307 GARRAFAO DO NORTE";85,19;67,70;77,51;86,90;100,08;46,12;85,74
"150310 GURUPA";116,19;64,86;...;89,42;...;136,22;94,04
"150320 IGARAPE-ACU";185,71;106,40;1784,47;119,40;...;60,00;133,76
"150330 IGARAPE-MIRI";151,01;63,03;142,81;103,37;...;64,70;110,97
"150340 INHANGAPI";156,27;85,96;...;124,16;...;96,04;124,01
"150350 IRITUIA";104,46;79,49;71,26;100,83;...;73,06;99,99
"150360 ITAITUBA";271,55;222,31;381,17;210,37;114,90;193,31;221,09
"150370 ITUPIRANGA";162,06;85,09;70,83;93,91;...;56,21;101,65
"150380 JACUNDA";220,72;85,32;157,11;148,51;72,21;41,33;159,37
"150390 JURUTI";116,17;89,04;46,92;98,82;226,97;69,16;99,76
"150400 LIMOEIRO DO AJURU";113,95;133,92;62,82;96,12;...;137,76;100,11
"150405 MAE DO RIO";174,52;121,86;342,30;141,01;465,24;543,60;147,72
"150410 MAGALHAES BARATA";91,32;125,49;...;80,53;...;89,42;81,94
"150420 MARABA";297,13;156,35;127,45;179,55;93,30;149,17;202,86
"150430 MARACANA";124,22;69,88;85,47;86,10;...;86,09;90,57
"150440 MARAPANIM";114,30;67,61;26,61;107,20;-;274,22;109,25
"150445 MEDICILANDIA";203,47;99,44;235,90;143,45;...;...;162,63
"150450 MELGACO";55,29;66,90;50,38;93,51;84,74;89,52;88,97
"150460 MOCAJUBA";129,17;88,24;...;103,58;...;-;107,69
"150470 MOJU";143,49;102,05;55,95;105,39;47,72;76,68;109,75
"150480 MONTE ALEGRE";134,14;76,99;668,80;111,38;...;137,77;114,96
"150490 MUANA";95,07;110,56;...;100,13;...;51,58;97,68
"150500 NOVA TIMBOTEUA";184,18;98,10;221,82;108,85;...;84,22;125,78
"150510 OBIDOS";162,54;117,37;...;110,86;57,50;101,67;121,97
"150520 OEIRAS DO PARA";90,41;71,97;...;123,82;61,10;137,07;118,80
"150530 ORIXIMINA";232,31;93,23;47,22;164,12;53,44;102,05;169,85
"150540 OUREM";120,03;68,87;...;89,94;39,94;34,76;92,43
"150543 OURILANDIA DO NORTE";292,35;183,10;72,21;193,68;26,60;118,58;216,80
