"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"150548 PACAJA";141,75;166,74;...;72,62;69,32;62,58;84,80
"150550 PARAGOMINAS";331,22;138,46;792,48;160,93;48,23;233,56;198,62
"150553 PARAUAPEBAS";432,94;114,91;378,28;199,59;509,03;34,98;250,61
"150560 PEIXE-BOI";130,41;81,73;...;90,01;...;40,91;96,91
"150570 PONTA DE PEDRAS";130,29;109,55;...;102,68;...;...;106,98
"150580 PORTEL";119,70;84,21;109,79;108,12;...;46,56;109,64
"150590 PORTO DE MOZ";302,09;77,73;...;103,03;...;78,64;114,68
"150600 PRAINHA";122,90;87,96;...;89,42;...;85,35;92,97
"150610 PRIMAVERA";178,73;73,84;...;62,96;28,39;25,53;77,03
"150613 REDENCAO";278,91;108,24;303,09;191,28;86,01;238,51;209,18
"150616 RIO MARIA";255,20;123,21;288,24;144,41;485,30;578,01;176,84
"150618 RONDON DO PARA";309,09;172,47;...;173,28;40,01;176,94;207,45
"150619 RUROPOLIS";103,26;56,20;...;76,07;33,72;51,93;83,48
"150620 SALINOPOLIS";165,88;126,08;...;122,55;108,55;67,04;127,05
"150630 SALVATERRA";239,87;75,71;220,10;147,63;...;182,26;156,97
"150640 SANTA CRUZ DO ARARI";141,89;90,35;...;109,77;42,19;44,69;110,42
"150650 SANTA IZABEL DO PARA";208,40;183,57;1052,07;159,99;81,84;91,88;180,95
"150658 SANTA MARIA DAS BARREIRAS";417,11;224,76;...;175,29;21,08;190,40;220,06
"150660 SANTA MARIA DO PARA";177,48;112,50;2483,71;173,90;...;94,51;184,93
"150670 SANTANA DO ARAGUAIA";157,10;133,86;275,50;150,15;56,88;225,31;152,14
"150680 SANTAREM";211,33;134,43;429,98;143,30;67,92;107,30;157,82
"150690 SANTAREM NOVO";396,54;54,22;...;101,04;...;35,55;126,86
"150700 SANTO ANTONIO DO TAUA";134,29;95,94;1301,53;102,64;...;190,68;117,36
"150710 SAO CAETANO DE ODIVELAS";113,12;99,21;...;104,19;...;103,41;104,97
"150720 SAO DOMINGOS DO CAPIM";165,16;105,72;96,91;121,64;158,70;116,98;127,33
"150730 SAO FELIX DO XINGU";246,37;166,98;146,42;193,50;-;95,85;199,24
"150740 SAO FRANCISCO DO PARA";230,72;99,00;272,90;144,46;...;...;162,49
"150745 SAO GERALDO DO ARAGUAIA";116,32;70,11;194,84;95,37;70,91;37,09;98,77
"150747 SAO JOAO DE PIRABAS";104,62;72,67;378,00;100,49;88,33;40,66;100,74
"150750 SAO JOAO DO ARAGUAIA";127,36;120,19;100,92;105,19;...;163,85;111,95
"150760 SAO MIGUEL DO GUAMA";209,09;99,47;128,19;135,69;...;100,64;140,52
"150770 SAO SEBASTIAO DA BOA VISTA";121,96;68,71;...;100,59;...;205,55;102,80
"150780 SENADOR JOSE PORFIRIO";137,65;133,27;52,19;136,22;22,60;...;134,85
"150790 SOURE";364,91;136,03;157,27;149,32;...;290,35;161,79
"150795 TAILANDIA";537,57;102,74;...;175,37;...;75,13;237,64
"150800 TOME-ACU";177,23;114,60;501,68;123,03;64,99;225,23;140,61
"150808 TUCUMA";284,89;326,27;...;184,16;80,74;114,02;219,21
"150810 TUCURUI";254,19;146,75;71,38;156,64;57,30;102,67;177,07
"150815 URUARA";200,60;107,74;160,13;126,23;79,85;72,97;151,04
"150820 VIGIA";140,80;82,95;175,74;120,78;...;54,58;125,53
"150830 VISEU";124,07;88,37;121,75;79,87;66,31;61,63;84,19
"150840 XINGUARA";281,93;209,41;65,61;264,41;41,59;251,60;268,13
"160010 AMAPA";157,25;63,88;...;152,19;15,43;...;150,56
"160020 CALCOENE";212,72;209,59;...;185,20;...;...;194,29
"160023 FERREIRA GOMES";117,66;35,66;...;118,10;...;...;108,52
"160027 LARANJAL DO JARI";256,51;243,05;121,15;220,54;22,90;...;227,65
"160030 MACAPA";463,48;262,77;1467,84;313,31;9,93;...;345,74
"160040 MAZAGAO";112,99;71,92;361,59;134,87;...;...;130,35
"160050 OIAPOQUE";348,07;299,42;...;344,68;98,08;...;260,04
"160060 SANTANA";296,06;506,88;...;179,80;195,40;...;218,99
"160070 TARTARUGALZINHO";650,50;68,67;16,79;112,35;...;...;132,24
"170035 ALIANCA DO TOCANTINS";183,18;88,53;47,01;132,93;...;79,68;140,50
"170040 ALMAS";132,94;51,61;...;94,94;322,35;...;93,40
"170070 ALVORADA";513,54;108,31;174,00;215,48;65,82;111,64;301,77
"170100 ANANAS";120,55;78,92;...;103,66;...;49,52;104,83
"170110 APARECIDA DO RIO NEGRO";218,49;81,99;...;103,30;...;213,87;128,34
"170190 ARAGUACEMA";103,31;81,14;...;125,29;...;72,53;122,29
"170200 ARAGUACU";191,39;111,70;88,81;144,51;...;224,42;161,82
"170210 ARAGUAINA";437,38;162,98;701,99;217,68;186,68;108,76;273,60
"170220 ARAGUATINS";111,62;65,78;...;94,43;18,78;...;94,95
"170230 ARAPOEMA";196,64;105,79;...;143,27;...;...;157,34
"170240 ARRAIAS";332,03;145,55;728,28;162,18;...;118,03;175,99
"170255 AUGUSTINOPOLIS";180,51;110,25;84,44;113,22;27,82;158,92;122,80
"170270 AURORA DO TOCANTINS";187,87;61,43;...;93,31;...;...;101,88
"170290 AXIXA DO TOCANTINS";73,09;60,33;437,53;69,69;75,23;116,09;70,11
"170300 BABACULANDIA";71,92;68,97;27,12;88,05;...;170,88;86,49
"170310 BARROLANDIA";141,55;87,48;...;127,84;53,99;...;130,51
"170320 BERNARDO SAYAO";85,37;62,94;...;125,49;...;123,54;104,78
"170370 BREJINHO DE NAZARE";251,55;69,71;...;96,63;...;27,70;113,71
"170380 BURITI DO TOCANTINS";122,50;50,72;40,65;78,01;...;94,83;81,74
"170390 CASEARA";102,49;165,14;80,05;163,39;...;...;161,74
"170550 COLINAS DO TOCANTINS";372,31;136,42;1218,39;183,64;...;...;229,65
"170555 COMBINADO";161,81;91,09;...;123,03;...;...;121,68
"170560 CONCEICAO DO TOCANTINS";201,63;88,95;482,02;81,79;...;...;97,30
"170600 COUTO MAGALHAES";138,35;76,51;...;80,46;41,50;73,39;114,18
"170610 CRISTALANDIA";359,61;89,07;30,75;171,38;84,30;439,74;199,83
"170700 DIANOPOLIS";335,76;144,58;76,11;166,45;...;69,68;192,57
"170710 DIVINOPOLIS DO TOCANTINS";128,34;46,30;...;132,02;...;106,42;127,71
"170720 DOIS IRMAOS DO TOCANTINS";136,12;100,16;86,80;89,89;...;76,58;99,38
"170730 DUERE";143,30;112,96;...;124,14;...;...;131,72
"170755 FATIMA";187,48;315,14;...;146,73;...;89,79;155,17
"170765 FIGUEIROPOLIS";190,90;81,79;...;139,46;29,23;101,29;152,60
"170770 FILADELFIA";156,71;57,89;109,88;93,41;...;129,27;106,20
"170820 FORMOSO DO ARAGUAIA";209,52;120,02;...;135,93;91,80;...;150,76
"170830 GOIANORTE";165,24;64,24;...;129,74;34,59;...;143,49
"170900 GOIATINS";99,49;59,86;88,52;102,25;17,56;16,98;96,96
"170930 GUARAI";316,98;181,09;416,51;170,00;65,49;...;211,99
"170950 GURUPI";566,57;288,04;115,16;288,07;98,41;221,53;383,43
"171050 ITACAJA";95,23;60,75;108,89;79,59;18,01;...;80,89
"171070 ITAGUATINS";124,66;93,48;...;74,35;105,88;...;90,39
"171110 ITAPORA DO TOCANTINS";152,45;124,44;...;104,63;...;...;123,88
"171240 LIZARDA";161,72;55,60;135,30;102,94;24,36;...;106,26
"171250 MARIANOPOLIS DO TOCANTINS";121,78;116,53;...;117,91;...;110,66;118,12
"171320 MIRACEMA DO TOCANTINS";645,17;125,18;120,66;239,31;159,70;149,11;372,57
"171330 MIRANORTE";355,54;120,21;509,68;176,27;281,63;136,00;252,44
"171360 MONTE DO CARMO";233,60;75,66;...;114,45;96,87;41,84;123,15
"171420 NATIVIDADE";285,31;108,79;71,11;104,18;...;94,47;128,62
"171430 NAZARE";89,70;68,10;20,07;64,60;20,83;46,44;70,90
"171488 NOVA OLINDA";170,85;120,76;...;116,00;...;...;143,12
"171500 NOVA ROSALANDIA";205,49;125,48;...;136,57;...;...;144,57
"171510 NOVO ACORDO";66,17;61,94;...;89,43;...;239,79;86,17
"171575 PALMEIROPOLIS";289,47;116,63;231,25;164,72;133,44;...;209,49
"171610 PARAISO DO TOCANTINS";442,80;296,57;30,77;403,96;...;487,38;411,32
"171620 PARANA";490,79;85,65;18,84;108,15;...;43,69;115,95
"171650 PEDRO AFONSO";222,91;194,00;34,57;157,64;...;...;167,81
"171660 PEIXE";146,95;68,70;...;123,37;...;...;122,87
"171665 PEQUIZEIRO";153,09;78,16;...;106,71;...;84,49;124,02
"171670 COLMEIA";243,63;103,75;82,49;154,84;...;...;178,83
"171700 PINDORAMA DO TOCANTINS";234,72;38,94;...;119,45;70,88;...;129,35
"171750 PIUM";216,86;92,65;...;135,00;...;289,86;149,63
"171780 PONTE ALTA DO BOM JESUS";209,03;69,71;...;70,28;...;49,76;86,20
"171790 PONTE ALTA DO TOCANTINS";179,16;36,52;...;87,06;...;33,35;97,09
"171800 PORTO ALEGRE DO TOCANTINS";134,57;81,42;...;96,88;...;...;104,50
"171820 PORTO NACIONAL";362,62;95,98;1628,51;210,17;182,61;184,35;240,32
"171830 PRAIA NORTE";55,35;82,11;50,31;93,59;87,75;...;88,57
"171840 PRESIDENTE KENNEDY";230,41;102,41;38,86;133,42;63,44;...;150,08
"171875 RIO SONO";108,83;87,89;...;111,01;...;97,56;108,11
"171880 SAMPAIO";58,43;31,27;...;44,19;...;...;44,48
"171890 SANTA ROSA DO TOCANTINS";160,46;92,52;29,00;120,35;105,94;70,92;114,46
"171900 SANTA TEREZA DO TOCANTINS";134,43;30,91;...;71,76;...;15,05;82,05
"172030 SAO SEBASTIAO DO TOCANTINS";238,10;73,64;18,28;77,59;...;27,76;87,07
"172049 SAO VALERIO";189,61;101,93;...;114,34;...;...;127,32
"172065 SILVANOPOLIS";202,43;70,36;...;134,82;...;...;126,84
"172080 SITIO NOVO DO TOCANTINS";83,24;69,89;207,99;75,70;...;...;76,68
"172090 TAGUATINGA";263,48;73,72;60,47;84,63;...;53,14;110,39
"172100 PALMAS";563,06;206,83;241,86;285,31;...;194,65;383,52
"172110 TOCANTINIA";246,54;134,23;...;186,62;40,71;68,39;176,34
"172120 TOCANTINOPOLIS";185,80;341,99;35,39;109,46;35,58;117,03;130,89
"172208 WANDERLANDIA";147,06;80,67;...;120,36;123,80;108,33;125,40
"172210 XAMBIOA";155,23;106,11;268,28;166,02;70,31;85,99;159,10
"210005 ACAILANDIA";274,25;120,91;146,86;160,63;...;126,67;183,98
"210010 AFONSO CUNHA";81,00;48,10;...;53,94;...;...;54,12
"210020 ALCANTARA";97,02;91,63;20,17;84,58;55,93;137,61;86,88
"210030 ALDEIAS ALTAS";71,20;91,69;...;73,28;...;68,88;74,78
"210040 ALTAMIRA DO MARANHAO";66,07;62,24;60,32;70,24;...;49,37;68,91
"210050 ALTO PARNAIBA";182,41;84,14;...;79,55;...;...;115,54
"210060 AMARANTE DO MARANHAO";119,50;201,13;131,55;97,08;34,21;84,60;97,28
"210070 ANAJATUBA";83,29;50,56;...;58,48;...;49,74;67,33
"210080 ANAPURUS";70,67;64,86;57,81;71,69;...;40,68;71,05
"210090 ARAIOSES";82,73;63,38;...;66,88;...;75,04;68,65
"210095 ARAME";95,67;81,84;48,08;70,77;32,97;95,72;74,22
"210100 ARARI";129,46;71,79;109,43;70,69;32,63;76,86;93,97
"210110 AXIXA";126,30;72,21;24,76;78,90;...;54,39;82,76
"210120 BACABAL";166,15;102,65;...;94,17;139,47;68,61;112,56
"210130 BACURI";83,54;57,87;...;66,58;...;164,66;66,14
"210140 BALSAS";188,87;66,69;438,74;91,78;170,74;171,43;112,93
"210150 BARAO DE GRAJAU";104,58;74,54;...;65,72;...;99,57;73,58
"210160 BARRA DO CORDA";94,97;45,46;72,13;64,47;35,23;50,96;70,66
"210170 BARREIRINHAS";58,39;38,23;...;58,47;...;28,65;58,25
"210180 BENEDITO LEITE";109,07;79,44;...;69,49;...;24,01;76,99
"210190 BEQUIMAO";46,36;44,56;...;60,11;...;40,52;53,64
"210200 BOM JARDIM";79,02;78,29;-;81,02;56,83;54,93;79,60
"210210 BREJO";110,88;53,07;101,31;72,22;...;22,73;79,32
"210220 BURITI";103,34;88,40;108,41;76,71;...;99,52;81,81
"210230 BURITI BRAVO";134,52;56,58;...;83,38;...;37,89;87,32
"210240 CAJAPIO";84,03;47,43;66,66;54,98;...;66,94;54,87
"210250 CAJARI";65,52;61,95;...;55,46;...;51,08;58,28
"210260 CANDIDO MENDES";133,97;87,85;64,90;62,54;32,09;35,29;77,38
"210270 CANTANHEDE";61,72;49,82;26,74;56,11;...;48,52;56,90
"210280 CAROLINA";124,03;92,17;...;110,54;...;121,39;113,09
"210290 CARUTAPERA";94,57;63,25;76,09;72,82;30,44;54,67;74,55
"210300 CAXIAS";160,59;74,38;147,65;96,78;58,30;77,77;103,51
"210310 CEDRAL";125,66;83,54;...;87,04;...;41,22;91,02
"210320 CHAPADINHA";186,23;70,32;50,89;84,75;45,15;53,91;101,80
"210330 CODO";129,24;78,00;210,88;86,32;65,92;110,09;92,08
"210340 COELHO NETO";155,97;111,95;2579,18;104,91;...;188,34;113,28
"210350 COLINAS";307,75;53,45;...;64,58;...;137,65;115,97
"210360 COROATA";102,16;56,75;29,35;66,46;54,73;70,76;72,25
"210370 CURURUPU";114,26;77,28;74,98;74,61;...;168,67;79,49
"210380 DOM PEDRO";197,14;93,21;...;117,52;333,11;44,25;136,40
"210390 DUQUE BACELAR";66,56;54,74;...;61,79;...;127,71;62,49
"210400 ESPERANTINOPOLIS";97,96;78,31;125,78;77,85;...;58,78;80,63
"210405 ESTREITO";204,07;92,57;...;105,40;78,35;...;128,47
"210410 FORTALEZA DOS NOGUEIRAS";112,26;35,72;...;42,68;...;93,67;57,32
"210420 FORTUNA";89,02;41,72;...;59,89;...;27,21;64,97
"210430 GODOFREDO VIANA";109,75;86,08;1301,03;89,84;35,47;92,67;93,59
"210440 GONCALVES DIAS";153,01;101,39;...;151,44;77,87;105,54;149,59
"210450 GOVERNADOR ARCHER";81,32;59,82;...;111,35;...;45,99;102,28
"210460 GOVERNADOR EUGENIO BARROS";68,62;52,59;370,80;62,28;...;32,44;62,91
"210470 GRACA ARANHA";78,85;63,72;...;64,57;...;...;67,23
