"Município";"População não alfabetizada"
"160010 AMAPA";1151
"160020 CALCOENE";597
"160023 FERREIRA GOMES";275
"160027 LARANJAL DO JARI";3675
"160030 MACAPA";14093
"160040 MAZAGAO";1997
"160050 OIAPOQUE";751
"160060 SANTANA";6311
"160070 TARTARUGALZINHO";754
"170035 ALIANCA DO TOCANTINS";1040
"170040 ALMAS";1850
"170070 ALVORADA";1252
"170100 ANANAS";2463
"170110 APARECIDA DO RIO NEGRO";526
"170190 ARAGUACEMA";1288
"170200 ARAGUACU";2095
"170210 ARAGUAINA";15113
"170220 ARAGUATINS";6185
"170230 ARAPOEMA";2895
"170240 ARRAIAS";2806
"170255 AUGUSTINOPOLIS";2433
"170270 AURORA DO TOCANTINS";848
"170290 AXIXA DO TOCANTINS";2872
"170300 BABACULANDIA";2266
"170310 BARROLANDIA";1373
"170320 BERNARDO SAYAO";797
"170370 BREJINHO DE NAZARE";1295
"170380 BURITI DO TOCANTINS";1973
"170390 CASEARA";412
"170550 COLINAS DO TOCANTINS";3300
"170555 COMBINADO";901
"170560 CONCEICAO DO TOCANTINS";808
"170600 COUTO MAGALHAES";1161
"170610 CRISTALANDIA";2045
"170700 DIANOPOLIS";2367
"170710 DIVINOPOLIS DO TOCANTINS";1219
"170720 DOIS IRMAOS DO TOCANTINS";1078
"170730 DUERE";888
"170755 FATIMA";494
"170765 FIGUEIROPOLIS";1126
"170770 FILADELFIA";2425
"170820 FORMOSO DO ARAGUAIA";2572
"170830 GOIANORTE";696
"170900 GOIATINS";4725
"170930 GUARAI";3072
"170950 GURUPI";5833
"171050 ITACAJA";3069
"171070 ITAGUATINS";2594
"171110 ITAPORA DO TOCANTINS";635
"171240 LIZARDA";589
"171250 MARIANOPOLIS DO TOCANTINS";391
"171320 MIRACEMA DO TOCANTINS";3067
"171330 MIRANORTE";1725
"171360 MONTE DO CARMO";1210
"171420 NATIVIDADE";2069
"171430 NAZARE";1868
"171488 NOVA OLINDA";1510
"171500 NOVA ROSALANDIA";475
"171510 NOVO ACORDO";1029
"171575 PALMEIROPOLIS";1775
"171610 PARAISO DO TOCANTINS";3376
"171620 PARANA";2830
"171650 PEDRO AFONSO";2086
"171660 PEIXE";2472
"171665 PEQUIZEIRO";612
"171670 COLMEIA";1690
"171700 PINDORAMA DO TOCANTINS";869
"171750 PIUM";1576
"171780 PONTE ALTA DO BOM JESUS";1641
"171790 PONTE ALTA DO TOCANTINS";1330
"171800 PORTO ALEGRE DO TOCANTINS";414
"171820 PORTO NACIONAL";4687
"171830 PRAIA NORTE";1539
"171840 PRESIDENTE KENNEDY";1165
"171875 RIO SONO";1189
"171880 SAMPAIO";1480
"171890 SANTA ROSA DO TOCANTINS";864
"171900 SANTA TEREZA DO TOCANTINS";451
"172030 SAO SEBASTIAO DO TOCANTINS";1232
"172049 SAO VALERIO";774
"172065 SILVANOPOLIS";1140
"172080 SITIO NOVO DO TOCANTINS";1841
"172090 TAGUATINGA";2672
"172100 PALMAS";2184
"172110 TOCANTINIA";1078
"172120 TOCANTINOPOLIS";6228
"172208 WANDERLANDIA";1796
"172210 XAMBIOA";2021
"210005 ACAILANDIA";19432
"210010 AFONSO CUNHA";1390
"210020 ALCANTARA";5042
"210030 ALDEIAS ALTAS";7037
"210040 ALTAMIRA DO MARANHAO";6443
"210050 ALTO PARNAIBA";1854
"210060 AMARANTE DO MARANHAO";5889
"210070 ANAJATUBA";6074
"210080 ANAPURUS";3213
"210090 ARAIOSES";15588
"210095 ARAME";9958
"210100 ARARI";5761
"210110 AXIXA";1458
"210120 BACABAL";24033
"210130 BACURI";5085
"210140 BALSAS";8341
"210150 BARAO DE GRAJAU";4473
"210160 BARRA DO CORDA";24066
"210170 BARREIRINHAS";7014
"210180 BENEDITO LEITE";2467
"210190 BEQUIMAO";4617
"210200 BOM JARDIM";13720
"210210 BREJO";8707
"210220 BURITI";7049
"210230 BURITI BRAVO";5818
"210240 CAJAPIO";3999
"210250 CAJARI";3826
"210260 CANDIDO MENDES";7495
"210270 CANTANHEDE";8152
"210280 CAROLINA";4578
"210290 CARUTAPERA";7974
"210300 CAXIAS";40482
"210310 CEDRAL";2435
"210320 CHAPADINHA";14949
"210330 CODO";35020
"210340 COELHO NETO";10081
"210350 COLINAS";9735
"210360 COROATA";23611
"210370 CURURUPU";8206
"210380 DOM PEDRO";4683
"210390 DUQUE BACELAR";2237
"210400 ESPERANTINOPOLIS";9222
"210405 ESTREITO";4303
"210410 FORTALEZA DOS NOGUEIRAS";2338
"210420 FORTUNA";3944
"210430 GODOFREDO VIANA";6900
"210440 GONCALVES DIAS";5322
"210450 GOVERNADOR ARCHER";3204
"210460 GOVERNADOR EUGENIO BARROS";7749
"210470 GRACA ARANHA";1616
"210480 GRAJAU";13788
"210490 GUIMARAES";1539
"210500 HUMBERTO DE CAMPOS";4849
"210510 ICATU";5963
"210520 IGARAPE GRANDE";3835
"210530 IMPERATRIZ";44847
"210540 ITAPECURU MIRIM";11897
"210550 JOAO LISBOA";14472
"210560 JOSELANDIA";4326
"210570 LAGO DA PEDRA";15051
"210580 LAGO DO JUNCO";5335
"210590 LAGO VERDE";3851
"210600 LIMA CAMPOS";3667
"210610 LORETO";1710
"210620 LUIS DOMINGUES";1775
"210630 MAGALHAES DE ALMEIDA";3124
"210640 MATA ROMA";2816
"210650 MATINHA";3883
"210660 MATOES";8087
"210670 MIRADOR";4768
"210675 MIRANDA DO NORTE";3300
"210680 MIRINZAL";3629
"210690 MONCAO";6587
"210700 MONTES ALTOS";4989
"210710 MORROS";4988
"210720 NINA RODRIGUES";2124
"210730 NOVA IORQUE";1258
"210740 OLHO D'AGUA DAS CUNHAS";5106
"210750 PACO DO LUMIAR";4851
"210760 PALMEIRANDIA";4228
"210770 PARAIBANO";4378
"210780 PARNARAMA";10327
"210790 PASSAGEM FRANCA";6803
"210800 PASTOS BONS";3083
"210810 PAULO RAMOS";8375
"210820 PEDREIRAS";11358
"210830 PENALVA";7510
"210840 PERI MIRIM";2847
"210850 PINDARE-MIRIM";6982
"210860 PINHEIRO";16531
"210870 PIO XII";8259
"210880 PIRAPEMAS";4876
"210890 POCAO DE PEDRAS";6629
"210900 PORTO FRANCO";7083
"210910 PRESIDENTE DUTRA";10764
"210920 PRESIDENTE JUSCELINO";1865
"210930 PRESIDENTE VARGAS";2459
"210940 PRIMEIRA CRUZ";4164
"210950 RIACHAO";6082
"210960 ROSARIO";8434
"210970 SAMBAIBA";1278
"210980 SANTA HELENA";6385
"210990 SANTA INES";12539
"211000 SANTA LUZIA";34907
"211003 SANTA LUZIA DO PARUA";11114
"211010 SANTA QUITERIA DO MARANHAO";6331
"211020 SANTA RITA";5347
"211030 SANTO ANTONIO DOS LOPES";5205
"211040 SAO BENEDITO DO RIO PRETO";3791
"211050 SAO BENTO";6301
"211060 SAO BERNARDO";7640
"211070 SAO DOMINGOS DO MARANHAO";10062
"211080 SAO FELIX DE BALSAS";1137
"211090 SAO FRANCISCO DO MARANHAO";4150
"211100 SAO JOAO BATISTA";5268
"211110 SAO JOAO DOS PATOS";6581
"211120 SAO JOSE DE RIBAMAR";7868
"211130 SAO LUIS";45567
"211140 SAO LUIS GONZAGA DO MARANHAO";8579
"211150 SAO MATEUS DO MARANHAO";9033
"211160 SAO RAIMUNDO DAS MANGABEIRAS";2970
"211170 SAO VICENTE FERRER";5208
"211180 SITIO NOVO";2648
"211190 SUCUPIRA DO NORTE";2312
"211200 TASSO FRAGOSO";1302
"211210 TIMBIRAS";7798
"211220 TIMON";22074
"211230 TUNTUM";10179
"211240 TURIACU";10463
"211250 TUTOIA";12714
"211260 URBANO SANTOS";7038
"211270 VARGEM GRANDE";10086
"211280 VIANA";8179
"211290 VITORIA DO MEARIM";14844
"211300 VITORINO FREIRE";8639
"211400 ZE DOCA";14706
"220010 AGRICOLANDIA";1474
"220020 AGUA BRANCA";4190
"220025 ALAGOINHA DO PIAUI";3257
"220030 ALTO LONGA";5062
"220040 ALTOS";11129
"220050 AMARANTE";4102
"220060 ANGICAL DO PIAUI";1373
"220070 ANISIO DE ABREU";3002
"220080 ANTONIO ALMEIDA";1262
"220090 AROAZES";2788
"220100 ARRAIAL";1757
"220110 AVELINO LOPES";2806
"220120 BARRAS";16222
"220130 BARREIRAS DO PIAUI";730
"220140 BARRO DURO";2526
"220150 BATALHA";7157
"220160 BENEDITINOS";4031
"220170 BERTOLINIA";1772
"220180 BOCAINA";1053
"220190 BOM JESUS";4396
"220200 BURITI DOS LOPES";9698
"220210 CAMPINAS DO PIAUI";1408
"220220 CAMPO MAIOR";18084
"220230 CANTO DO BURITI";7465
"220240 CAPITAO DE CAMPOS";2868
"220250 CARACOL";3961
"220260 CASTELO DO PIAUI";8312
"220270 COCAL";9252
"220280 CONCEICAO DO CANINDE";2384
"220290 CORRENTE";5185
"220300 CRISTALANDIA DO PIAUI";1299
"220310 CRISTINO CASTRO";2759
"220320 CURIMATA";2249
"220330 DEMERVAL LOBAO";3279
"220335 DIRCEU ARCOVERDE";3149
"220340 DOM EXPEDITO LOPES";1269
"220342 DOMINGOS MOURAO";1327
"220345 DOM INOCENCIO";2207
"220350 ELESBAO VELOSO";5302
"220360 ELISEU MARTINS";1863
"220370 ESPERANTINA";9346
"220380 FLORES DO PIAUI";1483
"220390 FLORIANO";8153
"220400 FRANCINOPOLIS";1538
"220410 FRANCISCO AYRES";1365
"220420 FRANCISCO SANTOS";2037
"220430 FRONTEIRAS";5220
"220440 GILBUES";1960
"220450 GUADALUPE";1624
"220460 HUGO NAPOLEAO";1065
"220470 INHUMA";3577
"220480 IPIRANGA DO PIAUI";1661
"220490 ISAIAS COELHO";2271
"220500 ITAINOPOLIS";4579
"220510 ITAUEIRA";2457
"220520 JAICOS";11117
"220530 JERUMENHA";1747
"220540 JOAQUIM PIRES";4758
"220550 JOSE DE FREITAS";7507
"220560 LANDRI SALES";1210
"220570 LUIS CORREIA";8738
"220580 LUZILANDIA";11001
"220590 MANOEL EMIDIO";1591
"220600 MARCOS PARENTE";1027
"220610 MATIAS OLIMPIO";3607
"220620 MIGUEL ALVES";8918
"220630 MIGUEL LEAO";404
"220640 MONSENHOR GIL";2733
"220650 MONSENHOR HIPOLITO";1807
"220660 MONTE ALEGRE DO PIAUI";2113
"220670 NAZARE DO PIAUI";2183
"220680 NOSSA SENHORA DOS REMEDIOS";1996
"220690 NOVO ORIENTE DO PIAUI";2253
"220700 OEIRAS";14555
"220720 PADRE MARCOS";6617
"220730 PAES LANDIM";1274
"220740 PALMEIRA DO PIAUI";1108
"220750 PALMEIRAIS";3742
"220760 PARNAGUA";2568
"220770 PARNAIBA";24148
"220780 PAULISTANA";12248
"220790 PEDRO II";13064
"220800 PICOS";18935
"220810 PIMENTEIRAS";3499
"220820 PIO IX";5309
"220830 PIRACURUCA";10053
"220840 PIRIPIRI";16315
"220850 PORTO";4514
"220860 PRATA DO PIAUI";786
"220870 REDENCAO DO GURGUEIA";1390
"220880 REGENERACAO";6291
"220890 RIBEIRO GONCALVES";2800
"220900 RIO GRANDE DO PIAUI";2926
"220910 SANTA CRUZ DO PIAUI";2876
"220920 SANTA FILOMENA";1351
"220930 SANTA LUZ";1137
"220940 SANTO ANTONIO DE LISBOA";1369
"220950 SANTO INACIO DO PIAUI";1772
"220960 SAO FELIX DO PIAUI";1848
"220970 SAO FRANCISCO DO PIAUI";2048
"220980 SAO GONCALO DO PIAUI";1452
"220985 SAO JOAO DA CANABRAVA";2117
"220990 SAO JOAO DA SERRA";2404
"221000 SAO JOAO DO PIAUI";10664
"221010 SAO JOSE DO PEIXE";1641
"221020 SAO JOSE DO PIAUI";2007
"221030 SAO JULIAO";3605
"221040 SAO MIGUEL DO TAPUIO";8171
"221050 SAO PEDRO DO PIAUI";3060
"221060 SAO RAIMUNDO NONATO";10971
"221070 SIMOES";9094
"221080 SIMPLICIO MENDES";3146
"221090 SOCORRO DO PIAUI";1278
"221100 TERESINA";71119
"221110 UNIAO";10718
"221120 URUCUI";3816
"221130 VALENCA DO PIAUI";5301
"221140 VARZEA GRANDE";2564
"230010 ABAIARA";2470
"230015 ACARAPE";2513
"230020 ACARAU";12988
"230030 ACOPIARA";15400
"230040 AIUABA";4290
"230050 ALCANTARAS";2462
"230060 ALTANEIRA";1654
"230070 ALTO SANTO";4126
"230075 AMONTADA";6800
"230080 ANTONINA DO NORTE";1491
"230090 APUIARES";2589
"230100 AQUIRAZ";12273
"230110 ARACATI";15563
"230120 ARACOIABA";7249
"230130 ARARIPE";5774
"230140 ARATUBA";2636
"230150 ARNEIROZ";2397
"230160 ASSARE";5994
"230170 AURORA";6522
"230180 BAIXIO";1539
"230185 BANABUIU";4656
"230190 BARBALHA";8445
"230195 BARREIRA";4039
"230200 BARRO";5335
"230205 BARROQUINHA";4435
"230210 BATURITE";6237
"230220 BEBERIBE";10739
"230230 BELA CRUZ";6886
"230240 BOA VIAGEM";14320
"230250 BREJO SANTO";9060
"230260 CAMOCIM";13554
"230270 CAMPOS SALES";6707
"230280 CANINDE";16851
"230290 CAPISTRANO";4557
"230300 CARIDADE";3827
"230310 CARIRE";5566
"230320 CARIRIACU";6370
"230330 CARIUS";6120
"230340 CARNAUBAL";4120
"230350 CASCAVEL";12660
"230360 CATARINA";3572
"230370 CAUCAIA";25694
"230380 CEDRO";6376
"230390 CHAVAL";3316
"230395 CHOROZINHO";4914
"230400 COREAU";5949
"230410 CRATEUS";17448
"230420 CRATO";17995
"230423 CROATA";4454
"230425 CRUZ";5639
"230426 DEPUTADO IRAPUAN PINHEIRO";2775
"230427 ERERE";1940
"230428 EUSEBIO";4140
"230430 FARIAS BRITO";5644
"230435 FORQUILHA";4611
"230440 FORTALEZA";182777
"230450 FRECHEIRINHA";2983
"230460 GENERAL SAMPAIO";2070
"230465 GRACA";5037
"230470 GRANJA";14565
"230480 GRANJEIRO";1557
"230490 GROAIRAS";2268
"230495 GUAIUBA";4527
"230500 GUARACIABA DO NORTE";9079
"230510 GUARAMIRANGA";1407
"230520 HIDROLANDIA";4893
"230523 HORIZONTE";4752
"230526 IBARETAMA";3681
"230530 IBIAPINA";5454
"230533 IBICUITINGA";2415
"230535 ICAPUI";3691
"230540 ICO";18682
"230550 IGUATU";19579
"230560 INDEPENDENCIA";6965
"230565 IPAPORANGA";3514
"230570 IPAUMIRIM";2928
"230580 IPU";10080
"230590 IPUEIRAS";11354
"230600 IRACEMA";4077
"230610 IRAUCUBA";4176
"230620 ITAICABA";1517
"230630 ITAPAGE";8493
"230640 ITAPIPOCA";19488
"230650 ITAPIUNA";3816
"230655 ITAREMA";7252
"230660 ITATIRA";4317
"230670 JAGUARETAMA";5068
"230680 JAGUARIBARA";2096
"230690 JAGUARIBE";9053
"230700 JAGUARUANA";7296
"230710 JARDIM";6513
"230720 JATI";2116
"230730 JUAZEIRO DO NORTE";36941
"230740 JUCAS";7040
"230750 LAVRAS DA MANGABEIRA";9193
"230760 LIMOEIRO DO NORTE";8730
"230763 MADALENA";3692
"230765 MARACANAU";20011
"230770 MARANGUAPE";13193
"230780 MARCO";5511
"230790 MARTINOPOLE";1864
"230800 MASSAPE";7624
"230810 MAURITI";11904
"230820 MERUOCA";2619
"230830 MILAGRES";7279
"230835 MILHA";3803
"230837 MIRAIMA";2900
"230840 MISSAO VELHA";9302
"230850 MOMBACA";12406
"230860 MONSENHOR TABOSA";4266
"230870 MORADA NOVA";16231
"230880 MORAUJO";1887
"230890 MORRINHOS";3840
"230900 MUCAMBO";3314
"230910 MULUNGU";2074
"230920 NOVA OLINDA";2858
"230930 NOVA RUSSAS";11518
"230940 NOVO ORIENTE";8341
"230945 OCARA";5942
"230950 OROS";6077
"230960 PACAJUS";8059
"230970 PACATUBA";10528
"230980 PACOTI";2723
"230990 PACUJA";1235
"231000 PALHANO";2248
"231010 PALMACIA";2435
"231020 PARACURU";4909
"231025 PARAIPABA";4144
"231030 PARAMBU";9191
"231040 PARAMOTI";3497
"231050 PEDRA BRANCA";13206
"231060 PENAFORTE";1544
"231070 PENTECOSTE";7974
"231080 PEREIRO";4210
"231085 PINDORETAMA";3319
"231090 PIQUET CARNEIRO";4026
"231095 PIRES FERREIRA";2871
"231100 PORANGA";3993
"231110 PORTEIRAS";4651
"231120 POTENGI";2443
"231123 POTIRETAMA";1688
"231126 QUITERIANOPOLIS";5020
"231130 QUIXADA";18698
"231135 QUIXELO";5095
"231140 QUIXERAMOBIM";16880
"231150 QUIXERE";4100
"231160 REDENCAO";5889
"231170 RERIUTABA";5270
"231180 RUSSAS";10094
"231190 SABOEIRO";5558
"231195 SALITRE";4707
"231200 SANTANA DO ACARAU";6549
"231210 SANTANA DO CARIRI";4409
"231220 SANTA QUITERIA";14455
"231230 SAO BENEDITO";10211
"231240 SAO GONCALO DO AMARANTE";7106
"231250 SAO JOAO DO JAGUARIBE";1881
"231260 SAO LUIS DO CURU";2473
"231270 SENADOR POMPEU";7447
"231280 SENADOR SA";1408
"231290 SOBRAL";28254
"231300 SOLONOPOLE";4400
"231310 TABULEIRO DO NORTE";6668
"231320 TAMBORIL";8256
"231325 TARRAFAS";3680
"231330 TAUA";15030
"231335 TEJUCUOCA";3418
"231340 TIANGUA";12126
"231350 TRAIRI";9374
"231355 TURURU";2803
"231360 UBAJARA";6457
"231370 UMARI";2074
"231375 UMIRIM";4431
"231380 URUBURETAMA";3480
"231390 URUOCA";3524
"231395 VARJOTA";3644
"231400 VARZEA ALEGRE";8992
"231410 VICOSA DO CEARA";14321
"240010 ACARI";2316
"240020 ACU";10426
"240030 AFONSO BEZERRA";3271
"240040 AGUA NOVA";613
"240050 ALEXANDRIA";4329
"240060 ALMINO AFONSO";1349
"240070 ALTO DO RODRIGUES";2031
"240080 ANGICOS";4070
"240090 ANTONIO MARTINS";1698
"240100 APODI";8740
"240110 AREIA BRANCA";4041
"240120 ARES";2975
"240130 AUGUSTO SEVERO";3809
"240140 BAIA FORMOSA";1811
"240145 BARAUNA";4987
"240150 BARCELONA";1009
"240160 BENTO FERNANDES";1328
"240170 BOM JESUS";2138
"240180 BREJINHO";2731
"240190 CAICARA DO RIO DO VENTO";707
"240200 CAICO";9150
"240210 CAMPO REDONDO";2938
"240220 CANGUARETAMA";6475
"240230 CARAUBAS";5578
"240240 CARNAUBA DOS DANTAS";1041
"240250 CARNAUBAIS";3129
"240260 CEARA-MIRIM";12850
"240270 CERRO CORA";2930
"240280 CORONEL EZEQUIEL";1882
"240290 CORONEL JOAO PESSOA";1362
"240300 CRUZETA";1871
"240310 CURRAIS NOVOS";8241
"240320 DOUTOR SEVERIANO";1643
"240325 PARNAMIRIM";9831
"240330 ENCANTO";1204
"240340 EQUADOR";1472
"240350 ESPIRITO SANTO";3450
"240360 EXTREMOZ";3115
"240370 FELIPE GUERRA";1554
"240380 FLORANIA";3478
"240390 FRANCISCO DANTAS";981
"240400 FRUTUOSO GOMES";1048
"240410 GALINHOS";409
"240420 GOIANINHA";5181
"240430 GOVERNADOR DIX-SEPT ROSADO";2589
"240440 GROSSOS";2450
"240450 GUAMARE";1562
"240460 IELMO MARINHO";3246
"240470 IPANGUACU";4670
"240480 IPUEIRA";296
"240490 ITAU";1007
"240500 JACANA";1810
"240510 JANDAIRA";1677
"240520 JANDUIS";1611
"240530 JANUARIO CICCO";2178
"240540 JAPI";1729
"240550 JARDIM DE ANGICOS";703
"240560 JARDIM DE PIRANHAS";2756
"240570 JARDIM DO SERIDO";2458
"240580 JOAO CAMARA";7344
"240590 JOAO DIAS";984
"240600 JOSE DA PENHA";1702
"240610 JUCURUTU";4621
"240620 LAGOA D'ANTA";1439
"240630 LAGOA DE PEDRAS";2011
"240640 LAGOA DE VELHOS";422
"240650 LAGOA NOVA";3061
"240660 LAGOA SALGADA";1865
"240670 LAJES";2345
"240680 LAJES PINTADAS";1149
"240690 LUCRECIA";828
"240700 LUIS GOMES";3101
"240710 MACAIBA";11301
"240720 MACAU";5695
"240730 MARCELINO VIEIRA";2706
"240740 MARTINS";2858
"240750 MAXARANGUAPE";3723
"240760 MESSIAS TARGINO";873
"240770 MONTANHAS";3035
"240780 MONTE ALEGRE";5230
"240790 MONTE DAS GAMELEIRAS";824
"240800 MOSSORO";32299
"240810 NATAL";63509
"240820 NISIA FLORESTA";3588
"240830 NOVA CRUZ";9602
"240840 OLHO-D'AGUA DO BORGES";1291
"240850 OURO BRANCO";967
"240860 PARANA";1101
"240870 PARAU";1126
"240880 PARAZINHO";1232
"240890 PARELHAS";3247
"240910 PASSA E FICA";2241
"240920 PASSAGEM";737
"240930 PATU";3036
"240940 PAU DOS FERROS";4308
"240950 PEDRA GRANDE";1079
"240960 PEDRA PRETA";766
"240970 PEDRO AVELINO";3607
"240980 PEDRO VELHO";3808
"240990 PENDENCIAS";3231
"241000 PILOES";659
"241010 POCO BRANCO";3324
