"Município";"População não alfabetizada"
"110001 ALTA FLORESTA D'OESTE";4130
"110002 ARIQUEMES";9313
"110003 CABIXI";1028
"110004 CACOAL";10367
"110005 CEREJEIRAS";2698
"110006 COLORADO DO OESTE";5895
"110008 COSTA MARQUES";1304
"110009 ESPIGAO D'OESTE";2776
"110010 GUAJARA-MIRIM";3002
"110011 JARU";9232
"110012 JI-PARANA";9697
"110013 MACHADINHO D'OESTE";2196
"110014 NOVA BRASILANDIA D'OESTE";2814
"110015 OURO PRETO DO OESTE";12326
"110018 PIMENTA BUENO";6022
"110020 PORTO VELHO";22446
"110025 PRESIDENTE MEDICI";4922
"110028 ROLIM DE MOURA";8321
"110029 SANTA LUZIA D'OESTE";1879
"110030 VILHENA";3269
"110032 SAO MIGUEL DO GUAPORE";2943
"110033 NOVA MAMORE";1350
"110034 ALVORADA D'OESTE";3149
"120005 ASSIS BRASIL";468
"120010 BRASILEIA";4254
"120020 CRUZEIRO DO SUL";14933
"120030 FEIJO";5207
"120033 MANCIO LIMA";2566
"120034 MANOEL URBANO";1581
"120038 PLACIDO DE CASTRO";3089
"120040 RIO BRANCO";25451
"120045 SENADOR GUIOMARD";3344
"120050 SENA MADUREIRA";6354
"120060 TARAUACA";8691
"120070 XAPURI";3323
"130002 ALVARAES";2010
"130006 AMATURA";1011
"130008 ANAMA";1050
"130010 ANORI";1919
"130014 APUI";966
"130020 ATALAIA DO NORTE";2638
"130030 AUTAZES";2484
"130040 BARCELOS";2333
"130050 BARREIRINHA";2054
"130060 BENJAMIN CONSTANT";3678
"130063 BERURI";1985
"130068 BOA VISTA DO RAMOS";912
"130070 BOCA DO ACRE";6820
"130080 BORBA";3359
"130083 CAAPIRANGA";1821
"130090 CANUTAMA";3396
"130100 CARAUARI";5847
"130110 CAREIRO";7676
"130115 CAREIRO DA VARZEA";3650
"130120 COARI";9210
"130130 CODAJAS";3167
"130140 EIRUNEPE";5714
"130150 ENVIRA";5645
"130160 FONTE BOA";4363
"130165 GUAJARA";4113
"130170 HUMAITA";9867
"130180 IPIXUNA";2970
"130185 IRANDUBA";2791
"130190 ITACOATIARA";6166
"130195 ITAMARATI";3754
"130200 ITAPIRANGA";364
"130210 JAPURA";3742
"130220 JURUA";1514
"130230 JUTAI";4620
"130240 LABREA";9352
"130250 MANACAPURU";9742
"130255 MANAQUIRI";2238
"130260 MANAUS";51815
"130270 MANICORE";8961
"130280 MARAA";2877
"130290 MAUES";3460
"130300 NHAMUNDA";1572
"130310 NOVA OLINDA DO NORTE";1942
"130320 NOVO AIRAO";2285
"130330 NOVO ARIPUANA";3075
"130340 PARINTINS";5377
"130350 PAUINI";7390
"130353 PRESIDENTE FIGUEIREDO";673
"130356 RIO PRETO DA EVA";907
"130360 SANTA ISABEL DO RIO NEGRO";3889
"130370 SANTO ANTONIO DO ICA";4812
"130380 SAO GABRIEL DA CACHOEIRA";3903
"130390 SAO PAULO DE OLIVENCA";2968
"130395 SAO SEBASTIAO DO UATUMA";370
"130400 SILVES";334
"130406 TABATINGA";4209
"130410 TAPAUA";8355
"130420 TEFE";8117
"130423 TONANTINS";1588
"130426 UARINI";894
"130430 URUCARA";1099
"130440 URUCURITUBA";1803
"140005 ALTO ALEGRE";1465
"140010 BOA VISTA";10024
"140015 BONFIM";2115
"140020 CARACARAI";1075
"140030 MUCAJAI";1915
"140040 NORMANDIA";2367
"140050 SAO JOAO DA BALIZA";1521
"140060 SAO LUIZ";1584
"150010 ABAETETUBA";16547
"150020 ACARA";8526
"150030 AFUA";4969
"150040 ALENQUER";7510
"150050 ALMEIRIM";4656
"150060 ALTAMIRA";11775
"150070 ANAJAS";4359
"150080 ANANINDEUA";6047
"150090 AUGUSTO CORREA";6414
"150100 AVEIRO";1581
"150110 BAGRE";2848
"150120 BAIAO";2737
"150130 BARCARENA";4894
"150140 BELEM";55679
"150150 BENEVIDES";6361
"150157 BOM JESUS DO TOCANTINS";3336
"150160 BONITO";2439
"150170 BRAGANCA";16659
"150175 BREJO GRANDE DO ARAGUAIA";2778
"150180 BREVES";17502
"150190 BUJARU";2658
"150200 CACHOEIRA DO ARARI";2183
"150210 CAMETA";10022
"150220 CAPANEMA";6938
"150230 CAPITAO POCO";11845
"150240 CASTANHAL";10496
"150250 CHAVES";3566
"150260 COLARES";1037
"150270 CONCEICAO DO ARAGUAIA";9555
"150275 CONCORDIA DO PARA";3333
"150277 CURIONOPOLIS";8330
"150280 CURRALINHO";3356
"150290 CURUCA";2722
"150293 DOM ELISEU";6002
"150300 FARO";1449
"150307 GARRAFAO DO NORTE";6175
"150310 GURUPA";4656
"150320 IGARAPE-ACU";4663
"150330 IGARAPE-MIRI";7219
"150340 INHANGAPI";1040
"150350 IRITUIA";5745
"150360 ITAITUBA";18833
"150370 ITUPIRANGA";9161
"150380 JACUNDA";8883
"150390 JURUTI";2504
"150400 LIMOEIRO DO AJURU";2487
"150405 MAE DO RIO";4757
"150410 MAGALHAES BARATA";702
"150420 MARABA";16300
"150430 MARACANA";2677
"150440 MARAPANIM";1873
"150445 MEDICILANDIA";5003
"150450 MELGACO";4759
"150460 MOCAJUBA";1920
"150470 MOJU";10153
"150480 MONTE ALEGRE";6166
"150490 MUANA";3113
"150500 NOVA TIMBOTEUA";1918
"150510 OBIDOS";5288
"150520 OEIRAS DO PARA";3713
"150530 ORIXIMINA";4274
"150540 OUREM";6882
"150543 OURILANDIA DO NORTE";4326
"150548 PACAJA";7925
"150550 PARAGOMINAS";14048
"150553 PARAUAPEBAS";7873
"150560 PEIXE-BOI";1028
"150570 PONTA DE PEDRAS";2174
"150580 PORTEL";8177
"150590 PORTO DE MOZ";4121
"150600 PRAINHA";4165
"150610 PRIMAVERA";3399
"150613 REDENCAO";8143
"150616 RIO MARIA";5566
"150618 RONDON DO PARA";7862
"150619 RUROPOLIS";3874
"150620 SALINOPOLIS";2422
"150630 SALVATERRA";1240
"150640 SANTA CRUZ DO ARARI";794
"150650 SANTA IZABEL DO PARA";3904
"150658 SANTA MARIA DAS BARREIRAS";1358
"150660 SANTA MARIA DO PARA";3848
"150670 SANTANA DO ARAGUAIA";2897
"150680 SANTAREM";25296
"150690 SANTAREM NOVO";605
"150700 SANTO ANTONIO DO TAUA";2399
"150710 SAO CAETANO DE ODIVELAS";2328
"150720 SAO DOMINGOS DO CAPIM";8857
"150730 SAO FELIX DO XINGU";3922
"150740 SAO FRANCISCO DO PARA";1452
"150745 SAO GERALDO DO ARAGUAIA";9377
"150747 SAO JOAO DE PIRABAS";3404
"150750 SAO JOAO DO ARAGUAIA";4709
"150760 SAO MIGUEL DO GUAMA";5464
"150770 SAO SEBASTIAO DA BOA VISTA";2124
"150780 SENADOR JOSE PORFIRIO";7080
"150790 SOURE";1731
"150795 TAILANDIA";3144
"150800 TOME-ACU";5551
"150808 TUCUMA";5076
"150810 TUCURUI";11542
"150815 URUARA";4693
"150820 VIGIA";3997
"150830 VISEU";12722
"150840 XINGUARA";7662
