Município,Renda média domic. per capita,Ano
316490 SAO SEBASTIAO DO RIO VERDE,"165,69",1991
316500 SAO TIAGO,"156,16",1991
316510 SAO TOMAS DE AQUINO,"213,69",1991
316520 SAO THOME DAS LETRAS,"137,06",1991
316530 SAO VICENTE DE MINAS,"234,6",1991
316540 SAPUCAI-MIRIM,"169,08",1991
316550 SARDOA,"113,51",1991
316560 SENADOR CORTES,"118,98",1991
316570 SENADOR FIRMINO,"145,76",1991
316580 SENADOR JOSE BENTO,"260,81",1991
316590 SENADOR MODESTINO GONCALVES,"87,27",1991
316600 SENHORA DE OLIVEIRA,"86,47",1991
316610 SENHORA DO PORTO,"104,24",1991
316620 SENHORA DOS REMEDIOS,"89,39",1991
316630 SERICITA,"119,31",1991
316640 SERITINGA,"163,19",1991
316650 SERRA AZUL DE MINAS,"81,33",1991
316660 SERRA DA SAUDADE,"163,05",1991
316670 SERRA DOS AIMORES,"172,65",1991
316680 SERRA DO SALITRE,"266,76",1991
316690 SERRANIA,"244,08",1991
316700 SERRANOS,"147,35",1991
316710 SERRO,"137,9",1991
316720 SETE LAGOAS,"298,01",1991
316730 SILVEIRANIA,"147,8",1991
316740 SILVIANOPOLIS,"225,58",1991
316750 SIMAO PEREIRA,"129,16",1991
316760 SIMONESIA,"93,51",1991
316770 SOBRALIA,"106,3",1991
316780 SOLEDADE DE MINAS,"185,92",1991
316790 TABULEIRO,"136,13",1991
316800 TAIOBEIRAS,"134,61",1991
316810 TAPIRA,"312,49",1991
316820 TAPIRAI,"123,66",1991
316830 TAQUARACU DE MINAS,"199,66",1991
316840 TARUMIRIM,"103,73",1991
316850 TEIXEIRAS,"157,9",1991
316860 TEOFILO OTONI,"233,35",1991
316870 TIMOTEO,"334,99",1991
316880 TIRADENTES,"149,42",1991
316890 TIROS,"216,17",1991
316900 TOCANTINS,"229,21",1991
316910 TOLEDO,"225,86",1991
316920 TOMBOS,"215,51",1991
316930 TRES CORACOES,"317,98",1991
316935 TRES MARIAS,"223,55",1991
316940 TRES PONTAS,"266,44",1991
316950 TUMIRITINGA,"198,3",1991
316960 TUPACIGUARA,"308,98",1991
316970 TURMALINA,"116,37",1991
316980 TURVOLANDIA,"190,46",1991
316990 UBA,"255,63",1991
317000 UBAI,"118,34",1991
317010 UBERABA,"410,61",1991
317020 UBERLANDIA,"454,85",1991
317030 UMBURATIBA,"100,58",1991
317040 UNAI,"216,56",1991
317050 URUCANIA,"142,26",1991
317060 VARGEM BONITA,"188,35",1991
317070 VARGINHA,"448,14",1991
317080 VARZEA DA PALMA,"168,53",1991
317090 VARZELANDIA,"82,95",1991
317100 VAZANTE,"239,76",1991
317110 VERISSIMO,"268,63",1991
317120 VESPASIANO,"205,58",1991
317130 VICOSA,"334,81",1991
317140 VIEIRAS,"85,8",1991
317150 MATHIAS LOBATO,"117,62",1991
317160 VIRGEM DA LAPA,"102,95",1991
317170 VIRGINIA,"128,55",1991
317180 VIRGINOPOLIS,"127,89",1991
317190 VIRGOLANDIA,156,1991
317200 VISCONDE DO RIO BRANCO,"219,98",1991
317210 VOLTA GRANDE,"193,6",1991
317220 WENCESLAU BRAZ,"143,77",1991
320010 AFONSO CLAUDIO,"151,13",1991
320013 AGUIA BRANCA,"108,23",1991
320016 AGUA DOCE DO NORTE,"94,23",1991
320020 ALEGRE,227,1991
320030 ALFREDO CHAVES,"213,95",1991
320035 ALTO RIO NOVO,"153,33",1991
320040 ANCHIETA,"210,76",1991
320050 APIACA,"172,09",1991
320060 ARACRUZ,"326,54",1991
320070 ATILIO VIVACQUA,"162,4",1991
320080 BAIXO GUANDU,"154,07",1991
320090 BARRA DE SAO FRANCISCO,"160,34",1991
320100 BOA ESPERANCA,"171,88",1991
320110 BOM JESUS DO NORTE,213,1991
320120 CACHOEIRO DE ITAPEMIRIM,"316,62",1991
320130 CARIACICA,"233,6",1991
320140 CASTELO,"215,5",1991
320150 COLATINA,"254,65",1991
320160 CONCEICAO DA BARRA,"168,53",1991
320170 CONCEICAO DO CASTELO,"153,06",1991
320180 DIVINO DE SAO LOURENCO,"110,13",1991
320190 DOMINGOS MARTINS,"217,72",1991
320200 DORES DO RIO PRETO,"193,23",1991
320210 ECOPORANGA,"165,99",1991
320220 FUNDAO,"268,03",1991
320230 GUACUI,"256,75",1991
320240 GUARAPARI,"265,55",1991
320245 IBATIBA,"135,19",1991
320250 IBIRACU,"228,69",1991
320255 IBITIRAMA,"150,02",1991
320260 ICONHA,"248,32",1991
320270 ITAGUACU,"196,11",1991
320280 ITAPEMIRIM,"182,09",1991
320290 ITARANA,"221,58",1991
320300 IUNA,"171,54",1991
320305 JAGUARE,"258,05",1991
320310 JERONIMO MONTEIRO,"188,79",1991
320313 JOAO NEIVA,"265,76",1991
320316 LARANJA DA TERRA,"128,92",1991
320320 LINHARES,"224,12",1991
320330 MANTENOPOLIS,"160,52",1991
320335 MARILANDIA,"217,32",1991
320340 MIMOSO DO SUL,"149,84",1991
320350 MONTANHA,"183,76",1991
320360 MUCURICI,"182,05",1991
320370 MUNIZ FREIRE,"156,86",1991
320380 MUQUI,"194,54",1991
320390 NOVA VENECIA,"190,43",1991
320400 PANCAS,"139,49",1991
320405 PEDRO CANARIO,"205,8",1991
320410 PINHEIROS,"223,07",1991
320420 PIUMA,"240,37",1991
320430 PRESIDENTE KENNEDY,"163,36",1991
320435 RIO BANANAL,"155,27",1991
320440 RIO NOVO DO SUL,"208,28",1991
320450 SANTA LEOPOLDINA,"135,16",1991
320455 SANTA MARIA DE JETIBA,"169,28",1991
320460 SANTA TERESA,"215,81",1991
320470 SAO GABRIEL DA PALHA,"188,26",1991
320480 SAO JOSE DO CALCADO,"177,27",1991
320490 SAO MATEUS,"263,24",1991
320500 SERRA,"254,79",1991
320503 VARGEM ALTA,"146,31",1991
320506 VENDA NOVA DO IMIGRANTE,"270,3",1991
320510 VIANA,"182,53",1991
320520 VILA VELHA,"462,43",1991
320530 VITORIA,"677,96",1991
330010 ANGRA DOS REIS,"301,93",1991
330020 ARARUAMA,"240,15",1991
330025 ARRAIAL DO CABO,"303,02",1991
330030 BARRA DO PIRAI,"308,63",1991
330040 BARRA MANSA,"299,81",1991
330050 BOM JARDIM,"262,28",1991
330060 BOM JESUS DO ITABAPOANA,"211,55",1991
330070 CABO FRIO,"310,86",1991
330080 CACHOEIRAS DE MACACU,"205,62",1991
330090 CAMBUCI,"231,01",1991
330100 CAMPOS DOS GOYTACAZES,"283,22",1991
330110 CANTAGALO,"259,19",1991
330120 CARMO,"230,33",1991
330130 CASIMIRO DE ABREU,"259,33",1991
330140 CONCEICAO DE MACABU,"217,3",1991
330150 CORDEIRO,"289,45",1991
330160 DUAS BARRAS,"190,66",1991
330170 DUQUE DE CAXIAS,"261,01",1991
330180 ENGENHEIRO PAULO DE FRONTIN,"214,6",1991
330190 ITABORAI,"204,05",1991
330200 ITAGUAI,"237,33",1991
330205 ITALVA,"211,24",1991
330210 ITAOCARA,"220,85",1991
330220 ITAPERUNA,"325,04",1991
330225 ITATIAIA,"367,31",1991
330230 LAJE DO MURIAE,"163,68",1991
330240 MACAE,"420,67",1991
330250 MAGE,"201,38",1991
330260 MANGARATIBA,"286,13",1991
330270 MARICA,"308,5",1991
330280 MENDES,"252,89",1991
330290 MIGUEL PEREIRA,"333,79",1991
330300 MIRACEMA,"220,61",1991
330310 NATIVIDADE,"212,79",1991
330320 NILOPOLIS,"318,31",1991
330330 NITEROI,"845,44",1991
330340 NOVA FRIBURGO,"405,27",1991
330350 NOVA IGUACU,"230,17",1991
330360 PARACAMBI,"231,24",1991
330370 PARAIBA DO SUL,"254,28",1991
330380 PARATY,"283,09",1991
330385 PATY DO ALFERES,"232,61",1991
330390 PETROPOLIS,"432,04",1991
330400 PIRAI,"263,97",1991
330410 PORCIUNCULA,"236,77",1991
330415 QUISSAMA,"174,45",1991
330420 RESENDE,"354,81",1991
330430 RIO BONITO,"251,46",1991
330440 RIO CLARO,"230,21",1991
330450 RIO DAS FLORES,"281,24",1991
330455 RIO DE JANEIRO,"684,32",1991
330460 SANTA MARIA MADALENA,"167,72",1991
330470 SANTO ANTONIO DE PADUA,"233,86",1991
330480 SAO FIDELIS,"241,69",1991
330490 SAO GONCALO,"297,05",1991
330500 SAO JOAO DA BARRA,"147,36",1991
330510 SAO JOAO DE MERITI,"250,75",1991
330515 SAO JOSE DO VALE DO RIO PRETO,"199,64",1991
330520 SAO PEDRO DA ALDEIA,"236,61",1991
330530 SAO SEBASTIAO DO ALTO,"178,08",1991
330540 SAPUCAIA,"230,29",1991
330550 SAQUAREMA,"235,76",1991
330560 SILVA JARDIM,"157,03",1991
330570 SUMIDOURO,"243,58",1991
330580 TERESOPOLIS,"347,35",1991
330590 TRAJANO DE MORAES,"166,18",1991
330600 TRES RIOS,"247,79",1991
330610 VALENCA,"304,51",1991
330620 VASSOURAS,"296,85",1991
330630 VOLTA REDONDA,"366,11",1991
350010 ADAMANTINA,"403,61",1991
350020 ADOLFO,"269,55",1991
350030 AGUAI,"305,74",1991
350040 AGUAS DA PRATA,"404,13",1991
350050 AGUAS DE LINDOIA,"373,4",1991
350055 AGUAS DE SANTA BARBARA,"319,77",1991
350060 AGUAS DE SAO PEDRO,"904,14",1991
350070 AGUDOS,"301,63",1991
350080 ALFREDO MARCONDES,"291,19",1991
350090 ALTAIR,"270,46",1991
350100 ALTINOPOLIS,"393,26",1991
350110 ALTO ALEGRE,"192,73",1991
350120 ALVARES FLORENCE,"174,76",1991
350130 ALVARES MACHADO,"268,84",1991
350140 ALVARO DE CARVALHO,"160,52",1991
350150 ALVINLANDIA,"217,56",1991
350160 AMERICANA,"588,9",1991
350170 AMERICO BRASILIENSE,"367,9",1991
350180 AMERICO DE CAMPOS,"252,8",1991
350190 AMPARO,"446,07",1991
350200 ANALANDIA,"329,73",1991
350210 ANDRADINA,"355,59",1991
350220 ANGATUBA,"301,79",1991
350230 ANHEMBI,"255,83",1991
350240 ANHUMAS,"194,86",1991
350250 APARECIDA,"453,11",1991
350260 APARECIDA D'OESTE,"228,62",1991
350270 APIAI,"210,7",1991
350280 ARACATUBA,"514,58",1991
350290 ARACOIABA DA SERRA,"333,07",1991
350300 ARAMINA,"345,29",1991
350310 ARANDU,"183,46",1991
350320 ARARAQUARA,"537,8",1991
350330 ARARAS,"480,35",1991
350340 AREALVA,"266,27",1991
350350 AREIAS,"191,49",1991
350360 AREIOPOLIS,"255,41",1991
350370 ARIRANHA,"388,48",1991
350380 ARTUR NOGUEIRA,"422,09",1991
350390 ARUJA,"442,3",1991
350400 ASSIS,"427,32",1991
350410 ATIBAIA,"507,69",1991
350420 AURIFLAMA,"384,72",1991
350430 AVAI,"187,48",1991
350440 AVANHANDAVA,"290,79",1991
350450 AVARE,"417,57",1991
350460 BADY BASSITT,"406,9",1991
350470 BALBINOS,"224,14",1991
350480 BALSAMO,"318,31",1991
350490 BANANAL,"214,12",1991
350500 BARAO DE ANTONINA,"162,48",1991
350510 BARBOSA,"214,97",1991
350520 BARIRI,"363,22",1991
350530 BARRA BONITA,"603,21",1991
350540 BARRA DO TURVO,"145,51",1991
350550 BARRETOS,"430,04",1991
350560 BARRINHA,"335,73",1991
350570 BARUERI,"597,16",1991
350580 BASTOS,"474,23",1991
350590 BATATAIS,"441,83",1991
350600 BAURU,"563,4",1991
350610 BEBEDOURO,"404,63",1991
350620 BENTO DE ABREU,"320,51",1991
350630 BERNARDINO DE CAMPOS,"314,58",1991
350640 BILAC,"319,85",1991
350650 BIRIGUI,"430,99",1991
350660 BIRITIBA-MIRIM,"309,08",1991
350670 BOA ESPERANCA DO SUL,"289,23",1991
350680 BOCAINA,"436,17",1991
350690 BOFETE,"253,65",1991
350700 BOITUVA,"409,15",1991
350710 BOM JESUS DOS PERDOES,"421,01",1991
350720 BORA,"168,02",1991
350730 BORACEIA,"256,24",1991
350740 BORBOREMA,"391,45",1991
350750 BOTUCATU,"549,26",1991
350760 BRAGANCA PAULISTA,"475,4",1991
350770 BRAUNA,"252,93",1991
350780 BRODOWSKI,"409,18",1991
350790 BROTAS,"343,3",1991
350800 BURI,"219,49",1991
350810 BURITAMA,"284,57",1991
350820 BURITIZAL,"278,41",1991
350830 CABRALIA PAULISTA,"279,49",1991
350840 CABREUVA,"422,39",1991
350850 CACAPAVA,"437,84",1991
350860 CACHOEIRA PAULISTA,"329,42",1991
350870 CACONDE,"238,4",1991
350880 CAFELANDIA,"249,43",1991
350890 CAIABU,"152,33",1991
350900 CAIEIRAS,"431,94",1991
350910 CAIUA,"155,72",1991
350920 CAJAMAR,"343,16",1991
350930 CAJOBI,"366,46",1991
350940 CAJURU,"360,99",1991
350950 CAMPINAS,"763,67",1991
350960 CAMPO LIMPO PAULISTA,"394,89",1991
350970 CAMPOS DO JORDAO,"428,03",1991
350980 CAMPOS NOVOS PAULISTA,"224,01",1991
350990 CANANEIA,"217,2",1991
351000 CANDIDO MOTA,"350,73",1991
351010 CANDIDO RODRIGUES,"268,06",1991
351020 CAPAO BONITO,"236,37",1991
351030 CAPELA DO ALTO,"279,03",1991
351040 CAPIVARI,"501,34",1991
351050 CARAGUATATUBA,"398,41",1991
351060 CARAPICUIBA,"412,08",1991
351070 CARDOSO,"307,1",1991
351080 CASA BRANCA,"428,09",1991
351090 CASSIA DOS COQUEIROS,"247,02",1991
351100 CASTILHO,"314,8",1991
351110 CATANDUVA,"490,99",1991
351120 CATIGUA,"293,56",1991
351130 CEDRAL,"317,04",1991
351140 CERQUEIRA CESAR,"382,97",1991
351150 CERQUILHO,"560,38",1991
351160 CESARIO LANGE,"300,99",1991
351170 CHARQUEADA,"361,96",1991
351190 CLEMENTINA,"285,72",1991
351200 COLINA,"336,35",1991
351210 COLOMBIA,"257,33",1991
351220 CONCHAL,"339,31",1991
351230 CONCHAS,"407,92",1991
351240 CORDEIROPOLIS,"413,37",1991
351250 COROADOS,"287,99",1991
351260 CORONEL MACEDO,"204,66",1991
351270 CORUMBATAI,"348,78",1991
351280 COSMOPOLIS,"412,66",1991
351290 COSMORAMA,"251,46",1991
351300 COTIA,"586,34",1991
351310 CRAVINHOS,"473,22",1991
351320 CRISTAIS PAULISTA,"234,7",1991
351330 CRUZALIA,"580,22",1991
351340 CRUZEIRO,"330,24",1991
351350 CUBATAO,"348,37",1991
351360 CUNHA,"195,83",1991
351370 DESCALVADO,"465,77",1991
351380 DIADEMA,"417,96",1991
351390 DIVINOLANDIA,"313,27",1991
351400 DOBRADA,"338,87",1991
351410 DOIS CORREGOS,"428,51",1991
351420 DOLCINOPOLIS,"201,16",1991
351430 DOURADO,"417,01",1991
351440 DRACENA,"392,36",1991
351450 DUARTINA,"339,59",1991
351460 DUMONT,"470,74",1991
351470 ECHAPORA,"311,55",1991
351480 ELDORADO,"283,37",1991
351490 ELIAS FAUSTO,"324,83",1991
351500 EMBU DAS ARTES,"427,13",1991
351510 EMBU-GUACU,"353,13",1991
351518 ESPIRITO SANTO DO PINHAL,"422,33",1991
351520 ESTRELA D'OESTE,"269,92",1991
351530 ESTRELA DO NORTE,"157,89",1991
351540 FARTURA,"247,37",1991
351550 FERNANDOPOLIS,"427,1",1991
351560 FERNANDO PRESTES,"320,37",1991
351570 FERRAZ DE VASCONCELOS,"304,9",1991
351580 FLORA RICA,"241,38",1991
351590 FLOREAL,"294,18",1991
351600 FLORIDA PAULISTA,"243,08",1991
351610 FLORINIA,"234,68",1991
351620 FRANCA,"497,73",1991
351630 FRANCISCO MORATO,"335,59",1991
351640 FRANCO DA ROCHA,"379,12",1991
351650 GABRIEL MONTEIRO,"331,18",1991
351660 GALIA,"214,43",1991
351670 GARCA,"326,46",1991
351680 GASTAO VIDIGAL,"253,22",1991
351690 GENERAL SALGADO,"335,95",1991
351700 GETULINA,"256,09",1991
351710 GLICERIO,"227,28",1991
351720 GUAICARA,"243,6",1991
351730 GUAIMBE,"299,86",1991
351740 GUAIRA,"369,9",1991
351750 GUAPIACU,"317,13",1991
351760 GUAPIARA,"188,73",1991
351770 GUARA,"299,54",1991
351780 GUARACAI,"345,53",1991
351790 GUARACI,"264,66",1991
351800 GUARANI D'OESTE,"266,87",1991
351810 GUARANTA,"229,78",1991
351820 GUARARAPES,"369,61",1991
351830 GUARAREMA,"332,9",1991
351840 GUARATINGUETA,"600,7",1991
351850 GUAREI,"319,78",1991
351860 GUARIBA,"319,07",1991
351870 GUARUJA,"359,19",1991
351880 GUARULHOS,"482,98",1991
351890 GUZOLANDIA,"178,82",1991
351900 HERCULANDIA,"334,63",1991
351910 IACANGA,"372,88",1991
351920 IACRI,"248,05",1991
351930 IBATE,"295,33",1991
351940 IBIRA,"306,51",1991
351950 IBIRAREMA,"243,79",1991
351960 IBITINGA,"401,29",1991
351970 IBIUNA,"318,52",1991
351980 ICEM,"365,61",1991
351990 IEPE,"213,37",1991
352000 IGARACU DO TIETE,"348,82",1991
352010 IGARAPAVA,"343,6",1991
352020 IGARATA,"281,58",1991
352030 IGUAPE,"252,65",1991
352040 ILHABELA,"374,42",1991
352050 INDAIATUBA,"469,34",1991
352060 INDIANA,"230,76",1991
352070 INDIAPORA,"284,79",1991
352080 INUBIA PAULISTA,"230,16",1991
352090 IPAUSSU,"273,14",1991
352100 IPERO,"327,77",1991
352110 IPEUNA,"306,62",1991
352120 IPORANGA,"153,02",1991
352130 IPUA,"331,18",1991
352140 IRACEMAPOLIS,"485,43",1991
352150 IRAPUA,"232,82",1991
352160 IRAPURU,"308,58",1991
352170 ITABERA,"308,46",1991
352180 ITAI,"265,42",1991
352190 ITAJOBI,"302,84",1991
352200 ITAJU,"195,44",1991
352210 ITANHAEM,"387,08",1991
352220 ITAPECERICA DA SERRA,"492,74",1991
352230 ITAPETININGA,"386,27",1991
352240 ITAPEVA,"280,73",1991
352250 ITAPEVI,"264,49",1991
352260 ITAPIRA,"419,39",1991
352270 ITAPOLIS,"344,97",1991
352280 ITAPORANGA,"214,46",1991
352290 ITAPUI,"368,56",1991
352300 ITAPURA,"200,08",1991
352310 ITAQUAQUECETUBA,"278,25",1991
352320 ITARARE,"258,27",1991
352330 ITARIRI,"276,4",1991
352340 ITATIBA,"488,79",1991
352350 ITATINGA,"360,63",1991
352360 ITIRAPINA,"380,56",1991
352370 ITIRAPUA,"231,87",1991
352380 ITOBI,"274,28",1991
352390 ITU,"470,56",1991
352400 ITUPEVA,"398,07",1991
352410 ITUVERAVA,"400,56",1991
352420 JABORANDI,"335,08",1991
352430 JABOTICABAL,"534,1",1991
352440 JACAREI,"468,65",1991
352450 JACI,"218,63",1991
352460 JACUPIRANGA,"232,38",1991
352470 JAGUARIUNA,"541,51",1991
352480 JALES,"385,73",1991
352490 JAMBEIRO,"245,79",1991
352500 JANDIRA,"325,91",1991
352510 JARDINOPOLIS,"405,7",1991
352520 JARINU,"372,74",1991
352530 JAU,"451,05",1991
352540 JERIQUARA,"222,3",1991
352550 JOANOPOLIS,"310,47",1991
352560 JOAO RAMALHO,"246,5",1991
352570 JOSE BONIFACIO,"350,69",1991
352580 JULIO MESQUITA,"198,46",1991
352590 JUNDIAI,"609,76",1991
352600 JUNQUEIROPOLIS,"270,47",1991
352610 JUQUIA,"230,4",1991
352620 JUQUITIBA,"239,3",1991
352630 LAGOINHA,"172,36",1991
352640 LARANJAL PAULISTA,"401,01",1991
352650 LAVINIA,"322,19",1991
352660 LAVRINHAS,"297,43",1991
352670 LEME,"385,62",1991
352680 LENCOIS PAULISTA,"441,68",1991
352690 LIMEIRA,"431,27",1991
352700 LINDOIA,"414,41",1991
352710 LINS,"471,95",1991
352720 LORENA,"422,79",1991
352730 LOUVEIRA,"402,04",1991
352740 LUCELIA,"266,96",1991
352750 LUCIANOPOLIS,"161,05",1991
352760 LUIS ANTONIO,"311,21",1991
352770 LUIZIANIA,"221,62",1991
352780 LUPERCIO,"251,52",1991
352790 LUTECIA,"223,82",1991
352800 MACATUBA,"377,54",1991
352810 MACAUBAL,"317,65",1991
352820 MACEDONIA,"202,43",1991
352830 MAGDA,"258,51",1991
352840 MAIRINQUE,"412,45",1991
352850 MAIRIPORA,"606,54",1991
352860 MANDURI,"356,01",1991
352870 MARABA PAULISTA,"179,43",1991
352880 MARACAI,"322,42",1991
352890 MARIAPOLIS,"309,07",1991
352900 MARILIA,"526,65",1991
352910 MARINOPOLIS,"250,9",1991
352920 MARTINOPOLIS,"338,54",1991
352930 MATAO,"399,05",1991
352940 MAUA,"406,62",1991
352950 MENDONCA,"386,85",1991
352960 MERIDIANO,"196,16",1991
352970 MIGUELOPOLIS,"308,98",1991
352980 MINEIROS DO TIETE,"347,07",1991
352990 MIRACATU,"334,41",1991
353000 MIRA ESTRELA,"623,46",1991
353010 MIRANDOPOLIS,"340,52",1991
353020 MIRANTE DO PARANAPANEMA,"206,49",1991
353030 MIRASSOL,"405,15",1991
353040 MIRASSOLANDIA,"226,7",1991
353050 MOCOCA,"353,29",1991
353060 MOGI DAS CRUZES,"476,14",1991
353070 MOGI GUACU,"419,77",1991
353080 MOGI MIRIM,"476,64",1991
353090 MOMBUCA,"423,66",1991
353100 MONCOES,"217,7",1991
353110 MONGAGUA,"345,1",1991
353120 MONTE ALEGRE DO SUL,"303,53",1991
353130 MONTE ALTO,"452,67",1991
353140 MONTE APRAZIVEL,"351,43",1991
353150 MONTE AZUL PAULISTA,"382,97",1991
353160 MONTE CASTELO,"182,36",1991
353170 MONTEIRO LOBATO,"279,38",1991
353180 MONTE MOR,"338,07",1991
353190 MORRO AGUDO,"383,4",1991
353200 MORUNGABA,"397,57",1991
353210 MURUTINGA DO SUL,"285,84",1991
353220 NARANDIBA,"192,37",1991
353230 NATIVIDADE DA SERRA,"163,9",1991
353240 NAZARE PAULISTA,"293,74",1991
353250 NEVES PAULISTA,"313,73",1991
353260 NHANDEARA,"404,07",1991
353270 NIPOA,"262,99",1991
353280 NOVA ALIANCA,"367,47",1991
353290 NOVA EUROPA,"436,55",1991
353300 NOVA GRANADA,"350,95",1991
353310 NOVA GUATAPORANGA,"164,88",1991
353320 NOVA INDEPENDENCIA,"193,73",1991
353330 NOVA LUZITANIA,"247,18",1991
353340 NOVA ODESSA,"422,49",1991
353350 NOVO HORIZONTE,"336,37",1991
353360 NUPORANGA,"376,59",1991
353370 OCAUCU,"207,53",1991
353380 OLEO,"219,73",1991
353390 OLIMPIA,"369,61",1991
353400 ONDA VERDE,"291,88",1991
353410 ORIENTE,"269,79",1991
353420 ORINDIUVA,"400,98",1991
353430 ORLANDIA,"463,08",1991
353440 OSASCO,"520,65",1991
353450 OSCAR BRESSANE,"256,55",1991
353460 OSVALDO CRUZ,"352,02",1991
353470 OURINHOS,"404,37",1991
353480 OURO VERDE,"206,39",1991
353490 PACAEMBU,"277,52",1991
353500 PALESTINA,"356,4",1991
353510 PALMARES PAULISTA,"364,94",1991
353520 PALMEIRA D'OESTE,"309,02",1991
353530 PALMITAL,"315,71",1991
353540 PANORAMA,"283,76",1991
353550 PARAGUACU PAULISTA,"331,59",1991
353560 PARAIBUNA,"274,28",1991
353570 PARAISO,"362,38",1991
353580 PARANAPANEMA,"268,83",1991
353590 PARANAPUA,"210,25",1991
353600 PARAPUA,"231,55",1991
353610 PARDINHO,"275,82",1991
353620 PARIQUERA-ACU,"270,84",1991
353630 PATROCINIO PAULISTA,"301,26",1991
353640 PAULICEIA,"220,49",1991
353650 PAULINIA,"533,4",1991
353660 PAULO DE FARIA,"339,92",1991
353670 PEDERNEIRAS,"427,22",1991
353680 PEDRA BELA,"198,27",1991
353690 PEDRANOPOLIS,"237,33",1991
353700 PEDREGULHO,"279,96",1991
353710 PEDREIRA,"491,88",1991
353720 PEDRO DE TOLEDO,"247,54",1991
353730 PENAPOLIS,"389,09",1991
353740 PEREIRA BARRETO,"412,51",1991
353750 PEREIRAS,"347,09",1991
353760 PERUIBE,"439,57",1991
353770 PIACATU,"206,65",1991
353780 PIEDADE,"277,88",1991
353790 PILAR DO SUL,"318,03",1991
353800 PINDAMONHANGABA,"386,45",1991
353810 PINDORAMA,"350,26",1991
353820 PINHALZINHO,"347,35",1991
353830 PIQUEROBI,"191,56",1991
353850 PIQUETE,"352,06",1991
353860 PIRACAIA,"407,74",1991
353870 PIRACICABA,"549,52",1991
353880 PIRAJU,"348,06",1991
353890 PIRAJUI,"288,92",1991
353900 PIRANGI,"481,33",1991
353910 PIRAPORA DO BOM JESUS,"272,32",1991
353920 PIRAPOZINHO,"316,52",1991
353930 PIRASSUNUNGA,"521,62",1991
353940 PIRATININGA,"506,79",1991
353950 PITANGUEIRAS,"376,8",1991
353960 PLANALTO,"215,33",1991
353970 PLATINA,"182,8",1991
353980 POA,"367,08",1991
353990 POLONI,"383,36",1991
354000 POMPEIA,"298,25",1991
354010 PONGAI,"246,83",1991
354020 PONTAL,"375,66",1991
354030 PONTES GESTAL,"166,36",1991
354040 POPULINA,"256,96",1991
354050 PORANGABA,"235,53",1991
354060 PORTO FELIZ,"384,04",1991
354070 PORTO FERREIRA,"407,17",1991
354080 POTIRENDABA,"318,36",1991
354090 PRADOPOLIS,"396,43",1991
354100 PRAIA GRANDE,"400,5",1991
354110 PRESIDENTE ALVES,"215,44",1991
354120 PRESIDENTE BERNARDES,"310,74",1991
354130 PRESIDENTE EPITACIO,"348,03",1991
354140 PRESIDENTE PRUDENTE,"542,78",1991
354150 PRESIDENTE VENCESLAU,"364,49",1991
354160 PROMISSAO,"361,62",1991
354170 QUATA,"281,43",1991
354180 QUEIROZ,"200,89",1991
354190 QUELUZ,"217,61",1991
354200 QUINTANA,"271,16",1991
354210 RAFARD,"440,27",1991
354220 RANCHARIA,"290,16",1991
354230 REDENCAO DA SERRA,"207,83",1991
354240 REGENTE FEIJO,"307,1",1991
354250 REGINOPOLIS,"271,03",1991
354260 REGISTRO,"362,85",1991
354270 RESTINGA,"238,77",1991
354280 RIBEIRA,"146,31",1991
354290 RIBEIRAO BONITO,"363,15",1991
354300 RIBEIRAO BRANCO,"118,37",1991
354310 RIBEIRAO CORRENTE,"204,45",1991
354320 RIBEIRAO DO SUL,"238,07",1991
354330 RIBEIRAO PIRES,"485,39",1991
354340 RIBEIRAO PRETO,"692,23",1991
354350 RIVERSUL,"160,72",1991
354360 RIFAINA,"186,54",1991
354370 RINCAO,"350,26",1991
354380 RINOPOLIS,"202,95",1991
354390 RIO CLARO,"512,88",1991
354400 RIO DAS PEDRAS,"424,37",1991
354410 RIO GRANDE DA SERRA,"301,75",1991
354420 RIOLANDIA,"251,46",1991
354430 ROSEIRA,"243,32",1991
354440 RUBIACEA,"381,81",1991
354450 RUBINEIA,"265,01",1991
354460 SABINO,"213,53",1991
354470 SAGRES,"173,53",1991
354480 SALES,"200,06",1991
354490 SALES OLIVEIRA,"470,13",1991
354500 SALESOPOLIS,"287,18",1991
354510 SALMOURAO,"176,37",1991
354520 SALTO,"391,91",1991
354530 SALTO DE PIRAPORA,"271,81",1991
354540 SALTO GRANDE,"260,98",1991
354550 SANDOVALINA,"201,75",1991
354560 SANTA ADELIA,"333,69",1991
354570 SANTA ALBERTINA,"266,08",1991
354580 SANTA BARBARA D'OESTE,"391,83",1991
354600 SANTA BRANCA,"430,49",1991
354610 SANTA CLARA D'OESTE,"195,87",1991
354620 SANTA CRUZ DA CONCEICAO,"506,86",1991
354630 SANTA CRUZ DAS PALMEIRAS,"356,35",1991
354640 SANTA CRUZ DO RIO PARDO,"372,11",1991
354650 SANTA ERNESTINA,"352,48",1991
354660 SANTA FE DO SUL,"360,84",1991
354670 SANTA GERTRUDES,"408,85",1991
354680 SANTA ISABEL,"288,44",1991
354690 SANTA LUCIA,"402,12",1991
354700 SANTA MARIA DA SERRA,"288,89",1991
354710 SANTA MERCEDES,"227,35",1991
354720 SANTANA DA PONTE PENSA,"150,91",1991
