Município,Renda média domic. per capita,Ano
150450 MELGACO,"88,97",1991
150460 MOCAJUBA,"107,69",1991
150470 MOJU,"109,75",1991
150480 MONTE ALEGRE,"114,96",1991
150490 MUANA,"97,68",1991
150500 NOVA TIMBOTEUA,"125,78",1991
150510 OBIDOS,"121,97",1991
150520 OEIRAS DO PARA,"118,8",1991
150530 ORIXIMINA,"169,85",1991
150540 OUREM,"92,43",1991
150543 OURILANDIA DO NORTE,"216,8",1991
150548 PACAJA,"84,8",1991
150550 PARAGOMINAS,"198,62",1991
150553 PARAUAPEBAS,"250,61",1991
150560 PEIXE-BOI,"96,91",1991
150570 PONTA DE PEDRAS,"106,98",1991
150580 PORTEL,"109,64",1991
150590 PORTO DE MOZ,"114,68",1991
150600 PRAINHA,"92,97",1991
150610 PRIMAVERA,"77,03",1991
150613 REDENCAO,"209,18",1991
150616 RIO MARIA,"176,84",1991
150618 RONDON DO PARA,"207,45",1991
150619 RUROPOLIS,"83,48",1991
150620 SALINOPOLIS,"127,05",1991
150630 SALVATERRA,"156,97",1991
150640 SANTA CRUZ DO ARARI,"110,42",1991
150650 SANTA IZABEL DO PARA,"180,95",1991
150658 SANTA MARIA DAS BARREIRAS,"220,06",1991
150660 SANTA MARIA DO PARA,"184,93",1991
150670 SANTANA DO ARAGUAIA,"152,14",1991
150680 SANTAREM,"157,82",1991
150690 SANTAREM NOVO,"126,86",1991
150700 SANTO ANTONIO DO TAUA,"117,36",1991
150710 SAO CAETANO DE ODIVELAS,"104,97",1991
150720 SAO DOMINGOS DO CAPIM,"127,33",1991
150730 SAO FELIX DO XINGU,"199,24",1991
150740 SAO FRANCISCO DO PARA,"162,49",1991
150745 SAO GERALDO DO ARAGUAIA,"98,77",1991
150747 SAO JOAO DE PIRABAS,"100,74",1991
150750 SAO JOAO DO ARAGUAIA,"111,95",1991
150760 SAO MIGUEL DO GUAMA,"140,52",1991
150770 SAO SEBASTIAO DA BOA VISTA,"102,8",1991
150780 SENADOR JOSE PORFIRIO,"134,85",1991
150790 SOURE,"161,79",1991
150795 TAILANDIA,"237,64",1991
150800 TOME-ACU,"140,61",1991
150808 TUCUMA,"219,21",1991
150810 TUCURUI,"177,07",1991
150815 URUARA,"151,04",1991
150820 VIGIA,"125,53",1991
150830 VISEU,"84,19",1991
150840 XINGUARA,"268,13",1991
160010 AMAPA,"150,56",1991
160020 CALCOENE,"194,29",1991
160023 FERREIRA GOMES,"108,52",1991
160027 LARANJAL DO JARI,"227,65",1991
160030 MACAPA,"345,74",1991
160040 MAZAGAO,"130,35",1991
160050 OIAPOQUE,"260,04",1991
160060 SANTANA,"218,99",1991
160070 TARTARUGALZINHO,"132,24",1991
170035 ALIANCA DO TOCANTINS,"140,5",1991
170040 ALMAS,"93,4",1991
170070 ALVORADA,"301,77",1991
170100 ANANAS,"104,83",1991
170110 APARECIDA DO RIO NEGRO,"128,34",1991
170190 ARAGUACEMA,"122,29",1991
170200 ARAGUACU,"161,82",1991
170210 ARAGUAINA,"273,6",1991
170220 ARAGUATINS,"94,95",1991
170230 ARAPOEMA,"157,34",1991
170240 ARRAIAS,"175,99",1991
170255 AUGUSTINOPOLIS,"122,8",1991
170270 AURORA DO TOCANTINS,"101,88",1991
170290 AXIXA DO TOCANTINS,"70,11",1991
170300 BABACULANDIA,"86,49",1991
170310 BARROLANDIA,"130,51",1991
170320 BERNARDO SAYAO,"104,78",1991
170370 BREJINHO DE NAZARE,"113,71",1991
170380 BURITI DO TOCANTINS,"81,74",1991
170390 CASEARA,"161,74",1991
170550 COLINAS DO TOCANTINS,"229,65",1991
170555 COMBINADO,"121,68",1991
170560 CONCEICAO DO TOCANTINS,"97,3",1991
170600 COUTO MAGALHAES,"114,18",1991
170610 CRISTALANDIA,"199,83",1991
170700 DIANOPOLIS,"192,57",1991
170710 DIVINOPOLIS DO TOCANTINS,"127,71",1991
170720 DOIS IRMAOS DO TOCANTINS,"99,38",1991
170730 DUERE,"131,72",1991
170755 FATIMA,"155,17",1991
