Município,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Total,Ano
320240 GUARAPARI,"346,66","169,36","572,29","188,25","93,96","856,72","265,55",1991
320245 IBATIBA,"138,9","73,49",...,"134,9",...,...,"135,19",1991
320250 IBIRACU,"293,88","116,87",...,"169,53",...,...,"228,69",1991
320255 IBITIRAMA,"182,92","110,03",...,"105,92",...,"139,23","150,02",1991
320260 ICONHA,"261,29",115,...,"188,66",...,"55,63","248,32",1991
320270 ITAGUACU,"229,45","175,98","73,68","122,32",...,"200,15","196,11",1991
320280 ITAPEMIRIM,"205,54","137,55",...,"155,88","64,54",...,"182,09",1991
320290 ITARANA,"192,38","60,55",...,"289,75",...,"90,36","221,58",1991
320300 IUNA,"196,52","88,21",...,"124,34","170,19",...,"171,54",1991
320305 JAGUARE,"398,65","95,29",...,"153,8",...,"80,1","258,05",1991
320310 JERONIMO MONTEIRO,"258,81","83,2",...,"128,98",...,"37,34","188,79",1991
320313 JOAO NEIVA,"338,29","89,95",...,"183,71","440,25",...,"265,76",1991
320316 LARANJA DA TERRA,"137,93","102,11",...,"103,14",...,...,"128,92",1991
320320 LINHARES,"310,86","102,33","369,06","172,58","94,97","162,57","224,12",1991
320330 MANTENOPOLIS,"169,73","108,58","237,5","158,02","42,83",...,"160,52",1991
320335 MARILANDIA,"255,85","73,82","403,16","97,28",...,"74,77","217,32",1991
320340 MIMOSO DO SUL,"170,89","99,35",...,"122,74",...,"269,54","149,84",1991
320350 MONTANHA,"251,22","146,82",...,"156,34","19,39","197,31","183,76",1991
320360 MUCURICI,"327,98","119,43","75,77","143,03",...,"94,73","182,05",1991
320370 MUNIZ FREIRE,"178,93","102,33",...,"121,38","61,87",...,"156,86",1991
320380 MUQUI,"260,62","107,44","183,57","99,71",...,"80,23","194,54",1991
320390 NOVA VENECIA,"257,88","105,22",...,"137,52","35,48","146,11","190,43",1991
320400 PANCAS,"176,26","83,98",...,"115,73",...,...,"139,49",1991
320405 PEDRO CANARIO,"306,87","124,47","32,96","185,93",...,...,"205,8",1991
320410 PINHEIROS,"420,77","144,98","738,08","158,19",...,"122,34","223,07",1991
320420 PIUMA,"275,9","168,61",...,"195,91",...,"91,75","240,37",1991
320430 PRESIDENTE KENNEDY,"204,15","96,88","269,92","133,57",...,"151,83","163,36",1991
320435 RIO BANANAL,"180,74","68,42",...,"95,05",...,"38,03","155,27",1991
320440 RIO NOVO DO SUL,"256,26","197,73","208,97","151,18",...,"155,83","208,28",1991
320450 SANTA LEOPOLDINA,"153,9","153,07",...,"104,33",...,"74,37","135,16",1991
320455 SANTA MARIA DE JETIBA,"169,27","37,66",...,"176,89",...,...,"169,28",1991
320460 SANTA TERESA,"242,27","62,55",...,"136,32","586,91","234,32","215,81",1991
320470 SAO GABRIEL DA PALHA,"212,83","90,12","149,82","159,24",...,...,"188,26",1991
320480 SAO JOSE DO CALCADO,"206,95","102,1",...,"154,12",...,...,"177,27",1991
320490 SAO MATEUS,"430,74","137,72","452,57","196,11",...,"167,77","263,24",1991
320500 SERRA,"323,38","188,09","377,09","213,76","187,42","273,99","254,79",1991
320503 VARGEM ALTA,"167,42","105,5",...,"93,93",53,"19,04","146,31",1991
320506 VENDA NOVA DO IMIGRANTE,"306,34","106,39","160,64","146,36","113,22","200,34","270,3",1991
320510 VIANA,"220,89","137,71","225,09","163,99",...,"149,99","182,53",1991
320520 VILA VELHA,"580,19","330,44","696,24","352,47","299,87","461,25","462,43",1991
320530 VITORIA,"945,84","329,23","959,55","411,75","575,83","734,72","677,96",1991
330010 ANGRA DOS REIS,"374,95","187,46","812,86","217,9","122,9","162,56","301,93",1991
330020 ARARUAMA,"349,38","114,6",...,"154,98","36,26","195,15","240,15",1991
330025 ARRAIAL DO CABO,"345,28","161,19","277,53","247,76","750,92","76,73","303,02",1991
330030 BARRA DO PIRAI,"405,35","158,26","76,06","222,35","161,26","336,36","308,63",1991
330040 BARRA MANSA,"370,31","177,47","505,93","212,62","126,48","415,11","299,81",1991
330050 BOM JARDIM,"290,59","136,19",...,"137,8","33,9",...,"262,28",1991
330060 BOM JESUS DO ITABAPOANA,"245,59","113,97",...,"163,25","184,95","99,17","211,55",1991
330070 CABO FRIO,"401,45","186,26","554,59","209,33","247,18","104,23","310,86",1991
330080 CACHOEIRAS DE MACACU,"263,84","143,28","977,09","153,56","223,73","150,05","205,62",1991
330090 CAMBUCI,"295,61","95,85",...,"164,57","27,95","16,91","231,01",1991
330100 CAMPOS DOS GOYTACAZES,"378,99","144,79","125,09","188,62","110,15","127,3","283,22",1991
330110 CANTAGALO,"356,72","120,57",...,"169,44","85,12","204,64","259,19",1991
330120 CARMO,"286,35","123,91","101,19","160,47","153,62","128,7","230,33",1991
330130 CASIMIRO DE ABREU,"338,15","123,33","184,24","178,72",...,"134,26","259,33",1991
330140 CONCEICAO DE MACABU,"308,84","106,14","49,04","172,18",...,"36,85","217,3",1991
330150 CORDEIRO,"376,72","142,7",...,"186,12","574,22",...,"289,45",1991
330160 DUAS BARRAS,"212,21","131,63",...,"144,6",...,"420,07","190,66",1991
330170 DUQUE DE CAXIAS,"311,53","207,52","263,41","230,8","251,6","187,33","261,01",1991
330180 ENGENHEIRO PAULO DE FRONTIN,"247,98","120,04","219,13","176,93","146,51","0,18","214,6",1991
330190 ITABORAI,"256,42","147,64","495,38","175,09","184,05","149,71","204,05",1991
330200 ITAGUAI,"290,32","153,41","605,58","196,66","77,56","138,34","237,33",1991
330205 ITALVA,262,"115,12",...,"148,47",...,"260,65","211,24",1991
330210 ITAOCARA,"254,84","107,28",...,"110,95",...,"678,79","220,85",1991
330220 ITAPERUNA,"424,65","161,44","120,38","207,41","287,09","134,94","325,04",1991
330225 ITATIAIA,"468,67","196,46","182,22","253,92","255,17","157,79","367,31",1991
330230 LAJE DO MURIAE,"269,63","76,53","71,23","88,53",...,"87,54","163,68",1991
330240 MACAE,"537,38","235,66","757,57","304,06","359,49","374,21","420,67",1991
330250 MAGE,"253,07","143,37","719,08","173,71","249,39","145,42","201,38",1991
330260 MANGARATIBA,"359,49","191,02","139,67","226,61","987,66","209,39","286,13",1991
330270 MARICA,"373,25","196,98","216,61","228,44","188,34","155,07","308,5",1991
330280 MENDES,"302,08","154,26",...,"206,73",...,"515,98","252,89",1991
330290 MIGUEL PEREIRA,"447,76","169,78","146,09","205,83",...,"141,28","333,79",1991
330300 MIRACEMA,"312,01","100,98","176,72","151,89",...,"117,61","220,61",1991
330310 NATIVIDADE,"278,39","135,22",...,"122,83",...,"46,74","212,79",1991
330320 NILOPOLIS,374,"245,28","181,63","280,14","564,5","202,87","318,31",1991
330330 NITEROI,"1036,49","339,47","1077,96","443,73","662,5","410,57","845,44",1991
330340 NOVA FRIBURGO,"441,26","231,22","735,41","276,9","343,67","503,99","405,27",1991
330350 NOVA IGUACU,"277,31","187,7","341,67","200,63","212,71","156,22","230,17",1991
330360 PARACAMBI,"271,07","161,55","751,02","178,21",...,...,"231,24",1991
330370 PARAIBA DO SUL,"353,58","131,37","429,93","157,54",...,"132,57","254,28",1991
330380 PARATY,"339,05","212,81","121,37","200,13","94,4","388,05","283,09",1991
330385 PATY DO ALFERES,"280,49","132,92","152,54","164,91","208,65","99,94","232,61",1991
330390 PETROPOLIS,"504,47","215,06","895,1","223,88","324,24","327,72","432,04",1991
330400 PIRAI,"327,13","176,47","241,99","173,32",...,"250,22","263,97",1991
330410 PORCIUNCULA,"296,67","119,48","72,35","198,55",...,"286,94","236,77",1991
330415 QUISSAMA,"192,65","118,26",...,"166,62","106,22","200,07","174,45",1991
330420 RESENDE,"461,68","177,82","1266,09","232,77","206,31","182,49","354,81",1991
330430 RIO BONITO,"322,87","127,6","653,39","212,15","406,08","69,52","251,46",1991
330440 RIO CLARO,"262,94","177,27",...,"150,93",...,...,"230,21",1991
330450 RIO DAS FLORES,"436,96","107,18","64,46","115,56",...,...,"281,24",1991
330455 RIO DE JANEIRO,"889,32","377,36","1070,01","383,24","596,49","348,64","684,32",1991
330460 SANTA MARIA MADALENA,"217,57","97,2",...,"106,55","42,41","181,33","167,72",1991
330470 SANTO ANTONIO DE PADUA,"274,73","115,41","563,66","161,08","432,27","187,92","233,86",1991
330480 SAO FIDELIS,"268,82","181,56",...,"199,31",...,"195,08","241,69",1991
330490 SAO GONCALO,"343,18","223,3","522,82","257,76","309,75","252,7","297,05",1991
330500 SAO JOAO DA BARRA,"164,2","105,42","97,68","124,38",...,"73,06","147,36",1991
330510 SAO JOAO DE MERITI,"294,42","208,55","251,64","225,13","261,25","224,66","250,75",1991
330515 SAO JOSE DO VALE DO RIO PRETO,"218,52","112,35","78,09","150,92",...,"120,76","199,64",1991
330520 SAO PEDRO DA ALDEIA,"286,48","124,79","63,4","172,78","534,72","198,66","236,61",1991
330530 SAO SEBASTIAO DO ALTO,"219,73","88,56","137,72","151,53",...,"162,81","178,08",1991
330540 SAPUCAIA,"266,05","185,26",...,"165,66",...,"234,66","230,29",1991
330550 SAQUAREMA,"295,83","148,04","86,42","170,54","756,54","107,68","235,76",1991
330560 SILVA JARDIM,"207,5","97,42",...,"130,77",...,"113,18","157,03",1991
330570 SUMIDOURO,"270,49","162,8","171,54","172,05",...,"152,75","243,58",1991
330580 TERESOPOLIS,"406,93","158,92","345,21","201,93","2366,36","143,8","347,35",1991
330590 TRAJANO DE MORAES,"199,6","102,26",...,"126,92",...,...,"166,18",1991
330600 TRES RIOS,"321,72","137,15","307,16","169,34","286,01","207,65","247,79",1991
330610 VALENCA,"376,36","181,55","441,98","193,1","220,04","275,37","304,51",1991
330620 VASSOURAS,"425,92","139,6",...,"183,3","414,37","512,52","296,85",1991
330630 VOLTA REDONDA,"441,59","248,53","493,78","259,41","187,98","179,44","366,11",1991
350010 ADAMANTINA,"422,13","124,72","1200,63","192,82",...,"1142,54","403,61",1991
350020 ADOLFO,"279,07","325,39",...,"223,72",...,...,"269,55",1991
350030 AGUAI,"328,04","230,74","694,46","194,9",...,"405,44","305,74",1991
350040 AGUAS DA PRATA,"425,32","175,03","1366,91","205,26",...,"2221,42","404,13",1991
350050 AGUAS DE LINDOIA,"380,91","431,69",...,"238,87","169,87","84,47","373,4",1991
350055 AGUAS DE SANTA BARBARA,"331,46","122,42",...,"276,27",...,"160,42","319,77",1991
350060 AGUAS DE SAO PEDRO,"974,24","265,95","2396,08","321,22",...,...,"904,14",1991
350070 AGUDOS,"342,01","250,34","619,01","201,67",...,"142,29","301,63",1991
350080 ALFREDO MARCONDES,"291,98","179,02","678,3","122,87",...,"391,47","291,19",1991
350090 ALTAIR,"282,67","196,4","295,78","244,2","118,2","73,9","270,46",1991
350100 ALTINOPOLIS,"447,34","174,77","738,8","197,2",...,"242,53","393,26",1991
350110 ALTO ALEGRE,"193,02","121,36","643,58","189,77",...,...,"192,73",1991
350120 ALVARES FLORENCE,"180,46","112,91","1086,89","139,06",...,...,"174,76",1991
350130 ALVARES MACHADO,"283,39","175,09","643,93","195,03",...,"1506,06","268,84",1991
350140 ALVARO DE CARVALHO,"182,61","121,58",...,"130,15",...,...,"160,52",1991
350150 ALVINLANDIA,"240,79","154,1","1896,03","161,1","307,44","131,53","217,56",1991
350160 AMERICANA,"625,96","304,18","651,64","373,56","477,88",300,"588,9",1991
350170 AMERICO BRASILIENSE,"379,6","250,24","373,57","320,1",...,"876,86","367,9",1991
350180 AMERICO DE CAMPOS,"286,93","156,11",...,"156,33",...,...,"252,8",1991
350190 AMPARO,"472,08","280,37","608,93","262,15","262,79","275,75","446,07",1991
350200 ANALANDIA,"366,35","170,24",...,"151,79",...,...,"329,73",1991
350210 ANDRADINA,"419,14","204,57","822,54","222,9","145,28","27,69","355,59",1991
350220 ANGATUBA,"298,71","114,7","4939,2","195,44","362,39","134,14","301,79",1991
350230 ANHEMBI,"266,35","148,19",...,"191,42",...,131,"255,83",1991
350240 ANHUMAS,"209,62","170,88","559,42","130,21",...,"129,77","194,86",1991
350250 APARECIDA,"526,82","235,65","518,49","221,89",...,"203,92","453,11",1991
350260 APARECIDA D'OESTE,"264,29","101,97","388,89","118,29",...,...,"228,62",1991
350270 APIAI,"275,76","104,33","280,92","147,2",...,"59,41","210,7",1991
350280 ARACATUBA,"582,66","299,71","919,9","299,12","611,81","339,22","514,58",1991
350290 ARACOIABA DA SERRA,"350,88","294,23","847,46","198,86",...,"157,27","333,07",1991
350300 ARAMINA,"416,6","262,9",...,"227,49","240,78","333,62","345,29",1991
350310 ARANDU,"194,61","115,64",...,"164,47","65,92",...,"183,46",1991
350320 ARARAQUARA,"585,88","306,15","703,19","306,7","681,89","530,51","537,8",1991
350330 ARARAS,"518,95","255,21","694,35","295,44","98,72","576,15","480,35",1991
350340 AREALVA,"280,35","142,41","222,16","142,38",...,...,"266,27",1991
350350 AREIAS,"254,34","89,18",...,"141,03",...,"135,01","191,49",1991
350360 AREIOPOLIS,"264,99",210,...,"229,19",...,...,"255,41",1991
350370 ARIRANHA,"405,35","229,96",...,198,...,...,"388,48",1991
350380 ARTUR NOGUEIRA,"447,32","380,48","859,26","300,57",...,"412,97","422,09",1991
350390 ARUJA,"527,8","199,25","695,75","305,14",...,"395,96","442,3",1991
350400 ASSIS,"465,98","228,04","735,52","216,82","95,47","313,16","427,32",1991
350410 ATIBAIA,"542,23","260,28","859,41","258,74","192,9","241,04","507,69",1991
350420 AURIFLAMA,"440,87","178,25","248,78","237,33",...,...,"384,72",1991
350430 AVAI,"205,55","101,58","277,53","134,73","121,85","657,98","187,48",1991
350440 AVANHANDAVA,"374,21","208,88","244,12","198,11",...,"370,87","290,79",1991
350450 AVARE,"451,57","205,6","830,8","201,58","220,55","114,79","417,57",1991
350460 BADY BASSITT,"431,41","255,77","403,16","223,04",...,...,"406,9",1991
350470 BALBINOS,"265,33","112,83",...,"157,7",...,...,"224,14",1991
350480 BALSAMO,"326,63","211,98","587,32","251,75","178,77","153,51","318,31",1991
350490 BANANAL,"266,1","90,5","80,58","118,59",...,"260,06","214,12",1991
350500 BARAO DE ANTONINA,"168,34","103,56","383,71","108,85",...,...,"162,48",1991
350510 BARBOSA,"244,22","142,6","616,95","156,55",...,"82,45","214,97",1991
350520 BARIRI,"393,88","190,42","1272,13","179,61",...,...,"363,22",1991
350530 BARRA BONITA,"662,12","290,37",...,"323,03",...,...,"603,21",1991
350540 BARRA DO TURVO,"174,77","70,44",...,"99,79",...,"69,86","145,51",1991
350550 BARRETOS,"486,55",261,"717,26","266,26","322,71","589,15","430,04",1991
350560 BARRINHA,"397,52","257,04","411,61","291,83",...,"130,02","335,73",1991
350570 BARUERI,"637,14","400,05","1900,14","536,64","578,77","373,77","597,16",1991
350580 BASTOS,"280,05","197,52","1652,43","241,86","198,27",...,"474,23",1991
350590 BATATAIS,"481,88","252,85","474,62","264,42","244,39","366,07","441,83",1991
350600 BAURU,"637,31","281,4","848,4","322,79","339,59","126,58","563,4",1991
350610 BEBEDOURO,"454,99","256,59","256,61","246,87","149,97","584,3","404,63",1991
350620 BENTO DE ABREU,"352,23","212,52",...,"206,2",...,"255,68","320,51",1991
350630 BERNARDINO DE CAMPOS,"338,02","162,17","203,24","191,9","71,66",...,"314,58",1991
350640 BILAC,"332,18","315,06","306,9","181,39",...,...,"319,85",1991
350650 BIRIGUI,"464,61","276,57","697,26","298,05","232,56","252,98","430,99",1991
350660 BIRITIBA-MIRIM,"271,77","230,37","961,4","189,98","190,5","344,91","309,08",1991
350670 BOA ESPERANCA DO SUL,"299,43","216,97",...,"224,15",...,...,"289,23",1991
350680 BOCAINA,"618,5","222,9",...,"324,59",...,"393,41","436,17",1991
350690 BOFETE,"267,46","112,08",...,"172,8",...,...,"253,65",1991
350700 BOITUVA,"441,2","319,36","1880,87","257,87",...,"291,3","409,15",1991
350710 BOM JESUS DOS PERDOES,"448,56","269,67","522,14","241,29","88,23",-,"421,01",1991
350720 BORA,"176,11","448,08",...,"150,42",...,"40,45","168,02",1991
350730 BORACEIA,"265,77","200,21","307,9","204,85",...,...,"256,24",1991
350740 BORBOREMA,"409,61","334,14","746,28","186,38",...,...,"391,45",1991
350750 BOTUCATU,"587,48","326,43","1125,44","253,98","348,07","381,04","549,26",1991
350760 BRAGANCA PAULISTA,"498,31","295,56","725,65","293,28","397,32","151,29","475,4",1991
350770 BRAUNA,"269,95","197,13",...,"168,7","836,85","753,1","252,93",1991
350780 BRODOWSKI,"441,94","233,39","3636,22","259,55",...,"248,03","409,18",1991
350790 BROTAS,"369,52","169,18","574,68","197,26",...,"417,69","343,3",1991
350800 BURI,"231,69","122,53","407,14","148,31","76,11","81,49","219,49",1991
350810 BURITAMA,"301,05","175,7","787,11","218,6",...,"208,19","284,57",1991
350820 BURITIZAL,"283,97","163,44",...,"273,05",...,...,"278,41",1991
350830 CABRALIA PAULISTA,"294,74","134,39",...,"155,23",...,...,"279,49",1991
350840 CABREUVA,"430,11","283,46","255,92","310,07",...,"1345,01","422,39",1991
350850 CACAPAVA,"469,33","247,91","829,38","306,26",...,"185,47","437,84",1991
350860 CACHOEIRA PAULISTA,"363,71","213,22","393,29","212,68","612,21","198,55","329,42",1991
350870 CACONDE,"256,95","178,21",...,"143,18",...,"44,08","238,4",1991
350880 CAFELANDIA,"277,78","136,73","444,96","163,18","104,02","98,55","249,43",1991
350890 CAIABU,"158,98","249,12","247,84","129,64",...,"116,74","152,33",1991
350900 CAIEIRAS,"465,66","327,3","206,05","315,15",...,"685,48","431,94",1991
350910 CAIUA,"175,01",185,...,"98,92",...,"133,24","155,72",1991
350920 CAJAMAR,"372,08","217,3","1171,38","302,74",...,"208,04","343,16",1991
350930 CAJOBI,"396,22","261,26",...,"262,7",...,...,"366,46",1991
350940 CAJURU,"397,61",174,"143,76","205,07",...,"88,75","360,99",1991
350950 CAMPINAS,"865,13","409,89","1280,28","380,95","718,69","454,5","763,67",1991
350960 CAMPO LIMPO PAULISTA,"422,81","321,52","381,53","301,95",...,"403,86","394,89",1991
350970 CAMPOS DO JORDAO,"440,64","268,88","2149,97","387,67",...,"292,32","428,03",1991
350980 CAMPOS NOVOS PAULISTA,"232,11","143,18",...,"156,96","138,5","124,93","224,01",1991
350990 CANANEIA,"247,84","140,38","523,34","155,82",...,"89,33","217,2",1991
351000 CANDIDO MOTA,"379,22","289,07","73,82","158,49",...,"157,11","350,73",1991
351010 CANDIDO RODRIGUES,"268,76",...,"287,09","254,21",...,...,"268,06",1991
351020 CAPAO BONITO,"231,02","190,02","1148,88","154,81","85,12","210,14","236,37",1991
351030 CAPELA DO ALTO,"267,25","176,36","6247,12","172,4",...,-,"279,03",1991
351040 CAPIVARI,"562,37","300,97","129,22","258,75",...,"148,55","501,34",1991
351050 CARAGUATATUBA,"435,43","273,12","577,32","267,95",...,"88,43","398,41",1991
351060 CARAPICUIBA,"450,5","365,41","660,49","355,08","206,59","263,69","412,08",1991
351070 CARDOSO,"347,26","186,68","401,5","196,31",...,"152,9","307,1",1991
351080 CASA BRANCA,"456,03","296,07","1463,83","271,86",...,"296,33","428,09",1991
351090 CASSIA DOS COQUEIROS,"264,78","87,22",...,"183,47",...,...,"247,02",1991
351100 CASTILHO,"370,8","167,84","2028,86","193,54",...,"395,51","314,8",1991
351110 CATANDUVA,"530,32","220,7","537,92","273,66",...,"302,92","490,99",1991
351120 CATIGUA,"308,54","218,78","229,22","217,56",...,"148,24","293,56",1991
351130 CEDRAL,"335,81","159,99",...,"136,96",...,...,"317,04",1991
351140 CERQUEIRA CESAR,"419,31","215,6","208,61","196,31",...,...,"382,97",1991
351150 CERQUILHO,"593,95","277,61",...,"325,36",...,"72,62","560,38",1991
351160 CESARIO LANGE,"304,11","87,12","222,72","280,32",...,"138,26","300,99",1991
351170 CHARQUEADA,"384,12","250,34",...,"228,99","680,26","369,33","361,96",1991
351190 CLEMENTINA,"313,52","95,49","1023,15","195,05",...,...,"285,72",1991
351200 COLINA,"395,52","199,49","595,47","199,83","84,18","164,08","336,35",1991
351210 COLOMBIA,"241,6","175,38","1228,95","172,74",...,...,"257,33",1991
351220 CONCHAL,"387,3","197,74","722,44","197,27",...,...,"339,31",1991
351230 CONCHAS,"416,45","254,47","1768,42","245,16",...,"72,18","407,92",1991
351240 CORDEIROPOLIS,"433,03","263,7",...,"226,91",...,"170,56","413,37",1991
351250 COROADOS,"380,47","209,96","384,46","185,43",...,"87,25","287,99",1991
351260 CORONEL MACEDO,"223,11","151,2","165,71","116,61",...,"129,42","204,66",1991
351270 CORUMBATAI,"369,17","270,15",...,"211,22",...,...,"348,78",1991
351280 COSMOPOLIS,"444,92","326,76","584,58","297,59","524,8","390,43","412,66",1991
351290 COSMORAMA,"269,62","96,52","189,73","87,6","243,81",...,"251,46",1991
351300 COTIA,"667,76","318,67","1054,32","398,97",...,"436,06","586,34",1991
351310 CRAVINHOS,"518,56","238,91","1938,62","232,17",...,"213,26","473,22",1991
351320 CRISTAIS PAULISTA,"275,36","132,05","211,1","156,57",...,"84,44","234,7",1991
351330 CRUZALIA,"678,43","195,22","126,5","211,73",...,"98,15","580,22",1991
351340 CRUZEIRO,"375,19","175,39","1507,72","188,08","46,33","15,5","330,24",1991
351350 CUBATAO,"382,64","311,55","277,9","312,34","393,57","300,21","348,37",1991
351360 CUNHA,"208,36","151,88","1089,82","123,72","331,64","145,08","195,83",1991
351370 DESCALVADO,"493,4","181,07","671,14","300,13",...,"239,15","465,77",1991
351380 DIADEMA,"463,04","357,56","775,42","355,38","812,12","247,22","417,96",1991
351390 DIVINOLANDIA,"327,64","153,04",...,"182,07",...,"532,6","313,27",1991
351400 DOBRADA,"361,58","352,42","242,37","287,44",...,...,"338,87",1991
351410 DOIS CORREGOS,"471,85","227,53",...,"236,43",...,"243,23","428,51",1991
351420 DOLCINOPOLIS,"210,34","82,25",...,"150,75",...,"115,1","201,16",1991
351430 DOURADO,"445,92","176,51",...,"204,36",...,"3883,48","417,01",1991
351440 DRACENA,"420,89","192,18","748,39","224,17","520,46",...,"392,36",1991
351450 DUARTINA,"398,94","144,82","445,15","189,93","68,99","466,75","339,59",1991
351460 DUMONT,"544,59","217,07",...,"288,03",...,"139,23","470,74",1991
351470 ECHAPORA,"379,89","138,93",...,"159,58",...,...,"311,55",1991
351480 ELDORADO,"368,33","115,17","580,9","164,66",...,"78,27","283,37",1991
351490 ELIAS FAUSTO,"345,31","218,24","1299,97","220,52",...,...,"324,83",1991
351500 EMBU DAS ARTES,"483,03","348,23","1086,17","355,93","330,63","325,33","427,13",1991
351510 EMBU-GUACU,"392,07","225,92","508,64","250,51","301,43",...,"353,13",1991
351518 ESPIRITO SANTO DO PINHAL,"448,71","214,31","2036,14","215,3",...,"354,69","422,33",1991
351520 ESTRELA D'OESTE,"293,38","98,23","609,99","169,49",...,...,"269,92",1991
351530 ESTRELA DO NORTE,"156,8","144,53",...,"160,14",...,...,"157,89",1991
351540 FARTURA,"254,47","98,81","1241,17","138,18",...,-,"247,37",1991
351550 FERNANDOPOLIS,"460,8","209,2","1228,52","230,92","204,72","180,18","427,1",1991
351560 FERNANDO PRESTES,"335,1","296,24","383,83","132,81",...,...,"320,37",1991
351570 FERRAZ DE VASCONCELOS,"370,22","219,72","671,77","216,12","121,23","186,56","304,9",1991
351580 FLORA RICA,"224,45","214,88","1861,6","193,81",...,...,"241,38",1991
351590 FLOREAL,"311,89","140,76",...,"198,57",...,"140,23","294,18",1991
351600 FLORIDA PAULISTA,"264,63","197,89","596,02","158,73",...,"780,35","243,08",1991
351610 FLORINIA,"239,95","153,26","158,12","241,57",...,"113,78","234,68",1991
351620 FRANCA,"544,73","301,53","771,91","336,28","396,77","327,76","497,73",1991
351630 FRANCISCO MORATO,"381,41","296,59","721,86","285,89","196,01","348,29","335,59",1991
351640 FRANCO DA ROCHA,"419,32","322,19","938,05","299,09","272,42","350,69","379,12",1991
351650 GABRIEL MONTEIRO,"372,88","163,97","166,59","144,49",...,...,"331,18",1991
351660 GALIA,"248,06","130,21",634,"105,35",...,"204,04","214,43",1991
351670 GARCA,"391,31",181,"1056,45","156,43","140,79","111,09","326,46",1991
351680 GASTAO VIDIGAL,"262,74","132,11","189,86","193,08",...,...,"253,22",1991
351690 GENERAL SALGADO,"373,64","324,65","87,01","195,59",...,"99,2","335,95",1991
351700 GETULINA,"313,53","148,09","451,01","144,38","133,6","403,7","256,09",1991
351710 GLICERIO,"261,55","230,48","180,7","160,16","99,08","60,51","227,28",1991
351720 GUAICARA,"265,62","141,08","852,32","184,33",...,"80,17","243,6",1991
351730 GUAIMBE,"316,16","168,33","1337,5","204,03","799,54",...,"299,86",1991
351740 GUAIRA,"411,06","243,32","553,12","262,26","236,59","142,13","369,9",1991
351750 GUAPIACU,"331,54","202,45","88,44","232,04",...,...,"317,13",1991
351760 GUAPIARA,"216,94","131,23","321,8","155,76",...,"63,03","188,73",1991
351770 GUARA,"364,8","169,58","451,41","186,74","400,65","401,6","299,54",1991
351780 GUARACAI,"332,76","172,15","1510,83","201,15",...,"159,99","345,53",1991
351790 GUARACI,"299,66","200,93","275,18","197,05",...,...,"264,66",1991
351800 GUARANI D'OESTE,"307,84","103,25","383,35","141,55","125,15","307,57","266,87",1991
351810 GUARANTA,"207,33","122,72","4617,9","115,31",...,...,"229,78",1991
351820 GUARARAPES,"416,92","187,04","708,41","217,15",...,"144,53","369,61",1991
351830 GUARAREMA,"382,06","137,5","938,8","213,49",...,"36,09","332,9",1991
351840 GUARATINGUETA,"702,88","224,68","1075,06","282,5","539,16","143,19","600,7",1991
351850 GUAREI,"300,42","192,36",...,"582,58",...,...,"319,78",1991
351860 GUARIBA,"370,34","176,21","1202,27","208,46",...,"143,99","319,07",1991
351870 GUARUJA,"419,41","282,23","1181,79","284,55","211,7","238,61","359,19",1991
351880 GUARULHOS,"548,5","343,48","900,88","347,93","333,13","301,14","482,98",1991
351890 GUZOLANDIA,"219,14","84,81",...,"116,54",...,"89,84","178,82",1991
351900 HERCULANDIA,"435,4","149,19","324,86","148,54",...,...,"334,63",1991
351910 IACANGA,"395,21","252,55","475,95","175,56","85,54","111,98","372,88",1991
351920 IACRI,"232,42","91,09","1296,72","112,37",...,...,"248,05",1991
351930 IBATE,"307,03","266,85","130,62","260,49",...,...,"295,33",1991
351940 IBIRA,"319,14","110,4","270,82","231,36",...,...,"306,51",1991
351950 IBIRAREMA,"260,57","189,16","138,18","152,33",...,120,"243,79",1991
351960 IBITINGA,"428,09","177,56","243,77","239,27","316,98",...,"401,29",1991
351970 IBIUNA,"277,19","203,64","2289,5","171,42",...,"250,18","318,52",1991
351980 ICEM,"418,7","449,35","1914,98","273,16",...,"507,84","365,61",1991
351990 IEPE,"243,06","127,09","214,44","149,97",...,"190,4","213,37",1991
352000 IGARACU DO TIETE,"384,85","221,63","338,03","316,86",382,"499,82","348,82",1991
352010 IGARAPAVA,"382,97","243,42",...,"248,63",...,"398,9","343,6",1991
352020 IGARATA,"285,26","380,4","632,33","243,01","138,37","341,7","281,58",1991
352030 IGUAPE,"270,25","242,69","923,39","190,98",...,"117,6","252,65",1991
352040 ILHABELA,"422,25","233,33","274,18","261,41","570,45","44,42","374,42",1991
352050 INDAIATUBA,"503,45","307,4","656,62","323,97","372,9","190,04","469,34",1991
352060 INDIANA,"257,85","109,82","1104,04","142,34","266,85","70,9","230,76",1991
352070 INDIAPORA,307,"207,11","1224,87","214,65",...,...,"284,79",1991
352080 INUBIA PAULISTA,"245,29","170,05","599,91","170,2",...,...,"230,16",1991
352090 IPAUSSU,"298,84","170,49","223,67","214,53",...,"283,25","273,14",1991
352100 IPERO,"351,18","321,45","341,11","209,56",...,"240,94","327,77",1991
352110 IPEUNA,"329,2","165,2",...,"138,94","224,63",...,"306,62",1991
352120 IPORANGA,"199,12","178,11","427,39","107,52","80,88","97,21","153,02",1991
